DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,21.9,22.8,21.7,22.3,21.9,"98,988"
2019-06-27,22.4,23.1,22.2,22.8,22.3,"373,391"
2019-06-26,22.7,22.7,22,22.6,22.5,"250,471"
2019-06-25,22.2,23,22.2,23,22.3,"232,078"
2019-06-24,23.3,23.5,22.8,23,23.2,"296,970"
2019-06-23,23,23.4,22.3,23.4,22.9,"317,042"
2019-06-20,23,24,22.9,24,23.3,"440,170"
2019-06-19,23.8,25,23.6,24.5,23.8,"1,406,615"
2019-06-18,24,25.8,23.9,24.8,24.1,"979,538"
2019-06-17,24.1,24.3,22.6,22.7,24.1,"1,541,573"
2019-06-16,22.9,24.1,22.9,23.4,23,"648,026"
2019-06-13,23.3,23.5,22.8,23.2,23.1,"1,189,579"
2019-06-12,22.7,22.7,21.3,21.9,22.5,"454,480"
2019-06-11,21.4,22.2,21.4,21.4,21.5,"374,315"
2019-06-10,21.4,21.5,20.9,21,21.2,"291,112"
2019-06-09,21.5,22,21.3,21.3,21.5,"147,186"
2019-05-30,21.3,21.7,21.2,21.5,21.3,"308,055"
2019-05-29,20.8,21.7,20.4,21.6,20.8,"125,778"
2019-05-28,21.2,21.2,20.5,21.2,21,"155,551"
2019-05-27,21.5,21.7,20.7,21.2,21,"307,029"
2019-05-26,20.7,21.9,20.4,21,20.7,"418,412"
2019-05-23,21.4,21.6,20,20.5,21.3,"280,666"
2019-05-21,21.1,21.1,19.8,19.8,20.9,"311,592"
2019-05-20,20.1,21.3,20.1,21.3,20.2,"123,808"
2019-05-19,20.9,21,20,20,20.7,"114,326"
2019-05-16,19.8,19.9,19.3,19.9,19.6,"13,642"
2019-05-15,19.8,19.9,19.1,19.9,19.4,"37,655"
2019-05-14,19.5,19.8,19.5,19.8,19.6,"1,260"
2019-05-13,19.7,20,19.5,20,19.9,"81,983"
2019-05-12,20.1,20.1,19.5,20,19.9,"185,751"
2019-05-09,19.9,20,19.6,20,19.7,"106,594"
2019-05-08,20,20,19.1,19.8,19.6,"57,049"
2019-05-07,19.8,20.5,19.7,20.5,19.8,"289,831"
2019-05-06,20,20.1,19.6,19.8,19.7,"110,166"
2019-05-05,19.9,19.9,18.8,18.8,19.7,"121,373"
2019-05-02,18.8,19.9,18.5,19,18.7,"35,199"
2019-04-30,18.5,18.7,18.1,18.7,18.2,"62,834"
2019-04-29,18,18.6,17.7,18.6,18.1,"33,020"
2019-04-28,18.2,19,17.6,19,18,"106,211"
2019-04-25,19,20.2,18.6,19.8,18.8,"49,667"
2019-04-24,19.6,20,19,19.5,19.4,"101,688"
2019-04-23,20,20.5,19.1,20,19.5,"98,811"
2019-04-21,19.8,20.3,19.3,19.7,19.5,"103,493"
2019-04-18,20.1,20.2,19,19,19.7,"247,523"
2019-04-17,19,19.4,18,18.2,19,"99,154"
2019-04-16,18.5,18.8,17.8,18.7,18.4,"95,199"
2019-04-15,18.9,19.4,18.6,19.1,18.7,"14,468"
2019-04-11,19.4,19.6,18.9,19,19.1,"49,143"
2019-04-10,19.3,19.4,18.7,19.4,18.8,"94,274"
2019-04-09,19.4,19.9,18.7,19.5,18.9,"94,083"
2019-04-08,19.1,20.3,18.8,20.3,18.9,"96,864"
2019-04-07,20.3,21.3,19.7,21.3,19.9,"110,868"
2019-04-04,21,21.3,19.9,21.3,20.7,"195,847"
2019-04-03,21,21.5,20.6,21.5,20.9,"96,900"
2019-04-02,21.3,22.5,20.9,22.4,21.3,"251,521"
2019-04-01,21.3,21.9,19.9,19.9,21.6,"359,162"
2019-03-31,20,20.5,19.5,19.5,20,"142,646"
2019-03-28,19.5,19.8,18.9,18.9,19.4,"155,929"
2019-03-27,19,19.3,18,19,18.3,"124,522"
2019-03-25,19.1,19.9,18.9,19.9,19,"38,545"
2019-03-24,19,20.6,18.9,20.6,19.1,"52,840"
2019-03-21,20,20.2,19,19.3,19.7,"139,940"
2019-03-20,19.2,21.3,19,21.3,19.2,"181,906"
2019-03-19,20.8,20.9,19.6,20,20.6,"116,071"
2019-03-18,19.7,20.8,19,20.8,19.8,"191,136"
2019-03-14,20.5,22.7,20.3,22.2,20.6,"175,922"
2019-03-13,22,22.9,21.7,22.9,21.9,"369,499"
2019-03-12,22.8,23.9,22.4,23.9,22.7,"327,157"
2019-03-11,23.8,25,23.4,24.6,23.8,"271,587"
2019-03-10,24.1,25,23.7,23.7,24.3,"330,324"
2019-03-07,23.9,24.1,23.2,23.4,23.6,"214,113"
2019-03-06,23,23.6,22.5,23.2,22.8,"241,504"
2019-03-05,22.6,24.1,22.6,24,22.9,"205,579"
2019-03-04,24.4,24.6,23.8,24.2,24,"158,032"
2019-03-03,24,25.9,24,25.2,24.4,"378,035"
2019-02-27,25.5,25.6,24.7,25.2,25,"734,680"
2019-02-26,25.3,25.7,24.4,24.4,25,"620,453"
2019-02-25,24.3,25.7,24.2,25.7,24.4,"347,821"
2019-02-24,25.1,25.4,24,25,25,"354,099"
2019-02-20,24.9,25.8,24.2,24.9,24.6,"187,283"
2019-02-19,25.6,25.9,24.5,25,24.9,"434,286"
2019-02-18,25.2,27,24.1,27,24.6,"291,980"
2019-02-17,26.4,27.5,25.5,27.5,26.2,"758,255"
2019-02-14,26.8,26.8,24.9,24.9,26.8,"1,701,139"
2019-02-13,24.8,24.8,22.6,22.7,24.4,"642,255"
2019-02-12,22.6,24.7,22.4,24.5,22.6,"604,958"
2019-02-11,23.9,24.4,22.7,22.7,24,"648,879"
2019-02-10,22.5,25.6,22.5,24.9,22.6,"927,530"
2019-02-07,24.8,27.3,24.5,26.9,24.9,"798,602"
2019-02-06,26.3,27.8,26,26.2,26.5,"1,193,319"
2019-02-05,25.4,28.4,25.2,28,25.8,"1,187,297"
2019-02-04,27.9,31.7,27.9,31.7,28,"1,192,668"
2019-02-03,31,31.7,29.4,30,30.9,"3,229,293"
2019-01-31,29.4,30.4,28.9,30.1,29.2,"1,081,890"
2019-01-30,29.5,29.8,28.3,28.6,29.3,"1,639,569"
2019-01-29,27.5,29.8,27.5,28,28.4,"777,518"
2019-01-28,27.9,31,27.5,30.5,28,"672,082"
2019-01-27,30.5,31.5,29.5,31.5,30.5,"1,854,698"
2019-01-24,28.7,28.7,27.8,27.8,28.7,"854,495"
2019-01-23,26.1,26.1,24.2,24.8,26.1,"244,145"
2019-01-22,24.1,25.4,23.7,25.4,23.8,"250,409"
2019-01-21,23.6,26.3,23.6,25,24.6,"299,458"
2019-01-20,25.7,26.6,24.8,26.6,24.9,"182,357"
2019-01-17,26.6,28.2,26.5,27.5,26.7,"571,207"
2019-01-16,26.7,27.8,26.5,27.6,26.9,"456,466"
2019-01-15,26.8,28,26.4,27.3,27.5,"1,086,392"
2019-01-14,27,28,26.1,26.1,27.1,"1,909,752"
2019-01-13,26,27.2,25.3,26.5,25.9,"448,168"
2019-01-10,26.2,27.2,25.9,26.4,26.3,"517,825"
2019-01-09,27,27,25,25.6,26.7,"561,694"
2019-01-08,25.9,25.9,23.7,23.7,25.6,"1,714,438"
2019-01-07,23.9,24.1,23.4,23.9,23.6,"315,444"
2019-01-06,23.6,25.2,22.9,23.4,23.9,"701,270"
2019-01-03,23.5,23.5,22.2,22.2,23.4,"832,288"
2019-01-02,21.7,21.7,19.6,20,21.4,"472,332"
2019-01-01,20.1,20.1,19.2,19.2,19.9,"120,849"
