DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,159.2,162.4,159,160,159.4,"34,100"
2019-06-27,160.9,164.9,160.1,161.1,160.8,"41,164"
2019-06-26,162.3,162.4,158,158,160.8,"36,298"
2019-06-25,158,160,157.4,157.7,157.8,"36,335"
2019-06-24,158,161,157.1,157.1,157.7,"36,883"
2019-06-23,159.4,164.7,159,161,159.5,"43,888"
2019-06-20,162.5,167.3,161.1,162.5,162.6,"64,789"
2019-06-19,164.3,167.7,161.7,161.7,164.5,"60,715"
2019-06-18,164.6,168.9,164,167.1,164.7,"78,018"
2019-06-17,167.3,176.9,166.1,167.5,167.4,"179,029"
2019-06-16,170.2,171.7,163.9,164.2,170.5,"171,346"
2019-06-13,163.9,164,158,158,163.2,"97,910"
2019-06-12,158.7,165.8,158.7,164,159.2,"124,564"
2019-06-11,163,165.5,161.1,165,163.7,"78,569"
2019-06-10,164.8,168,156.5,156.5,164,"176,905"
2019-06-09,157,157,150.5,151.9,154.4,"52,685"
2019-05-30,150.2,151.4,149.3,149.6,150.4,"17,891"
2019-05-29,149.5,151.3,148.9,150.4,149.1,"14,644"
2019-05-28,150.4,151,148.3,148.3,150.4,"14,139"
2019-05-27,149,151.6,147,150,147.9,"15,718"
2019-05-26,147.3,150.5,147.2,149.3,147.5,"20,037"
2019-05-23,150.5,151,149,150.1,149.2,"20,676"
2019-05-22,150.6,151,148,148,150,"17,862"
2019-05-21,147.7,150.9,147,150,147.9,"37,288"
2019-05-20,150.1,152.1,150,152,150.1,"17,873"
2019-05-19,152,153,150,152.4,152.1,"27,306"
2019-05-16,150.2,154,149,153.9,149.8,"36,213"
2019-05-15,151.1,154.5,151.1,152.4,151.9,"35,998"
2019-05-14,152.5,152.8,150.7,150.7,152,"17,331"
2019-05-13,151,152,150.5,150.9,150.8,"21,018"
2019-05-12,150.6,154,150.2,154,150.7,"21,115"
2019-05-09,151.3,154.4,150.9,154.4,151.4,"29,597"
2019-05-08,151.6,153.8,151,153,151.7,"29,879"
2019-05-07,153.2,159,152.9,159,153,"24,773"
2019-05-06,157,160,153.5,159.8,155.1,"80,134"
2019-05-05,159.4,159.8,153.5,154,158.7,"81,429"
2019-05-02,152.5,152.6,145.3,145.3,151.8,"61,106"
2019-04-30,146.5,150.9,144.9,150,145.2,"52,703"
2019-04-29,147.2,151,146.4,149.5,147,"40,530"
2019-04-28,149.6,153.8,148.9,153,149.3,"49,523"
2019-04-25,152.2,153.6,148.2,151.5,152.8,"67,885"
2019-04-24,151.3,156.5,151.1,156.5,151.6,"83,218"
2019-04-23,156.5,160.7,155.6,159.2,156.3,"61,991"
2019-04-21,158.9,158.9,155.8,157.9,158.6,"105,841"
2019-04-18,154.2,155.7,153.3,155,154.5,"139,799"
2019-04-17,154.3,156.7,153,155.1,154.2,"67,099"
2019-04-16,155.1,157.8,153.3,157.8,155,"30,846"
2019-04-15,158.1,163.4,157.8,160,159.5,"44,301"
2019-04-11,158.4,160,157.1,159,157.6,"29,170"
2019-04-10,156.4,158,154.5,155.5,155,"20,824"
2019-04-09,154,161,153.5,157.2,155.3,"51,627"
2019-04-08,157.3,161,156.7,161,157.2,"43,210"
2019-04-07,158.5,163.8,158.2,162.1,158.5,"51,257"
2019-04-04,161,164.9,160.7,164,162,"67,665"
2019-04-03,164.6,170.8,162.2,167,163.1,"65,086"
2019-04-02,168.4,173,168.3,172,169.3,"98,510"
2019-04-01,172,172.5,166.9,166.9,169.9,"47,652"
2019-03-31,166.4,173.1,165.1,171.8,166.9,"44,880"
2019-03-28,170.3,174.8,170.2,173,171.8,"68,689"
2019-03-27,173.3,174.7,170.9,172,173,"62,597"
2019-03-25,174,175,167.4,175,170.9,"110,563"
2019-03-24,172,176.1,166.1,166.1,174.7,"122,126"
2019-03-21,167.7,168,155,157.2,165.4,"110,113"
2019-03-20,156.2,163.4,156,163.4,156.6,"80,419"
2019-03-19,161.9,162.7,156,158,160.6,"33,349"
2019-03-18,157.1,168.6,155,165.5,157.9,"65,549"
2019-03-14,165.9,168.9,165,168,165.3,"36,829"
2019-03-13,166.4,171.1,165.5,170,166.6,"46,483"
2019-03-12,169.6,173.8,169,173.8,169.8,"49,415"
2019-03-11,173.2,178,173,177.8,173.7,"60,288"
2019-03-10,176.8,179.7,174.3,179.6,175.9,"64,353"
2019-03-07,176.9,182,176.2,182,176.8,"60,294"
2019-03-06,181.4,184.6,180.6,181,181.9,"59,632"
2019-03-05,180.1,184.6,176.7,177,180.7,"80,251"
2019-03-04,176.8,179.7,176.4,176.6,177.2,"47,137"
2019-03-03,176.7,182,176.2,182,176.5,"75,456"
2019-02-27,179.7,182,178.3,182,179,"82,991"
2019-02-26,181.6,189,181.5,189,182.3,"80,767"
2019-02-25,187.2,194.8,187.2,193.5,188.4,"79,239"
2019-02-24,191.6,193.7,188.1,190,192.1,"91,188"
2019-02-20,187.5,189,185.5,186,187.7,"78,387"
2019-02-19,186.5,189.4,185.3,188,185.8,"68,936"
2019-02-18,186.9,191.8,186.1,189.9,187.3,"65,380"
2019-02-17,189,195,188.3,195,189.2,"109,607"
2019-02-14,194.9,195,191.9,191.9,192.7,"102,158"
2019-02-13,191.7,199.9,190,198.2,190.9,"197,232"
2019-02-12,198,205.9,194,205,197.1,"221,138"
2019-02-11,204,209.9,202.9,207.5,203.4,"111,520"
2019-02-10,206.3,214,205.2,206,206.7,"196,733"
2019-02-07,204.1,208.9,202.1,207,204,"131,339"
2019-02-06,205,209.8,203,207.2,204.2,"119,737"
2019-02-05,207,209.8,205.2,206.3,206,"116,313"
2019-02-04,205.4,211.9,204,210,205.4,"109,891"
2019-02-03,207.1,216.7,206.5,212.7,207.5,"164,970"
2019-01-31,208.5,223.5,207.8,220,209.2,"288,216"
2019-01-30,219,220,208,212,219,"330,719"
2019-01-29,208.5,210,203.9,209,208.7,"203,100"
2019-01-28,208.5,210,204.5,205,205.7,"207,331"
2019-01-27,202.7,215,202,205.6,204.2,"169,234"
2019-01-24,206,216.4,202.9,213.7,204.2,"228,088"
2019-01-23,211,224,210,223,211,"246,910"
2019-01-22,220,223.8,212.3,213,218.5,"290,961"
2019-01-21,213,223.9,211.5,222,212.2,"230,002"
2019-01-20,220,228.8,216,224,219.6,"261,920"
2019-01-17,224,232.8,222.2,228.9,223.6,"268,503"
2019-01-16,227.8,237,226,229.5,227.6,"384,646"
2019-01-15,225.5,238,222.2,237.4,226,"505,291"
2019-01-14,237.5,245,231.1,243,235,"482,790"
2019-01-13,239.7,240,222.1,229,238.5,"660,601"
2019-01-10,224,235,222.1,227,224.8,"459,965"
2019-01-09,226,226,212,219,222.3,"570,793"
2019-01-08,216.7,227,208,220,216,"515,704"
2019-01-07,218.3,219.3,195,204,218.4,"554,086"
2019-01-06,202.6,202.6,186,186,201.7,"493,065"
2019-01-03,184.4,184.5,169,170,184.2,"301,431"
2019-01-02,167.6,170,160.7,160.9,167.8,"185,410"
2019-01-01,158.9,159.5,155,156,158.3,"38,593"
2018-12-27,155,155,153.1,154,154.5,"28,306"
2018-12-26,154.1,154.8,153.2,154.8,154.2,"31,666"
2018-12-24,153,153.2,151,152,152.8,"24,255"
2018-12-23,153.3,155.7,152.2,154.4,153,"24,382"
2018-12-20,154.9,155.5,150.2,151.5,154.1,"35,603"
2018-12-19,150.1,152,149.5,152,150.5,"34,528"
2018-12-18,151.8,153.9,149.1,153.9,150.9,"49,081"
2018-12-17,154,161.8,151.1,159,154,"87,106"
