DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,4.3,4.5,4.3,4.5,4.3,"11,342"
2019-06-27,4.3,4.4,4.2,4.2,4.3,"24,413"
2019-06-26,4.4,4.5,4.1,4.3,4.2,"76,373"
2019-06-25,4.3,4.5,4.3,4.4,4.4,"61,289"
2019-06-24,4.3,4.5,4.3,4.4,4.3,"59,011"
2019-06-23,4.4,4.6,4.3,4.4,4.4,"38,306"
2019-06-20,4.5,4.6,4.4,4.5,4.4,"22,853"
2019-06-19,4.5,4.6,4.3,4.4,4.5,"40,507"
2019-06-18,4.6,4.6,4.4,4.5,4.4,"33,321"
2019-06-17,4.5,4.7,4.5,4.6,4.6,"6,510"
2019-06-16,4.7,4.7,4.5,4.6,4.6,"14,122"
2019-06-13,4.6,4.6,4.4,4.5,4.6,"63,067"
2019-06-12,4.5,4.6,4.4,4.5,4.6,"19,303"
2019-06-11,4.6,4.7,4.4,4.5,4.4,"29,339"
2019-06-10,4.6,4.7,4.5,4.5,4.6,"21,850"
2019-06-09,4.4,4.7,4.4,4.6,4.6,"25,188"
2019-05-30,4.6,4.6,4.6,4.6,4.6,"23,500"
2019-05-29,4.6,4.7,4.5,4.6,4.6,"30,561"
2019-05-28,4.7,4.7,4.5,4.6,4.6,"33,420"
2019-05-27,4.7,4.7,4.5,4.6,4.6,"11,332"
2019-05-26,4.6,4.7,4.4,4.6,4.6,"40,620"
2019-05-23,4.7,4.8,4.6,4.6,4.7,"48,004"
2019-05-22,4.6,4.7,4.5,4.6,4.6,"15,309"
2019-05-21,4.6,4.6,4.5,4.6,4.6,"12,734"
2019-05-20,4.6,4.6,4.5,4.5,4.6,"8,050"
2019-05-19,4.6,4.7,4.5,4.5,4.6,"27,189"
2019-05-16,4.6,4.7,4.6,4.7,4.6,"15,185"
2019-05-15,4.6,4.6,4.5,4.6,4.6,"21,079"
2019-05-14,4.6,4.6,4.5,4.5,4.6,"22,631"
2019-05-13,4.6,4.7,4.5,4.6,4.6,"30,037"
2019-05-12,4.6,4.7,4.5,4.7,4.6,"22,375"
2019-05-09,4.6,4.6,4.5,4.6,4.6,"18,250"
2019-05-08,4.5,4.6,4.4,4.5,4.4,"22,711"
2019-05-07,4.6,4.7,4.4,4.5,4.5,"12,872"
2019-05-06,4.7,4.7,4.6,4.7,4.7,"22,782"
2019-05-05,4.6,4.8,4.4,4.6,4.8,"156,982"
2019-05-02,4.5,4.5,4,4,4.4,"14,888"
2019-04-30,4.2,4.2,4.1,4.1,4.2,"20,945"
2019-04-29,4.1,4.1,4.1,4.1,4.1,"3,900"
2019-04-28,4,4.1,4,4.1,4,"16,987"
2019-04-25,4.3,4.5,3.9,4.3,4,"107,946"
2019-04-24,4.3,4.4,4.2,4.3,4.3,"24,329"
2019-04-23,4.5,4.5,4.3,4.4,4.4,"7,421"
2019-04-21,4.5,4.6,4.4,4.6,4.5,"9,300"
2019-04-18,4.5,4.5,4.4,4.4,4.4,"11,009"
2019-04-17,4.6,4.6,4.4,4.6,4.4,"5,152"
2019-04-16,4.5,4.7,4.4,4.7,4.5,"14,414"
2019-04-15,4.6,4.7,4.5,4.5,4.7,"55,569"
2019-04-11,4.4,4.4,4.1,4.2,4.3,"51,529"
2019-04-10,4.4,4.4,4.2,4.4,4.3,"19,805"
2019-04-09,4.3,4.4,4.3,4.3,4.3,"8,813"
2019-04-08,4.4,4.4,4.3,4.3,4.4,"73,021"
2019-04-07,4.4,4.5,4.3,4.4,4.3,"17,183"
2019-04-04,4.4,4.5,4.4,4.5,4.4,301
2019-04-03,4.4,4.4,4.4,4.4,4.4,"6,470"
2019-04-02,4.5,4.5,4.4,4.5,4.4,"5,690"
2019-04-01,4.5,4.5,4.2,4.4,4.3,"42,115"
2019-03-31,4.3,4.5,4.2,4.4,4.3,"45,819"
2019-03-28,4.5,4.5,4.4,4.5,4.5,"11,745"
2019-03-27,4.6,4.6,4.4,4.5,4.5,"16,497"
2019-03-25,4.5,4.6,4.5,4.5,4.5,"21,704"
2019-03-24,4.5,4.6,4.4,4.6,4.5,"18,304"
2019-03-21,4.5,4.6,4.4,4.5,4.5,"20,817"
2019-03-20,4.6,4.6,4.3,4.5,4.5,"10,882"
2019-03-19,4.6,4.7,4.3,4.3,4.5,"30,628"
2019-03-18,4.5,4.6,4.2,4.2,4.5,"11,327"
2019-03-14,4.5,4.6,4.4,4.6,4.6,"82,266"
2019-03-13,4.7,4.7,4.5,4.6,4.5,"39,673"
2019-03-12,4.7,4.8,4.5,4.8,4.6,"35,097"
2019-03-11,4.7,4.7,4.6,4.7,4.7,"11,201"
2019-03-10,4.7,4.9,4.6,4.6,4.7,"47,244"
2019-03-07,4.8,4.9,4.4,4.9,4.6,"23,217"
2019-03-06,4.9,4.9,4.8,4.8,4.8,"10,216"
2019-03-05,4.9,5,4.8,4.8,4.8,"3,617"
2019-03-04,5,5,4.7,4.9,4.8,"25,213"
2019-03-03,4.7,5.1,4.7,4.9,4.8,"46,172"
2019-02-27,4.8,5,4.8,5,4.9,"26,959"
2019-02-26,5,5.1,4.8,5,5,"26,033"
2019-02-25,5.1,5.1,4.9,5,5,"18,839"
2019-02-24,5,5.3,4.9,5.2,5,"55,405"
2019-02-20,5.3,5.3,5,5,5.2,"38,376"
