DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,44.9,45.6,44.9,45.1,45.4,"226,307"
2019-06-27,45.2,45.3,44.5,44.5,45.1,"399,002"
2019-06-26,45.4,45.6,44.4,44.5,45.4,"229,205"
2019-06-25,44.5,45.3,44.5,44.7,44.8,"250,430"
2019-06-24,44.2,45.5,44,44.6,44.9,"164,992"
2019-06-23,45.3,45.4,44.5,45.1,45.2,"228,705"
2019-06-20,45.3,45.6,44.5,44.5,45.3,"108,386"
2019-06-19,44.4,46.1,44.4,45.3,44.8,"42,965"
2019-06-18,45.7,46,44.8,45.5,45.7,"146,906"
2019-06-17,45.4,45.9,43.3,43.3,45.6,"145,755"
2019-06-16,45.9,46.9,45.4,46.7,45.7,"28,971"
2019-06-13,46.6,47,45.2,47,46.7,"158,114"
2019-06-12,46,47.5,45.2,47.5,45.5,"82,273"
2019-06-11,47.7,47.7,46.2,46.2,47.6,"80,341"
2019-06-10,47.3,47.3,45.8,46.9,47,"97,338"
2019-06-09,47.1,47.2,45.8,46.3,46.9,"36,941"
2019-05-30,46.6,46.6,45.2,45.3,46.5,"194,338"
2019-05-29,46,46.3,44.2,44.2,45.9,"191,746"
2019-05-28,45.6,45.8,44,45.4,45.1,"398,070"
2019-05-27,45,46.1,43.2,46.1,44,"97,675"
2019-05-26,45.5,46.5,44,46.5,45.7,"174,905"
2019-05-23,46.2,47.4,44.7,47.4,45.1,"130,785"
2019-05-22,46.9,47.8,46,47.8,46.4,"228,867"
2019-05-21,47,48.4,46.5,48.4,46.9,"169,878"
2019-05-20,48.2,48.5,45.9,46.6,48.1,"263,712"
2019-05-19,47.1,49.1,46.4,49.1,46.9,"233,705"
2019-05-16,49,50.3,48.5,50.3,49.1,"168,233"
2019-05-15,50,52.4,49,50.8,49.3,"494,289"
2019-05-14,52.4,53.2,50.8,52.9,51.7,"320,592"
2019-05-13,53.1,53.9,50.7,52.2,53,"856,952"
2019-05-12,52,53,50.6,50.6,51.5,"173,898"
2019-05-09,54,55.8,50.9,55.8,51.8,"442,439"
2019-05-08,54.9,56.1,54.5,55.9,55.2,"436,717"
2019-05-07,55.8,56.4,54,56,55.5,"341,072"
2019-05-06,55.8,55.9,53.7,54.7,55.7,"199,321"
2019-05-05,54.8,54.9,51.1,52.5,54.7,"271,126"
2019-05-02,53.9,54,50,50.2,52.7,"54,783"
2019-04-30,50.6,50.8,46.1,46.1,50.4,"298,238"
2019-04-29,50.1,51.8,49,50.8,50.4,"182,592"
2019-04-28,50,55,49.8,55,50.2,"381,825"
