DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,125.2,126.3,124,124.6,125.6,"10,838"
2019-06-27,124.4,130,124.4,130,124.7,"12,678"
2019-06-26,127.3,127.7,126.5,126.5,127.3,"15,572"
2019-06-25,126.2,126.7,125.3,126.1,126.4,"84,143"
2019-06-24,126.8,126.8,122.6,122.6,126.1,"19,861"
2019-06-23,125.6,126.9,124.8,125.7,125.6,"14,025"
2019-06-20,126,126.9,124.7,124.7,125.5,"57,653"
2019-06-19,125.1,126.2,124,124,125.1,"28,726"
2019-06-18,127,127,124.8,124.8,125,"26,635"
2019-06-17,126.2,129.9,123,123.5,127.3,"166,179"
2019-06-16,126,128.9,126,128.9,126.1,"38,485"
2019-06-13,127.2,129.5,126,129.5,126.5,"56,975"
2019-06-12,128,128.8,125,125.1,128,"105,183"
2019-06-11,127.8,127.8,122.3,126.6,125.8,"56,882"
2019-06-10,128,128,123,123,127.2,"70,900"
2019-06-09,123.6,123.6,122,122.9,122.6,"54,744"
2019-05-30,123,123,121.7,121.9,122.8,"42,336"
2019-05-29,121.5,122.7,121,121,121.5,"36,587"
2019-05-28,121.6,122.8,121.3,122.8,121.6,"56,156"
2019-05-27,120.4,122,119.1,119.1,121.6,"21,157"
2019-05-26,118.6,122.6,118.1,122,118.9,"35,956"
2019-05-23,119.4,121.9,118.2,121.9,118.6,"20,740"
2019-05-22,118.7,122.3,118.6,122.3,118.9,"12,816"
2019-05-21,118.9,123,118.9,119.8,119,"20,341"
2019-05-20,119.2,123,119,123,119.8,"16,314"
2019-05-19,120.3,123.8,119.8,122,120.8,"25,293"
2019-05-16,121.8,125,118.2,125,120.7,"6,000"
2019-05-15,120.7,122.9,119.5,122.9,120.4,"10,453"
2019-05-14,120.3,122,120.3,122,120.4,"4,780"
2019-05-13,121.5,124.4,119.6,124.4,120.2,"27,533"
2019-05-12,122.5,125,120,125,120.2,"23,801"
2019-05-09,122.9,126.9,122.5,126.1,123,"31,416"
2019-05-08,123.9,127.1,123.7,125,126.7,"50,112"
2019-05-07,124,130.9,123.7,130,126.3,"31,698"
2019-05-06,130.3,130.7,125,130.5,129.9,"91,093"
