DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,8.6,8.6,8.3,8.3,8.5,"30,250"
2019-06-27,8.3,8.4,8.2,8.3,8.4,"39,837"
2019-06-26,8.3,8.5,8.3,8.4,8.4,"22,301"
2019-06-25,8.4,8.5,8.4,8.4,8.4,"12,491"
2019-06-24,8.4,8.6,8.4,8.4,8.5,"94,385"
2019-06-23,8.3,8.4,8.3,8.3,8.4,"23,748"
2019-06-20,8.4,8.4,8.3,8.3,8.4,"7,000"
2019-06-19,8.4,8.5,8.3,8.3,8.5,"14,639"
2019-06-18,8.3,8.4,8.3,8.4,8.3,"26,200"
2019-06-17,8.3,8.4,8.3,8.4,8.4,"5,373"
2019-06-16,8.5,8.5,8.3,8.4,8.4,"57,870"
2019-06-13,8.5,8.5,8.4,8.4,8.4,"3,252"
2019-06-12,8.5,8.5,8.4,8.4,8.5,"13,431"
2019-06-11,8.4,8.5,8.4,8.4,8.4,"10,399"
2019-06-10,8.3,8.4,8,8.4,8.3,"5,751"
2019-06-09,8.5,8.5,8.3,8.3,8.4,826
2019-05-30,8.5,8.5,8.4,8.4,8.5,"7,025"
2019-05-29,8.4,8.4,8.3,8.3,8.3,"4,367"
2019-05-28,8.3,8.3,8.3,8.3,8.3,678
2019-05-27,8.3,8.3,8.3,8.3,8.3,"3,832"
2019-05-26,8.5,8.5,8.2,8.2,8.5,"10,477"
2019-05-23,8.3,8.5,8.3,8.4,8.4,"45,715"
2019-05-22,8.4,8.5,8.3,8.4,8.4,"15,382"
2019-05-21,8.3,8.7,8.3,8.4,8.4,"43,995"
2019-05-20,8.4,8.5,8.3,8.5,8.4,"15,568"
2019-05-19,8.5,8.6,8.4,8.6,8.5,"13,877"
2019-05-16,8.6,8.6,8.5,8.6,8.5,"26,300"
2019-05-15,8.5,8.6,8.5,8.5,8.5,"6,616"
2019-05-14,8.6,8.6,8.6,8.6,8.6,"3,044"
2019-05-13,8.9,8.9,8.5,8.7,8.7,"24,413"
2019-05-12,8.6,8.6,8.5,8.5,8.6,"36,392"
2019-05-09,8.6,8.6,8.5,8.5,8.6,"3,835"
