DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,100.1,101.2,99.9,100,100,"48,076"
2019-06-27,100.6,100.6,100,100,100.2,"14,163"
2019-06-26,99.9,100.9,99.8,100.1,100,"56,288"
2019-06-25,101.2,101.8,99.8,99.8,100,"39,390"
2019-06-24,100.1,101.8,100,101.7,100.1,"49,869"
2019-06-23,101.2,102.9,100,102.2,100.7,"26,692"
2019-06-20,102.5,105,102.1,104,102.5,"70,848"
2019-06-19,102,107,100,101,102.8,"172,598"
2019-06-18,100,101,99.6,100.1,99.7,"96,096"
2019-06-17,100,100.4,98.5,99,99.9,"64,053"
2019-06-16,100.7,102.2,100,102.2,100,"51,684"
2019-06-13,102.4,102.5,99.8,100.9,102.2,"79,619"
2019-06-12,100,101,99.9,100.1,100.1,"53,240"
2019-06-11,101,101.3,99.6,101.3,100.1,"40,025"
2019-06-10,101,104.5,99.5,103.9,100.3,"41,165"
2019-06-09,102.3,103,97.1,97.6,102.7,"31,652"
2019-05-30,97.5,99,96.6,96.7,97.9,"26,032"
2019-05-29,96.8,97.9,96.5,96.8,96.7,"29,570"
2019-05-28,97,98,96.9,98,97.1,"52,256"
2019-05-27,97.9,99.4,97.8,99.1,98,"78,069"
2019-05-26,97,97.5,94.5,94.5,96.9,"55,449"
2019-05-23,95.7,95.7,94.5,95.7,95.2,"6,881"
2019-05-22,94.6,95.6,94.2,95.6,94.3,"37,289"
2019-05-21,94.3,95,94,95,94.2,"29,420"
2019-05-20,94.7,96.1,94.7,96,94.9,"10,805"
2019-05-19,96,97,95.1,95.5,96.9,"18,336"
2019-05-16,95,95.5,94,95.5,95,"20,738"
2019-05-15,95.2,95.2,93.6,93.8,94.5,"57,417"
2019-05-14,93.6,95.7,93.5,95.7,93.9,"11,575"
2019-05-13,94,94.8,94,94.8,94,"19,883"
2019-05-12,95.2,95.2,94.9,95,95.1,"7,825"
2019-05-09,95.6,95.6,94.5,94.5,95.2,"7,355"
2019-05-08,94.5,94.5,93.9,94.2,94.1,"21,030"
2019-05-07,95,95,94,95,94.3,"55,647"
2019-05-06,94.9,96.9,94.6,95.7,95,"36,190"
2019-05-05,96,96,94,94,95.6,"46,191"
2019-05-02,95,95,93,93.7,94.5,"20,636"
2019-04-30,92,94.5,92,94,92.5,"41,667"
2019-04-29,94.5,95,93.9,95,94.1,"14,927"
2019-04-28,94.5,95.5,93.9,94.5,94.5,"68,538"
2019-04-25,94.9,96.6,94,96.6,95.3,"42,727"
2019-04-24,94.6,97,94.4,97,95.7,"42,102"
2019-04-23,96,99.1,96,99.1,96.5,"18,564"
2019-04-21,97.1,99.5,97.1,99.5,97.5,"35,680"
2019-04-18,99,99,97.7,97.7,98.9,"35,377"
2019-04-17,97.6,100,97.6,100,98.1,"17,093"
2019-04-16,99.7,100,97.9,99.9,99.9,"19,735"
2019-04-15,99.2,100,99,99.9,99.8,"1,650"
2019-04-11,99.8,99.8,97.1,99.1,98.9,"10,183"
2019-04-10,98.2,99,98,98,98.1,"12,557"
2019-04-09,98.4,100,98.1,98.9,98.6,"24,402"
2019-04-08,99,100,98.7,99.2,98.9,"17,431"
2019-04-07,100.8,101.2,100.1,100.8,100.6,"8,879"
2019-04-04,100.2,101,99,101,100.2,"32,039"
2019-04-03,101,104,101,104,101,"23,059"
2019-04-02,102.5,105,102.5,105,103.3,"11,458"
2019-04-01,104,105.3,102.1,105.2,103,"27,850"
2019-03-31,105.7,106.9,105.2,106.9,105.3,"6,060"
2019-03-28,106.4,106.8,105.5,106.8,106.1,"7,952"
2019-03-27,105.3,108.5,105.3,108.2,106,"8,475"
2019-03-25,108.9,108.9,106.5,106.5,108.3,"50,256"
2019-03-24,106.2,108,105,106.5,106.8,"38,925"
2019-03-21,107,107,104.3,104.7,105.1,"24,885"
2019-03-20,102,109.9,102,108,104.3,"29,766"
2019-03-19,104,106.5,100,106.1,104.4,"45,252"
2019-03-18,105.2,109,105.1,109,106.9,"23,724"
2019-03-14,109.4,110,109.4,109.9,109.8,"105,874"
2019-03-13,109.5,112,109.2,112,109.7,"58,424"
2019-03-12,109.8,110,109.8,110,109.9,"48,440"
2019-03-11,110,110.4,109.9,110,110,"22,586"
2019-03-10,110.8,111.8,110,111.4,110,"19,364"
2019-03-07,110.1,112,109.6,109.7,110.6,"53,535"
2019-03-06,110,110.8,109.8,110.8,110,"34,579"
2019-03-05,110.4,110.4,109.6,109.6,109.9,"76,803"
2019-03-04,109.7,110.9,109,109.5,109.5,"81,427"
2019-03-03,109.9,110.5,109.9,110,110,"67,352"
2019-02-27,110.7,111.5,109.7,111,109.8,"82,641"
2019-02-26,110.6,112.3,110.6,112.2,111,"16,461"
2019-02-25,111.1,112.8,110,110,112.1,"115,517"
2019-02-24,110,111,110,110.8,110,"21,325"
2019-02-20,110,111.5,108,109.7,110.1,"149,452"
2019-02-19,110.5,111,109.9,111,110.1,"39,305"
2019-02-18,109.9,110.3,109.8,110,110,"67,683"
2019-02-17,110.1,112,109.9,111.8,110.1,"53,293"
2019-02-14,110,111.8,109.9,111.8,110.4,"33,228"
2019-02-13,109.9,112.5,109.5,111.6,110,"53,929"
2019-02-12,109.6,111.8,109.3,109.4,110,"132,230"
2019-02-11,110,112,110,111.8,110.1,"53,029"
2019-02-10,110,112,108,109,110.2,"61,207"
2019-02-07,110.2,113,109,112,110,"116,313"
2019-02-06,110.9,115,110,111,111.8,"103,098"
2019-02-05,111,112,109,111.6,110.5,"54,202"
2019-02-04,111.6,113.8,111.2,111.3,111.8,"124,842"
2019-02-03,111.6,112.6,111.6,112,112,"57,935"
2019-01-31,112.4,113.2,111.5,113.1,111.9,"64,114"
2019-01-30,113.1,114.9,112.5,113.8,113.1,"195,156"
2019-01-29,113.9,115.8,111.6,112.1,112.2,"413,631"
2019-01-28,112.4,113.8,111.1,111.6,112,"186,611"
2019-01-27,111.8,115,111.5,113.8,112,"105,157"
2019-01-24,112.3,114,111.9,112.7,112.4,"124,701"
2019-01-23,111.9,114,110.4,113.8,111.4,"125,640"
2019-01-22,111.8,117.5,111.1,116.5,112.1,"118,022"
2019-01-21,115.9,121.1,115.5,119.6,116.2,"325,540"
2019-01-20,118,121.1,115.2,117,117.5,"250,506"
2019-01-17,116.2,122,111.1,113.6,115.5,"499,247"
2019-01-16,114.3,117.5,114.3,116.9,115,"343,230"
2019-01-15,115.9,116.5,109.4,111.5,115.7,"629,983"
2019-01-14,110.9,112.9,110,112,110.5,"213,717"
2019-01-13,112.8,114.4,110.4,112.7,112,"257,067"
2019-01-10,112.1,116,112.1,113,112.7,"281,306"
2019-01-09,112,113.9,108.1,109,112,"419,391"
2019-01-08,109.7,110.8,107.8,108.5,108.5,"244,219"
2019-01-07,108,110,107.8,110,108.2,"114,303"
2019-01-06,109.2,110.8,108.1,109.8,109,"195,606"
2019-01-03,109.2,109.8,107.7,108.6,108.2,"229,089"
2019-01-02,108,108.8,106.7,107.7,107.7,"151,767"
2019-01-01,109.5,110.1,107.1,108.6,107.9,"43,719"
2018-12-27,109.5,111,107.2,108.5,109.8,"215,366"
2018-12-26,108.4,108.4,106.7,106.8,108,"65,776"
2018-12-24,107.5,107.5,106.4,106.8,107,"54,008"
2018-12-23,107.7,109.5,106.6,108.8,107.1,"57,771"
2018-12-20,109.8,112.4,108.4,111,109.1,"101,409"
2018-12-19,111,112,108,108.7,110.9,"309,582"
2018-12-18,108,109.5,106.1,106.1,108.3,"263,829"
2018-12-17,106,109.9,105.7,109.9,106.1,"88,797"
2018-12-13,108.7,110.8,108.6,110.1,109.6,"135,657"
2018-12-12,109.6,111.5,108.2,108.4,109.9,"265,375"
2018-12-11,107.5,108.7,105.4,107.5,107,"156,122"
2018-12-10,107.2,110.8,107.2,109.9,107.5,"152,216"
2018-12-09,108.6,111,107.2,107.2,109.7,"207,601"
2018-12-06,106,107.3,105.4,107,106.3,"267,675"
2018-12-05,107.5,109.1,106,107,106.4,"128,713"
2018-12-04,105.8,108,105.7,107.8,105.9,"78,847"
2018-12-03,107,108.1,105.4,105.6,106.8,"123,152"
2018-12-02,106.1,108.9,105,107.6,106,"66,743"
2018-11-29,106.9,109.8,106.9,109.8,107.2,"145,778"
2018-11-28,108.3,113,107.8,107.8,108.4,"200,045"
2018-11-27,107.9,109.8,107.5,109,107.7,"167,409"
2018-11-26,107.6,111,107.3,108,107.6,"109,431"
2018-11-25,107.4,111.5,106.1,110.8,107.4,"102,827"
2018-11-22,109.1,113.5,109,112,109.6,"142,639"
2018-11-20,111.2,114.1,111.2,111.2,111.6,"248,744"
2018-11-19,110.7,115,110.7,113.7,111.4,"157,716"
2018-11-18,111.9,114.9,110.6,110.6,113,"730,449"
2018-11-15,112,113.8,110,112.4,111.7,"235,238"
2018-11-14,113.7,114,108.8,112.9,111.7,"361,053"
2018-11-13,113.4,114.3,110.6,113.3,112.8,"204,292"
2018-11-12,113,114.9,108.3,108.3,111.8,"184,734"
2018-11-11,110.5,113.2,109.5,110.1,110.3,"123,130"
2018-11-08,111.7,116.9,110,115.9,111.8,"250,498"
2018-11-07,114,115.9,112.6,113.9,114.8,"342,163"
2018-11-06,113,116,107,107,111.7,"669,605"
2018-11-05,105.7,111,105.5,109,106.6,"192,382"
2018-11-04,108,112.5,107,110.1,107.5,"459,162"
2018-11-01,112.2,117.1,111.8,117.1,112.7,"421,888"
2018-10-31,116,117.8,111.6,113.5,116.6,"444,605"
2018-10-30,113.9,116,110,114.1,112.4,"496,124"
2018-10-29,114.2,116.8,111.3,116.8,114.1,"281,404"
2018-10-28,116,120.7,113.8,119.3,115.1,"794,808"
2018-10-25,119.5,122.3,115,117,119.3,"982,392"
2018-10-24,116.2,125,116,125,116.9,"1,011,083"
2018-10-23,123,125.5,114.4,116.5,123.1,"2,204,154"
2018-10-22,113,119.2,112.5,112.5,114.1,"1,410,883"
2018-10-21,111,116.7,110.5,116.7,111,"172,211"
2018-10-18,115,117.5,110.1,110.1,115,"874,508"
2018-10-17,110.1,112.5,108.1,109,111.2,"410,027"
2018-10-16,108.8,109.9,106,106,108.9,"81,458"
2018-10-15,106.2,107.8,106,107.8,106.3,"30,562"
2018-10-14,106.5,111,106,106,106.7,"39,504"
2018-10-11,109.9,115,109,110.2,109.8,"202,649"
2018-10-10,110.9,112,102.4,105.4,110.2,"392,476"
2018-10-09,104.1,105,102.5,104,103.1,"95,906"
2018-10-08,104.8,107.5,102.4,102.4,104.2,"55,440"
2018-10-07,102.3,107.8,101,104,102.2,"143,162"
2018-10-04,103.8,108.9,103.1,104.7,104,"100,090"
2018-10-03,103,104.9,100.2,102.7,101.8,"63,411"
2018-10-02,103,106,102.3,102.6,103.5,"92,387"
2018-10-01,102.6,111,100.7,100.7,102.7,"117,162"
