DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,6.6,6.6,6.4,6.4,6.6,"176,471"
2019-06-27,6.4,6.5,6.3,6.3,6.5,"91,540"
2019-06-26,6.5,6.5,6.3,6.3,6.3,"222,649"
2019-06-25,6.4,6.4,6.3,6.4,6.3,"73,578"
2019-06-24,6.5,6.5,6.4,6.4,6.5,"206,292"
2019-06-23,6.4,6.5,6.3,6.5,6.3,"187,789"
2019-06-20,6.5,6.5,6.4,6.4,6.5,"234,331"
2019-06-19,6.4,6.4,6.3,6.4,6.4,"155,476"
2019-06-18,6.4,6.4,6.2,6.3,6.4,"273,756"
2019-06-17,6.3,6.4,6.3,6.3,6.3,"127,276"
2019-06-16,6.4,6.4,6.2,6.3,6.3,"82,721"
2019-06-13,6.4,6.4,6.2,6.2,6.3,"122,548"
2019-06-12,6.3,6.4,6.1,6.3,6.2,"145,091"
2019-06-11,6.3,6.4,6.3,6.3,6.3,"76,564"
2019-06-10,6.4,6.4,6.2,6.2,6.3,"34,315"
2019-06-09,6.2,6.3,6.2,6.3,6.2,"65,930"
2019-05-30,6.2,6.4,6.2,6.2,6.3,"84,890"
2019-05-29,6.3,6.3,6.2,6.3,6.2,"69,100"
2019-05-28,6.3,6.4,6.2,6.2,6.3,"42,809"
2019-05-27,6.1,6.2,6.1,6.2,6.1,"19,028"
2019-05-26,6.2,6.3,6.1,6.3,6.2,"81,162"
2019-05-23,6.4,6.4,6.1,6.1,6.3,"67,258"
2019-05-22,6.3,6.3,6.2,6.2,6.2,"36,267"
2019-05-21,6.2,6.3,6.2,6.3,6.2,"40,134"
2019-05-20,6.3,6.3,6.2,6.3,6.3,"4,501"
2019-05-19,6.4,6.7,6.2,6.2,6.4,"238,697"
2019-05-16,6.1,6.2,6.1,6.1,6.1,"41,076"
2019-05-15,6.1,6.2,6.1,6.2,6.1,"18,397"
2019-05-14,6.3,6.3,6.1,6.2,6.1,"71,142"
2019-05-13,6.2,6.5,6.2,6.3,6.2,"57,624"
2019-05-12,6.3,6.7,6.2,6.2,6.3,"152,638"
2019-05-09,6.1,6.1,6,6,6.1,"32,149"
2019-05-08,6,6.1,6,6.1,6.1,"13,994"
2019-05-07,6.2,6.2,6.1,6.1,6.2,"36,150"
2019-05-06,6.1,6.4,6.1,6.4,6.2,"38,335"
2019-05-05,6.2,6.3,6.1,6.2,6.2,"27,431"
2019-05-02,5.9,6,5.9,6,6,"60,911"
2019-04-30,5.9,6.1,5.9,6.1,5.9,"98,323"
2019-04-29,6,6,5.9,6,5.9,"27,836"
2019-04-28,6.1,6.1,6,6,6,"30,760"
2019-04-25,6.2,6.2,6.1,6.1,6.1,"24,878"
2019-04-24,6.3,6.3,6,6.1,6.1,"35,556"
2019-04-23,6.1,6.2,6.1,6.2,6.1,"43,230"
2019-04-21,6.3,6.3,6.2,6.2,6.3,"54,247"
2019-04-18,6,6.2,6,6.2,6.1,"35,723"
2019-04-17,6,6.1,6,6.1,6,"64,518"
2019-04-16,6.2,6.2,6.1,6.2,6.1,"24,690"
2019-04-15,6.2,6.4,6.2,6.2,6.2,"93,600"
2019-04-11,6,6.1,6,6.1,6,"39,420"
2019-04-10,6.1,6.2,6,6.1,6,"53,809"
2019-04-09,6.1,6.2,6,6,6.1,"72,302"
2019-04-08,6.1,6.3,6.1,6.3,6.1,"163,463"
2019-04-07,6.2,6.3,6.1,6.2,6.2,"77,755"
2019-04-04,6.2,6.3,6,6.2,6.3,"142,395"
2019-04-03,6.2,6.3,6.2,6.3,6.2,"86,471"
2019-04-02,6.3,6.4,6.3,6.3,6.3,"47,870"
2019-04-01,6.3,6.3,6.2,6.3,6.2,"62,559"
2019-03-31,6.3,6.5,6.2,6.5,6.3,"56,728"
2019-03-28,6.4,6.6,6.4,6.4,6.5,"45,101"
2019-03-27,6.4,6.5,6.4,6.4,6.4,"67,601"
2019-03-25,6.5,6.6,6.3,6.3,6.5,"99,833"
2019-03-24,6.2,6.4,6.2,6.3,6.2,"120,989"
2019-03-21,6.2,6.4,6.2,6.3,6.3,"95,741"
2019-03-20,6.3,6.6,6.3,6.3,6.3,"53,000"
2019-03-19,6.2,6.5,6.2,6.4,6.3,"284,152"
