DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,45.6,46.2,45.6,45.8,45.7,"129,659"
2019-06-27,46.2,46.5,45.3,46.2,45.6,"153,796"
2019-06-26,45.9,46.5,45.8,46,45.9,"81,246"
2019-06-25,45.7,46.3,45.7,45.8,45.8,"108,589"
2019-06-24,45.8,46,45.2,45.9,45.9,"134,459"
2019-06-23,46.1,46.2,44.7,45,45.8,"248,099"
2019-06-20,45.4,45.5,44.5,45,45.3,"180,441"
2019-06-19,45.1,45.4,44.3,45.4,45,"183,566"
2019-06-18,44.8,46.4,44.6,45.9,44.9,"98,488"
2019-06-17,44.8,45.4,44.8,45.4,44.9,"134,120"
2019-06-16,45.6,46.5,45.6,46,45.7,"111,404"
2019-06-13,45.8,46.4,45.8,46.3,46.1,"300,135"
2019-06-12,46.5,47.1,46,46.2,46.4,"257,445"
2019-06-11,46.2,46.8,46.1,46.3,46.2,"153,499"
2019-06-10,46.3,46.5,45.8,45.8,46.5,"107,019"
2019-06-09,45.5,46.3,45.4,45.6,45.8,"72,587"
2019-05-30,46.2,46.2,45.5,45.8,46,"117,102"
2019-05-29,45.9,46.3,45.7,46.3,45.8,"109,079"
2019-05-28,45.7,46.8,45.1,46,45.6,"238,109"
2019-05-27,46,46.3,45.5,46.2,46.1,"162,894"
2019-05-26,45.9,46.8,45.8,46.2,45.9,"213,239"
2019-05-23,46.3,47,45.8,46.5,46.3,"261,832"
2019-05-22,46,46.5,45.8,45.8,46,"152,226"
2019-05-21,45.9,47.7,45.9,47.7,46.2,"219,323"
2019-05-20,46.6,47.1,46.3,47,46.6,"109,505"
2019-05-19,46.6,47.4,46.5,47.2,46.8,"174,067"
2019-05-16,46.8,48.5,46.8,47.7,47.2,"233,066"
2019-05-15,47.4,48.3,47.3,47.8,47.4,"156,300"
2019-05-14,48.5,49.1,47.8,49.1,48.1,"373,698"
2019-05-13,49.2,50.3,48.4,48.6,49,"1,563,776"
2019-05-12,48.5,48.5,46.6,46.6,48.2,"936,871"
2019-05-09,46.6,47,46.1,47,46.5,"163,911"
2019-05-08,46.2,47.8,46.1,47.7,46.7,"223,579"
2019-05-07,47.7,48.1,45.6,45.6,47.3,"1,584,293"
2019-05-06,45.2,46.6,45.2,45.9,45.6,"126,852"
2019-05-05,46.5,46.5,44.7,44.7,46.1,"231,074"
2019-05-02,44.9,46,44.5,46,44.7,"147,440"
2019-04-30,44.3,45.3,44.2,45.1,44.4,"115,118"
2019-04-29,44.9,45.7,44.9,45.7,45.1,"112,044"
2019-04-28,45.3,47,45.1,46.2,45.4,"360,616"
2019-04-25,45.6,45.8,44.8,45.2,45.6,"111,710"
2019-04-24,45,45.8,44.8,45.7,45.1,"156,040"
2019-04-23,45.3,45.9,45.1,45.4,45.5,"232,569"
2019-04-21,45.3,45.7,44.7,44.7,45.4,"103,468"
2019-04-18,44.1,44.8,43.2,43.4,44.4,"26,687"
2019-04-17,43.2,43.8,42.8,43.8,43.4,"23,450"
2019-04-16,43.6,43.9,42.8,43.1,43,"55,326"
2019-04-15,43.8,44.6,43.8,44.6,43.9,780
2019-04-11,44.2,44.5,43.6,44,43.9,"5,800"
2019-04-10,44,45.5,43.4,44,44,"83,359"
2019-04-09,43.7,44.8,42.8,44,43.2,"31,700"
2019-04-08,44,44,43,44,43.6,"97,280"
2019-04-07,44.3,45.5,44,44,44.5,"46,630"
2019-04-04,44.5,44.5,43.6,43.7,44.2,"11,928"
2019-04-03,44.2,44.5,43.7,43.7,44.2,"17,806"
2019-04-02,44.5,45.1,44.4,44.8,44.6,"44,255"
2019-04-01,44.6,45.5,44.5,45.5,44.7,"21,623"
2019-03-31,44.8,45.1,44.7,45,44.8,"27,520"
2019-03-28,45,46.2,43.7,43.7,45.3,"84,237"
2019-03-27,44.5,44.5,43.9,44.4,43.9,"51,323"
2019-03-25,45.5,45.5,44.8,45,45,"27,237"
2019-03-24,44.1,45,43.9,44.1,44,"215,106"
2019-03-21,44.5,44.7,44,44.7,44.6,"57,814"
2019-03-20,44.5,44.6,43.4,43.5,44.5,"41,986"
2019-03-19,43.7,44.7,43.3,44.3,43.8,"256,745"
2019-03-18,45.7,45.7,43.7,45,44.7,"162,835"
2019-03-14,45.5,46.8,45,45.1,45.5,"80,823"
2019-03-13,45.6,46.4,45.6,46.1,45.7,"94,837"
2019-03-12,46.8,47,46.1,47,46.7,"102,315"
2019-03-11,47,48.2,46.5,47,47,"221,525"
