DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,28.5,30,28.5,30,28.6,"131,504"
2019-06-27,29.4,30.2,29.1,29.5,29.3,"279,979"
2019-06-26,29.5,29.7,27.4,27.4,29.2,"235,305"
2019-06-25,27.6,28,27.6,28,27.7,"113,453"
2019-06-24,28.3,28.4,27.9,28.3,28.1,"25,569"
2019-06-23,28,28.3,27.5,28,28.1,"220,872"
2019-06-20,28.7,28.9,28,28.5,28.2,"112,735"
2019-06-19,28.4,29.8,28.4,28.7,28.7,"383,484"
2019-06-18,28.5,29.5,28.1,29,28.4,"456,640"
2019-06-17,28.3,28.9,27.4,27.4,28.2,"195,487"
2019-06-16,27.4,28.7,26.5,26.6,27.8,"208,062"
2019-06-13,27.9,28.3,27.3,28.3,27.7,"72,140"
2019-06-12,27.8,28.3,25.8,25.9,27.7,"262,259"
2019-06-11,25.5,26.7,25.5,26.4,25.8,"70,998"
2019-06-10,25.6,26,25.2,25.4,25.8,"111,860"
2019-06-09,25.5,26.2,25.5,26.2,25.6,"64,807"
2019-05-30,25.6,25.8,25.2,25.6,25.4,"122,833"
2019-05-29,25,25.4,25,25.1,25,"138,829"
2019-05-28,24.7,25.7,23.6,25.7,24.9,"162,100"
2019-05-27,25,25.9,24.8,25.1,25.1,"282,237"
2019-05-23,26.3,26.3,25.7,26,26.2,"600,755"
2019-05-22,25.6,25.9,25,25.3,25.7,"289,441"
2019-05-21,25,25,24,24,24.9,"293,222"
2019-05-20,24.7,25,23.9,25,24.3,"113,505"
2019-05-19,24.9,25.2,23.8,23.9,24.9,"180,152"
2019-05-16,23.6,23.7,23.3,23.5,23.6,"135,730"
2019-05-15,22.6,23.5,22.5,23.2,22.7,"44,787"
2019-05-14,23,23,22.9,23,23,"7,060"
2019-05-13,23.1,23.4,23,23.1,23.2,"32,828"
2019-05-12,23.3,23.3,23,23,23,"44,641"
2019-05-09,23.1,23.3,22.9,23,23,"19,787"
2019-05-08,23,23.1,22.7,22.7,22.9,"39,426"
2019-05-07,23.1,23.4,22.8,23.4,23,"39,605"
2019-05-06,23.1,23.5,22.7,23.3,22.8,"117,616"
2019-05-05,23.9,23.9,23,23.4,23.6,"58,611"
2019-05-02,23,23.5,21.2,22.4,22.7,"152,850"
2019-04-30,20,20.6,20,20.3,20.2,"32,150"
2019-04-29,20.4,20.4,19.7,20,20,"16,811"
2019-04-28,19.6,20.7,19.6,20.7,19.7,"37,040"
2019-04-25,21.1,21.7,20.2,20.2,20.8,"28,455"
2019-04-24,21.5,21.9,20.8,20.8,21.3,"18,475"
2019-04-23,21.3,22.8,21.3,22.8,21.5,"10,468"
2019-04-21,22.6,22.9,22,22,22.3,"16,239"
2019-04-18,22.1,23.3,22,22.7,22.3,"26,273"
2019-04-17,22.6,23,22.5,22.9,22.7,"29,399"
2019-04-16,21.9,22.1,21.8,21.8,22,"12,393"
2019-04-15,22.1,22.9,22,22.6,22.3,"43,902"
2019-04-11,22.7,23.7,22,22,22.6,"43,796"
2019-04-10,21.8,22.5,21.7,22.1,21.9,"36,143"
2019-04-09,22.2,22.9,21.2,22.9,21.7,"28,563"
2019-04-08,22,22.7,21.6,22.1,21.8,"19,751"
2019-04-07,22.6,23.4,22.5,23.1,22.6,"15,041"
2019-04-04,23.3,23.6,23.1,23.2,23.4,"103,877"
2019-04-03,23,25.4,22.8,24.5,23.2,"109,559"
2019-04-02,24.5,25.2,24.5,25.1,24.7,"152,511"
