DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,77.6,80.1,77.5,79.7,78.2,"290,019"
2019-06-27,78.5,79.9,78.3,79.3,79.2,"354,392"
2019-06-26,79.3,79.6,78.2,79,79.1,"260,503"
2019-06-25,78.5,81,78,79,79.7,"592,620"
2019-06-24,78.5,79.8,77.5,78.5,79.2,"423,295"
2019-06-23,77.6,79.2,77.5,79,78.1,"285,573"
2019-06-20,80,80.6,78.5,79.6,79.9,"387,149"
2019-06-19,80.5,81,78.5,79.7,80.3,"616,276"
2019-06-18,79.8,79.8,78.4,79,79.7,"349,004"
2019-06-18,79.8,79.8,78.4,79,79.7,"349,004"
2019-06-17,78.4,81.2,78,80.7,79,"755,784"
2019-06-16,80.2,82.5,80.2,82.4,81.2,"647,576"
2019-06-13,82.2,82.5,81.2,81.3,82.3,"434,882"
2019-06-12,82.4,82.7,80,82.3,82.3,"978,627"
2019-06-11,81.9,82.4,80,81.2,82.1,"1,103,783"
2019-06-10,80.9,81.4,79.7,79.7,81,"631,228"
2019-06-10,80.9,81.4,79.7,79.7,81,"631,228"
2019-06-09,79.9,80.5,78.5,80.2,79.9,"93,306"
2019-05-30,80.4,80.8,76.8,78,80.2,"1,013,595"
2019-05-29,77.6,78.8,76.9,78.8,78,"776,768"
2019-05-28,78,79.1,77.7,78.6,78.7,"381,571"
2019-05-27,78.2,80.2,77.5,80.2,78.4,"471,411"
2019-05-26,78,81.7,78,80,80.1,"994,342"
2019-05-23,81,82.3,80.7,82.3,81.6,"670,489"
2019-05-22,82.2,82.3,80.8,81.7,82.2,"551,536"
2019-05-21,82,83,81,82.1,82.4,"928,389"
2019-05-20,82,84.1,81.5,84.1,83.1,"872,817"
2019-05-19,83.8,83.9,83,83.6,83.7,"377,759"
2019-05-19,83.8,83.9,83,83.6,83.7,"377,759"
2019-05-19,83.8,83.9,83,83.6,83.7,"377,759"
2019-05-16,82.9,83.8,82,83.2,83.6,"466,239"
2019-05-15,83.5,85,82.2,85,83.7,"417,696"
2019-05-14,84,84.4,83,84,84,"258,071"
2019-05-13,83.4,85,83.2,84.5,84.4,"256,784"
2019-05-12,85.2,85.4,83.9,85.1,85.1,"338,113"
2019-05-09,85.5,85.7,84,85,85.1,"230,965"
2019-05-08,85.5,85.7,83,85.5,85.4,"439,128"
2019-05-07,85,87.9,83.9,86.7,85.4,"501,709"
2019-05-06,86.5,87.5,85,86.7,86.7,"534,629"
2019-05-05,87.1,88.2,84.6,84.9,86.9,"552,675"
2019-05-02,85.7,85.8,82.7,83.3,84.7,"374,757"
2019-04-30,82.9,83.5,81.4,81.4,83.1,"415,590"
2019-04-29,83.2,83.5,81,83,82.8,"574,044"
2019-04-28,84.2,84.2,81,83.3,83.8,"599,956"
2019-04-25,83.6,84,80.5,82.5,83.3,"605,902"
2019-04-24,83.2,83.4,80,82.8,83,"594,344"
2019-04-23,83.3,84,79.9,82.4,82.8,"612,361"
2019-04-21,83.6,84,81,82,82.9,"302,920"
2019-04-18,83.8,83.8,80,82,82.9,"463,178"
2019-04-17,81.6,82,80,81.5,81.4,"253,507"
2019-04-16,81,83,80,82.5,81.5,"141,625"
2019-04-15,83.2,84,82.2,83.6,83.4,"416,308"
2019-04-11,82.8,82.9,80,82,82.5,"350,825"
2019-04-10,81.8,82,80,80,81.8,"206,833"
2019-04-09,82.3,83.2,80,81.4,81.8,"251,016"
2019-04-08,82.7,83.7,81.3,83.3,82.5,"296,163"
2019-04-07,84,84.5,82.8,84.5,83.4,"290,049"
2019-04-04,83.8,84,82,82.3,83.6,"291,748"
2019-04-03,83.7,83.7,82,83.4,83.3,"232,773"
2019-04-02,83.5,83.9,82,83.2,83.3,"236,564"
2019-04-01,84.2,84.4,82,83.8,83.3,"174,567"
2019-03-31,83.7,84.6,83.7,83.8,83.9,"37,366"
2019-03-28,84.6,84.6,83,83.6,84.5,"54,043"
2019-03-27,84.8,85.5,82.7,83.7,84.3,"414,657"
2019-03-25,83.8,84.6,82.3,82.3,83.7,"149,434"
2019-03-24,83.5,83.8,81.8,83.8,83.4,"113,383"
2019-03-21,85.3,85.4,82,83.7,83.5,"129,495"
2019-03-20,84.4,85,83.8,83.8,84.2,"56,644"
2019-03-19,84.1,86.7,82.7,83.8,83.7,"66,925"
2019-03-18,83.5,85.7,83.5,85.7,83.8,"117,875"
2019-03-14,85.6,88.7,85.5,88.1,86.7,"130,804"
2019-03-13,87.6,89,87.5,89,88.1,"139,489"
2019-03-12,88.8,88.8,88.1,88.4,88.6,"107,061"
2019-03-11,88.6,89.7,88.2,89.3,88.4,"67,905"
2019-03-10,89.7,89.7,87.9,88.5,89.3,"109,969"
2019-03-07,88.1,89.8,87,87.2,87.8,"98,384"
2019-03-06,87.1,89,87,87.6,87.2,"168,797"
2019-03-05,87.2,90.3,87.2,88.5,87.9,"152,257"
2019-03-04,89.2,91.6,88.8,91.4,89.2,"204,804"
2019-03-03,90.7,91.5,88.8,89.4,91.1,"318,273"
2019-02-27,89,90,88.3,90,89.4,"198,910"
2019-02-26,89.5,90.1,86.5,87.6,89.5,"329,814"
2019-02-25,87.3,90.4,86,89.3,86.7,"668,369"
2019-02-24,90.5,91.4,87.8,91,89.9,"418,213"
2019-02-20,90.5,94.5,90,94.1,90.6,"875,611"
2019-02-19,95.2,95.7,93,95.7,94.7,"469,811"
2019-02-18,95.7,96.9,93.3,96.9,95.1,"259,459"
2019-02-17,96.1,96.4,94,94.6,95.3,"258,694"
2019-02-14,95,98.8,94.7,98,95.3,"289,601"
2019-02-13,97,98.9,93.2,97.5,97.1,"407,671"
2019-02-12,96.2,100,95,99.9,96.6,"483,611"
2019-02-11,101.4,106.6,98.4,106.3,100.5,"2,250,835"
2019-02-10,106.3,108.9,105.7,107,106.4,"788,061"
2019-02-07,106.1,106.7,102,103,106,"1,143,649"
2019-02-06,103.7,103.7,99.9,103.1,102.3,"522,129"
2019-02-05,102.3,106.9,102.1,106.9,103.2,"530,058"
2019-02-04,105,106.5,102.5,102.5,105.2,"1,230,080"
2019-02-03,101.4,102,98.6,99.4,101.5,"1,092,673"
2019-01-31,98.8,100,97,99.2,99.4,"893,594"
2019-01-30,97.6,101.4,97.3,101,99.2,"299,701"
2019-01-29,100.7,102,98,101,101,"522,546"
2019-01-28,102.3,104.9,99.2,102.6,100.7,"540,649"
2019-01-27,102.8,103,97.1,97.1,102.6,"839,048"
2019-01-24,97.1,97.2,94.3,95,96.4,"514,568"
2019-01-23,94.7,94.9,91.9,93.4,94.4,"291,436"
2019-01-22,93.1,93.9,90.2,93.5,91.2,"473,145"
2019-01-21,93.6,94.4,93.4,94,93.7,"135,994"
2019-01-20,94.1,94.7,92.4,92.8,94.1,"308,830"
2019-01-17,93.8,93.9,92.4,93.1,92.8,"281,578"
2019-01-16,95,95.5,91.9,94.2,93.4,"257,801"
2019-01-15,95.1,98.2,95.1,97.9,95.5,"496,530"
2019-01-14,96.7,99.7,96.6,99,97.8,"456,447"
2019-01-13,99,100,96,98.6,98.9,"660,202"
2019-01-10,99.2,99.6,96.6,98.8,98.6,"805,025"
2019-01-09,98.7,99.2,95.2,97,97.6,"553,254"
2019-01-08,97,97.8,91.9,92.3,96.3,"514,468"
2019-01-07,92.5,93.3,91.6,92.9,92.3,"287,073"
2019-01-06,93.5,94.6,91,92.5,92.9,"459,414"
2019-01-03,92,93,88.9,89.5,92.3,"422,563"
2019-01-02,89,90,84.4,85.8,89.2,"476,912"
2019-01-01,85.5,85.5,80.5,80.5,84.8,"336,033"
2018-12-27,80,80.5,79,80.5,79.9,"66,507"
2018-12-26,79.6,79.6,79.1,79.4,79.4,"31,850"
2018-12-24,79.4,79.9,79.4,79.7,79.6,"38,969"
2018-12-23,79.8,80.5,79.3,80.5,79.7,"70,758"
2018-12-20,80.2,81,79.4,79.8,80.5,"82,472"
2018-12-19,79.7,79.7,77,77.1,79.2,"57,610"
2018-12-18,77.2,77.9,76,77.9,76.5,"71,867"
2018-12-17,76.6,78.6,76.5,78.6,76.9,"70,158"
2018-12-13,78.4,80,78.4,78.6,78.5,"46,791"
2018-12-12,78.8,79.6,78.7,79.3,78.8,"103,565"
2018-12-11,79.5,80.5,79.2,80.5,79.7,"71,197"
2018-12-10,79.6,80.1,79.5,80.1,79.7,"123,085"
2018-12-09,79.3,80.7,79.3,80.5,79.7,"105,393"
2018-12-06,80.1,80.9,79.7,80.9,79.8,"79,175"
2018-12-05,80.6,81,80.2,81,80.3,"66,576"
2018-12-04,80.4,81,80.1,81,80.6,"109,675"
2018-12-03,81.5,82,80,80,81,"91,670"
2018-12-02,80,80.7,79,80.2,79.9,"72,067"
2018-11-29,79.9,81.3,79.9,80,80,"111,011"
2018-11-28,80.2,81.2,79.7,81.2,80,"119,427"
2018-11-27,81.4,82.4,80.7,80.7,81.1,"141,218"
2018-11-26,81.2,83.6,81.2,83.1,81.8,"126,322"
2018-11-25,83.4,83.4,80.1,81.3,82.8,"137,635"
2018-11-22,81.5,82.7,81,82.7,81.3,"112,305"
2018-11-20,81.8,85.6,81.7,82,82.7,"296,583"
2018-11-19,81.8,81.9,79,80,81.2,"239,261"
2018-11-18,79.3,80.8,79.3,80.8,79.5,"104,166"
2018-11-15,79.3,80.7,79.3,79.9,79.7,"99,934"
2018-11-14,79.7,81.3,79.3,80.9,79.9,"83,490"
2018-11-13,79.1,81,79.1,81,79.5,"97,972"
2018-11-12,79.8,81,79.8,81,80.2,"107,026"
2018-11-11,79.1,81.5,79,80.1,79.3,"82,695"
2018-11-08,79.5,80.7,79,79,79.8,"82,418"
2018-11-07,79.4,80.2,78.8,79.1,79.8,"77,597"
2018-11-06,78.5,80.2,78.2,79.9,78.5,"105,427"
2018-11-05,79.5,81.5,79.5,80.8,79.8,"101,415"
2018-11-04,80.2,83.3,79.6,83.3,80.4,"209,486"
2018-11-01,82,82.6,81.5,82.6,81.9,"65,290"
2018-10-31,83.6,84.4,82.1,83,82.5,"89,382"
2018-10-30,83.1,84.9,82.8,83.9,83,"98,557"
2018-10-29,82.8,85,80.1,83,82.9,"68,995"
2018-10-28,80,85,79.8,84.6,80.3,"88,279"
2018-10-25,85.8,85.9,84,84,84.6,"65,865"
2018-10-24,84.4,84.8,83.1,84.2,84.5,"47,381"
2018-10-23,84.2,85.4,83.8,84.9,84.1,"52,401"
2018-10-22,86,88,84.5,86,84.9,"89,900"
2018-10-22,86,88,84.5,86,84.9,"89,900"
2018-10-21,86.1,95,85.8,95,86.2,"128,629"
2018-10-17,98.5,99,98,99,98.3,"94,706"
2018-10-16,98.4,101,98.2,101,98.5,"157,490"
2018-10-15,98.9,101.1,98.7,99.9,99.2,"160,055"
2018-10-14,99.6,100.7,99.3,100.5,99.9,"106,861"
2018-10-11,101,102.7,101,102.4,101.1,"159,037"
2018-10-10,101.6,103,99.7,99.7,101.8,"285,060"
2018-10-09,100,101.7,99.5,101.6,99.7,"145,337"
2018-10-08,101.8,102.1,101,102,101.3,"166,896"
2018-10-07,102,104,100.6,100.6,101.7,"307,259"
2018-10-04,101.8,101.9,99,99.7,100.9,"223,029"
2018-10-03,99.5,100,98.1,99.5,98.4,"96,543"
2018-10-02,98.4,100,98.3,99.8,98.5,"104,850"
2018-10-01,98.7,100.4,97.9,99.3,98.8,"171,595"
2018-09-30,100,100,96.6,97.7,98.9,"249,063"
2018-09-30,100,100,96.6,97.7,98.9,"249,063"
2018-09-30,100,100,96.6,97.7,98.9,"249,063"
2018-09-27,97.2,101.4,96.9,101.4,97.1,"554,202"
2018-09-26,100,101.7,98.9,98.9,100,"186,082"
2018-09-25,98.3,100,98,99.3,98.5,"156,891"
2018-09-24,97,103,97,103,98.4,"226,978"
2018-09-23,101.3,105,101.1,103,101.3,"341,772"
2018-09-20,102,104,102,104,102.1,"144,384"
2018-09-19,102.3,104,101.6,101.9,103,"171,123"
2018-09-18,101.6,103.6,101.5,103.4,101.7,"220,772"
2018-09-17,103,104.9,103,104.7,103.2,"249,027"
2018-09-16,104,108,103.9,107.2,104.2,"331,698"
2018-09-13,105,107.6,105,106.1,105.8,"346,099"
2018-09-12,106.5,107.2,105.5,106.4,105.9,"304,683"
2018-09-11,106.6,108.2,105.1,107,105.8,"257,694"
2018-09-10,105.3,108.6,105.1,107.6,105.8,"461,577"
2018-09-09,107.7,109.9,107.2,109.6,107.5,"278,517"
2018-09-06,109.4,110.8,107.8,110.5,109.3,"373,404"
2018-09-05,109.1,109.9,106.4,107.3,109.2,"549,222"
2018-09-04,107.9,110,106.7,108.5,107.2,"378,589"
2018-09-03,107.9,108.5,105.6,106,107.8,"340,025"
2018-08-30,105,107.6,104.7,107.4,105.2,"289,651"
2018-08-29,106.4,108.5,106.1,106.1,106.9,"605,255"
2018-08-28,106.1,107,104.6,105.7,105.8,"270,219"
2018-08-27,104.5,106.5,103.8,104.5,104.2,"205,549"
2018-08-26,104,104.2,102.5,102.7,103.7,"96,456"
2018-08-20,103.8,105,101.7,102.3,103.3,"135,890"
2018-08-19,102.4,105,102.2,105,102.6,"196,195"
2018-08-16,105.2,105.6,103.1,104.5,104.5,"240,344"
2018-08-14,105.2,105.4,101.5,102,104.6,"277,804"
2018-08-13,101.9,102,100.1,102,100.7,"296,669"
2018-08-12,101.7,104.4,101.6,104.4,101.9,"211,446"
2018-08-09,104,104,101.3,104,103.5,"287,040"
2018-08-08,104,105.2,103.2,104.1,103.3,"136,503"
2018-08-08,104,105.2,103.2,104.1,103.3,"136,503"
2018-08-08,104,105.2,103.2,104.1,103.3,"136,503"
2018-08-08,104,105.2,103.2,104.1,103.3,"136,503"
