DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,203,208.8,202.2,208.8,203.2,"6,151"
2019-06-27,205,206,203.6,203.6,205.1,"2,765"
2019-06-26,209,209,205.6,206,206.1,"3,937"
2019-06-25,206.1,208.9,205.6,206,206.3,"6,953"
2019-06-24,207.3,207.6,205.5,207.6,205.9,"7,913"
2019-06-23,206.2,211,206.1,210.3,207.4,"11,246"
2019-06-20,209.6,212.9,209,209,210.1,"6,203"
2019-06-19,208.1,214,203,203,208.1,"18,939"
2019-06-18,208.1,214.7,206.3,214.7,207.9,"6,326"
2019-06-17,212,223.7,210,213.8,212.6,"25,282"
2019-06-16,211.7,214,204,205,212.2,"16,442"
2019-06-13,204,209.8,202.4,207.2,203.6,"12,268"
2019-06-12,205.3,213,204.9,206.5,205.7,"8,114"
2019-06-11,204,213,201.5,203.9,206.9,"24,888"
2019-06-10,201.3,204,196.2,196.7,201.3,"8,212"
2019-06-09,193.8,195.1,191,191.3,195,"4,576"
2019-05-30,190.7,194,190.1,190.1,191.3,"5,267"
2019-05-29,191,193.7,190.3,191.2,191.4,"6,994"
2019-05-28,190.6,194,190,194,190.3,"2,172"
2019-05-27,188.5,190,188.4,190,188.8,"2,535"
2019-05-26,190.1,195.8,190,195.8,190.7,"4,294"
2019-05-23,193,197,190,197,190.8,"8,130"
2019-05-22,192,202.6,192,202.6,195.1,"4,629"
2019-05-21,191.3,194.5,190.1,190.3,192.7,"2,066"
2019-05-20,197,197,191.2,196.5,192.8,"2,740"
2019-05-19,196.2,202.9,196,202.6,196.4,"3,679"
2019-05-16,202.8,202.8,187.5,190.1,200.2,"7,798"
2019-05-15,190.8,192.5,190.3,192,190.7,"2,072"
2019-05-14,193.9,199.5,193.7,199.5,194.4,"2,489"
2019-05-13,194,199.5,193,195.4,193.2,"2,923"
2019-05-12,198.9,200,195,200,195.2,"9,095"
2019-05-09,198,204,197.9,204,199.1,"10,688"
2019-05-08,200.8,202.8,198.2,200,199.7,"8,827"
2019-05-07,200,204.1,199,204.1,199.7,"7,426"
2019-05-06,204.5,208.5,202.8,207.5,203.4,"15,184"
2019-05-05,205,211.3,202.5,208.5,207,"19,805"
2019-05-02,208.9,210,195,209,207.5,"41,110"
2019-04-30,215,215.5,210,215.5,213,"10,606"
2019-04-29,210,212.6,208,211.4,210,"9,711"
2019-04-28,212,216,212,213.3,212.7,"13,815"
2019-04-25,214.6,215.9,211.3,213.2,212.7,"18,970"
2019-04-24,213.2,217.9,209,217.9,211.3,"10,602"
2019-04-23,212,228,212,228,212.3,"6,833"
2019-04-21,223.8,228,217,221,221.5,"6,255"
2019-04-18,217.5,217.8,209.5,215.5,217.1,"5,207"
2019-04-17,215,215.5,210,215.3,212.9,"6,622"
2019-04-16,215.4,216.2,208,211,214.8,"17,197"
2019-04-15,212.2,219,212.1,217.9,213.6,"9,931"
2019-04-11,215.9,215.9,210,210,215.1,"14,449"
2019-04-10,210,218.9,207,207,210.2,"6,822"
2019-04-09,211,217,210,214,210.5,"7,266"
2019-04-08,213.2,218.5,213,216,214.1,"10,429"
2019-04-07,216.5,225,216.5,225,216.9,"9,464"
2019-04-04,219.2,222,216.1,220,219.8,"5,405"
2019-04-03,221.9,222.9,217.6,220,219,"5,899"
2019-04-02,219.5,223.9,219.3,219.3,221.2,"5,834"
2019-04-01,219.1,223.2,218.1,220.1,218.9,"8,657"
2019-03-31,220.1,225.7,219.5,222.5,220.2,"8,888"
2019-03-28,224,231.4,220.4,223.3,222.1,"8,332"
2019-03-27,227.4,231.9,225,231.9,226.2,"8,663"
2019-03-25,228.6,234.4,228.6,233,229.9,"8,818"
