DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,20.3,20.7,20,20.2,20.4,"2,647,618"
2019-06-27,20.2,20.3,19.8,20,20.1,"1,674,464"
2019-06-26,20.1,20.2,19.8,20,19.9,"1,478,538"
2019-06-25,19.7,20.3,19.7,20,19.9,"1,366,378"
2019-06-24,20,20.1,19.5,19.8,19.9,"1,932,785"
2019-06-23,19.6,20.4,19.6,20.3,19.8,"1,810,632"
2019-06-20,20.3,20.7,19.9,20.4,20.3,"3,202,912"
2019-06-19,20.2,21.2,20.2,21,20.4,"4,271,986"
2019-06-18,20.7,21.3,20.5,20.7,20.9,"5,475,534"
2019-06-17,20.7,20.8,18.7,19.3,20.6,"6,236,070"
2019-06-16,19.3,19.6,18.5,18.5,19.2,"4,293,437"
2019-06-13,18.5,18.5,17.5,17.7,18.3,"2,174,648"
2019-06-12,17.7,18,17.5,18,17.6,"1,270,582"
2019-06-11,18.1,18.1,17.8,17.8,18,"1,485,238"
2019-06-10,17.8,17.9,17,17,17.6,"1,889,268"
2019-06-09,17,17.1,16.8,17,16.9,"388,884"
2019-05-30,16.8,17.1,16.8,17.1,16.9,"524,947"
2019-05-29,16.9,17.1,16.8,17,17,"559,572"
2019-05-28,16.9,17,16.5,16.6,16.9,"389,891"
2019-05-27,16.5,16.6,16.4,16.6,16.5,"341,852"
2019-05-26,16.6,17,16.5,17,16.6,"612,226"
2019-05-23,17,17.1,16.8,17,16.9,"454,641"
2019-05-22,16.9,17.1,16.9,16.9,17,"286,630"
2019-05-21,17,17,16.8,16.9,16.9,"417,226"
2019-05-20,17.1,17.6,16.9,17.4,17,"865,224"
2019-05-19,17.4,17.4,17,17,17.3,"814,298"
2019-05-16,16.9,17.1,16.8,17,16.9,"473,090"
2019-05-15,16.8,17,16.8,17,16.9,"422,047"
2019-05-14,17.1,17.2,16.8,17.1,17,"685,482"
2019-05-13,17.2,17.5,17,17.4,17.1,"712,560"
2019-05-12,17.5,17.6,17,17.2,17.4,"2,106,712"
2019-05-09,17.1,17.3,16.9,17,17.1,"1,113,142"
2019-05-08,16.9,17.1,16.7,17,16.8,"792,340"
2019-05-07,17.1,17.6,16.9,17.2,17,"1,096,170"
2019-05-06,17.1,17.6,16.9,17.6,17.2,"2,025,367"
2019-05-05,17.6,17.7,16.9,16.9,17.6,"2,163,129"
2019-05-02,16.7,16.7,15.2,15.4,16.7,"2,521,505"
2019-04-30,15.2,15.5,15.2,15.2,15.2,"579,861"
2019-04-29,15.1,15.6,15,15.5,15.1,"767,539"
2019-04-28,15.5,16.1,15.4,16.1,15.4,"1,355,587"
2019-04-25,16.1,16.2,15.9,16.1,16.1,"446,518"
2019-04-24,16,16.2,15.9,16.2,16,"632,976"
2019-04-23,16.3,16.5,16,16.4,16.2,"598,942"
2019-04-21,16.3,16.9,16.2,16.8,16.4,"1,064,994"
2019-04-18,16.8,16.8,16.1,16.2,16.7,"834,174"
2019-04-17,16.4,16.5,15.8,16.1,16.2,"729,624"
2019-04-16,16.2,16.5,15.9,16.5,16,"794,686"
2019-04-15,16.4,17.1,16.4,16.8,16.5,"522,855"
2019-04-11,16.8,16.8,16.3,16.4,16.7,"586,097"
2019-04-10,16.3,16.6,16.2,16.4,16.3,"440,337"
2019-04-09,16.2,17,16.1,16.8,16.4,"686,060"
2019-04-08,16.8,17.4,16.7,17.4,16.8,"625,142"
2019-04-07,17.3,17.7,17.3,17.7,17.4,"296,470"
2019-04-04,17.6,17.8,17.5,17.7,17.6,"715,686"
2019-04-03,17.9,18,17.7,18,17.7,"455,662"
2019-04-02,18,18.2,17.8,17.9,17.9,"592,044"
2019-04-01,17.8,18,17.6,17.8,17.7,"756,342"
2019-03-31,17.8,18.5,17.8,18.4,17.9,"626,328"
2019-03-28,18.3,18.4,17.8,17.8,18.3,"748,011"
2019-03-27,17.9,17.9,17.6,17.8,17.8,"528,422"
2019-03-25,17.6,17.9,17.4,17.6,17.6,"658,769"
2019-03-24,17.5,17.8,17.3,17.6,17.4,"946,364"
2019-03-21,17.6,17.9,17.5,17.9,17.6,"734,586"
2019-03-20,17.7,18.3,17.7,18.1,17.8,"838,018"
2019-03-19,18.1,18.3,17.4,17.8,18.1,"1,113,250"
2019-03-18,17.9,18.5,17.5,18.3,17.8,"851,214"
2019-03-14,18.2,18.9,18.1,18.9,18.2,"1,474,482"
2019-03-13,18.8,19.8,18.6,19.6,18.8,"1,383,407"
2019-03-12,19.6,20.2,19.5,20.1,19.6,"776,438"
2019-03-11,20.2,20.4,20.1,20.3,20.1,"435,571"
2019-03-10,20.4,20.6,20.3,20.5,20.3,"640,359"
2019-03-07,20.1,20.5,20.1,20.3,20.2,"880,310"
2019-03-06,20.2,21.2,20.1,21,20.3,"2,071,445"
2019-03-05,20.9,21.4,20.8,21.2,20.9,"1,046,640"
2019-03-04,21.3,21.6,21.1,21.6,21.2,"784,140"
2019-03-03,21.4,21.6,21.3,21.4,21.4,"725,492"
2019-02-27,21.4,21.5,21.1,21.4,21.2,"1,469,041"
2019-02-26,21.2,21.5,21.1,21.4,21.2,"1,008,131"
2019-02-25,21.3,21.6,21.2,21.6,21.3,"1,394,336"
2019-02-24,21.5,21.9,21.4,21.8,21.5,"1,061,650"
2019-02-20,22,22,21.6,21.9,21.8,"1,012,025"
2019-02-19,21.9,22.5,21.6,22.5,21.8,"4,272,649"
2019-02-18,22.3,23,22.2,22.9,22.3,"1,855,172"
2019-02-17,22.8,23.7,22.8,23.5,22.8,"1,922,144"
2019-02-14,23.2,23.5,22,22.4,23.4,"5,060,131"
2019-02-13,22.4,23,22.2,22.9,22.3,"1,510,460"
2019-02-12,22.8,22.9,22.2,22.3,22.8,"2,219,884"
2019-02-11,22.2,22.4,21.3,21.5,22.2,"2,003,735"
2019-02-10,21.5,21.8,21.3,21.6,21.4,"1,002,520"
2019-02-07,21.7,22.2,21.4,22,21.5,"2,459,444"
2019-02-06,21.9,22.4,21.8,22.4,21.9,"1,482,031"
2019-02-05,22.2,22.7,22.1,22.2,22.2,"2,212,978"
2019-02-04,22.2,22.8,22,22.6,22.1,"2,437,206"
2019-02-03,22.5,22.9,22.5,22.9,22.6,"1,172,248"
2019-01-31,22.6,23,22.5,22.8,22.6,"2,213,012"
2019-01-30,22.9,23.3,22.7,23.2,22.8,"1,971,468"
2019-01-29,23,23.6,22.9,23.3,23,"2,604,618"
2019-01-28,23.4,23.9,23.3,23.7,23.3,"1,702,068"
2019-01-27,23.5,23.9,23.2,23.5,23.6,"3,176,399"
2019-01-24,23.8,24.1,23.2,23.4,23.5,"3,306,311"
2019-01-23,23.3,23.5,22.8,23.5,23.2,"1,991,401"
2019-01-22,23.1,24.1,22.9,24,23,"5,509,078"
2019-01-21,23.8,25.1,23.7,24.7,24,"8,025,168"
2019-01-20,23.9,23.9,21.8,21.8,23.9,"5,933,025"
2019-01-17,22,22.6,21.7,22.6,21.8,"2,450,369"
2019-01-16,22.6,23.5,22.5,23.2,22.6,"1,967,243"
2019-01-15,23.1,24,22.9,23.9,23,"4,893,810"
2019-01-14,23.7,24.2,23.6,24.2,23.7,"1,628,781"
2019-01-13,23.8,24.4,23.6,23.6,23.9,"2,307,105"
2019-01-10,23.6,24.3,23.4,24.1,23.6,"2,630,996"
2019-01-09,23.8,24.9,23.8,24.6,24.1,"3,497,458"
2019-01-08,24.5,25.4,24.4,25.4,24.6,"4,639,997"
2019-01-07,25.1,26.2,24.7,25.4,25,"7,460,530"
2019-01-06,25,25,23.1,23.1,25,"8,528,081"
2019-01-03,23,23,21.7,21.8,22.8,"3,705,557"
2019-01-02,21.8,21.9,21.3,21.5,21.6,"3,447,874"
2019-01-01,21.4,21.4,20.7,20.8,21.2,"1,716,321"
2018-12-27,20.5,20.8,20.4,20.7,20.5,"2,007,728"
2018-12-26,20.7,20.9,20.4,20.5,20.6,"1,903,566"
2018-12-24,20.4,20.5,19.8,20,20.2,"2,383,886"
2018-12-23,20,20.5,19.6,20.5,20,"2,355,599"
2018-12-20,20.4,20.9,20.4,20.6,20.5,"2,097,882"
2018-12-19,20.7,21.3,20.4,20.7,20.6,"2,112,409"
2018-12-18,20.9,21,19.8,19.9,20.7,"2,471,106"
2018-12-17,19.8,20.9,19.7,20.8,19.8,"2,146,685"
2018-12-13,20.8,21.9,20.6,21.8,20.8,"2,322,998"
2018-12-12,21.8,22.5,21.4,22.3,21.6,"3,467,782"
2018-12-11,21.9,23.7,21.9,23.4,22,"3,613,917"
2018-12-10,23,24.8,22.9,24.7,23.2,"4,378,722"
2018-12-09,24.5,25.7,24.3,25.5,24.5,"4,841,772"
2018-12-06,25.5,27,25.3,26.7,25.5,"7,581,399"
2018-12-05,26.8,27.6,25.3,26.4,26.7,"12,703,017"
2018-12-04,25.7,26.4,25.6,25.9,25.9,"2,839,688"
2018-12-03,25.7,26.3,25.5,26.2,25.6,"1,847,143"
2018-12-02,25.9,26.5,25.7,25.7,26,"2,881,104"
2018-11-29,25.3,26.3,24.7,25.1,25.5,"3,209,277"
2018-11-28,25,26.1,24.8,26,25,"2,364,164"
2018-11-27,25.6,26.6,25.3,26.3,25.8,"2,534,065"
2018-11-26,26.3,26.7,25.9,26,26.2,"2,437,921"
2018-11-25,25.9,26.7,25.8,26.4,25.8,"1,666,334"
2018-11-22,26.4,26.9,26,26.3,26.2,"2,300,052"
2018-11-20,26.3,27.2,26.1,27,26.3,"2,223,904"
2018-11-19,26.7,27.7,26.6,27.6,26.8,"3,119,151"
2018-11-18,27.2,28.6,27.2,28.2,27.5,"2,791,068"
2018-11-15,28,28.2,26.6,26.7,27.9,"3,423,775"
2018-11-14,26.7,27.3,26.6,27,26.7,"1,550,338"
2018-11-13,26.9,27.5,26.5,26.8,26.7,"1,912,854"
2018-11-12,27,28.2,26.5,28.2,26.7,"2,880,131"
2018-11-11,27.8,29.8,27.5,28.5,28.2,"3,228,248"
2018-11-08,28.8,28.8,27.4,27.6,28.3,"2,967,508"
2018-11-07,27.4,28.2,27.2,27.7,27.4,"2,482,252"
2018-11-06,27.6,28.4,27.2,28.3,27.3,"2,372,853"
2018-11-05,27.9,30.3,27.8,29.5,28.2,"4,996,250"
2018-11-04,29.1,29.1,26.8,26.9,29.1,"4,978,939"
2018-11-01,26.8,27.6,26.4,27.1,26.5,"2,340,023"
2018-10-31,26.8,27.9,26.6,27.5,26.8,"2,010,992"
2018-10-30,27.3,28.2,27.2,27.8,27.4,"2,592,353"
2018-10-29,27.2,27.4,25.9,27,27,"2,132,912"
2018-10-28,26.7,28.2,26.6,28.1,26.8,"1,570,648"
2018-10-25,28.1,28.3,26.5,26.5,28.1,"2,138,371"
2018-10-24,26.5,27.8,25.8,27.7,26.5,"3,371,443"
2018-10-23,27.2,29.6,27.2,29.1,27.6,"3,405,987"
2018-10-22,28.8,33,28.6,32.3,28.8,"7,862,527"
2018-10-21,31.4,34,30.9,33.9,31.7,"3,013,822"
2018-10-18,33.6,34.6,33.5,34.2,33.6,"7,532,418"
