DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,45.1,46.9,44,46.1,45.4,"2,029"
2019-06-27,46.7,48.8,46.7,48.8,47,"4,504"
2019-06-26,48.7,48.9,48.7,48.9,48.8,170
2019-06-25,49,50.5,46.2,49.9,49,"8,875"
2019-06-24,49.5,51.6,47.5,51.6,49.3,"5,920"
2019-06-23,50.8,51.1,48,49,50.8,"29,756"
2019-06-20,48,49.7,47.6,48.5,48.3,"17,747"
2019-06-19,48,48.4,47.5,48.4,48,"5,044"
2019-06-18,48.1,48.3,46.2,48.3,47.2,"1,260"
2019-06-17,48.3,48.6,47,48.5,48.3,"17,150"
2019-06-16,48.5,50.2,46.7,50.2,48.5,"11,627"
2019-06-13,48,48.9,46.6,48.1,46.9,"17,453"
2019-06-12,50.6,50.7,46.3,49.3,48.1,"42,440"
2019-06-11,47.9,49.3,47.9,48.5,48.4,"3,085"
2019-06-10,48.2,50,47.1,49,48.1,"2,345"
2019-06-09,48.7,48.9,47.4,47.4,48.3,"4,579"
2019-05-30,47.5,48,45,45.1,47.3,"8,105"
2019-05-29,45.9,48.3,45.4,48.3,46.1,"21,639"
2019-05-28,46.5,49.7,46.5,49.7,47,"12,035"
2019-05-27,46.1,49.3,46,48.5,46.3,"16,280"
2019-05-26,49.5,51.2,49.1,51.2,49.3,"6,350"
2019-05-23,50.6,52.8,50.5,52.6,51.2,"16,803"
2019-05-22,51,51,48,50.2,50.1,"18,790"
2019-05-21,48.9,50,47,50,47.9,"6,681"
2019-05-20,51,51.4,47.1,50.1,49.7,"15,643"
2019-05-19,51.9,53.4,49,50.9,50,"29,421"
2019-05-16,51.5,52,49.8,51,50.6,"22,953"
2019-05-15,49.9,50.8,48.7,49.2,49.8,"22,447"
2019-05-14,50,52.2,46,52.2,49.7,"16,351"
2019-05-13,52.3,53.3,45.3,50,50.3,"48,812"
2019-05-12,51.9,56.6,50.3,55,50.3,"58,608"
2019-05-09,56.3,57,55,57,55.8,"9,000"
2019-05-08,56,56.9,55.3,56.6,56,"9,812"
2019-05-07,55.3,57.9,54,55.4,56.2,"20,469"
2019-05-06,55,58,53.7,58,54.7,"6,830"
2019-05-05,56.9,60.9,55.8,58,56.9,"18,215"
2019-05-02,55.9,55.9,52,54.1,55.9,"30,996"
2019-04-30,48.7,52,43.3,47,50.9,"24,431"
2019-04-29,47,52.8,47,52,47.4,"43,154"
