DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,68.4,70,68.4,69.5,68.9,"205,236"
2019-06-27,69,73.5,67.6,68.2,68.1,"866,619"
2019-06-26,67,68.9,67,67.3,67.8,"96,096"
2019-06-25,66.7,69.5,66.7,67.9,67,"207,809"
2019-06-24,68,68.7,67.8,68.6,68,"121,974"
2019-06-23,68.5,68.9,67.8,67.8,68.6,"119,100"
2019-06-20,68,69,67.7,68.2,67.8,"116,894"
2019-06-19,68.2,70,68,68.5,68.2,"186,090"
2019-06-18,68.8,70.7,68.5,68.7,68.7,"206,834"
2019-06-17,68.3,70,68.2,69.2,68.5,"215,421"
2019-06-16,68.8,71.4,68.1,68.4,69.3,"229,717"
2019-06-13,68.6,69.2,68.1,69,68.2,"328,239"
2019-06-12,68.8,69.4,68.7,69.4,68.9,"161,393"
2019-06-11,69,69.5,68.4,69.1,68.9,"171,414"
2019-06-10,68.5,70,68,70,68.4,"207,751"
2019-06-09,69.2,70.4,69.2,70.3,69.4,"143,678"
2019-05-30,69.8,70.1,69,69.5,69.6,"222,598"
2019-05-29,69.6,70.8,68.2,68.2,69.7,"283,238"
2019-05-28,69.4,69.4,67.4,68,69.2,"277,240"
2019-05-27,67.8,68,66.6,66.9,67.4,"241,606"
2019-05-26,66.7,68.6,66.5,68.6,66.8,"383,204"
2019-05-23,68.9,69.8,66.9,66.9,68.5,"501,256"
2019-05-22,67,69,65.2,68.1,66.4,"560,864"
2019-05-21,68.5,74,67.3,74,68.1,"766,188"
2019-05-20,73.4,76.4,73.4,76.4,73.6,"95,897"
2019-05-19,75.5,76.7,75.3,75.3,75.6,"99,614"
2019-05-16,74,75,73.4,74,74.5,"77,527"
2019-05-15,73.9,73.9,71.9,72.3,73.3,"69,237"
2019-05-14,71.6,72.5,71.6,72,71.7,"75,093"
2019-05-13,71.8,72.9,71.8,72.9,71.8,"31,938"
2019-05-12,72,73.7,71.5,73.5,72.1,"115,316"
2019-05-09,74.3,75.8,73.5,75.8,74.1,"42,731"
2019-05-08,73.9,75,73.8,74.7,73.9,"71,099"
2019-05-07,74.2,76.3,73.3,75.8,74.2,"90,752"
2019-05-06,75.7,78.5,75.4,78.5,75.8,"80,844"
2019-05-05,78.1,78.1,76.6,77,77.9,"202,014"
2019-05-02,76.7,76.7,75,75.9,76.3,"75,873"
2019-04-30,74.8,75.9,73.9,75.1,74.8,"115,041"
2019-04-29,73.2,77,73.1,77,74.3,"123,876"
2019-04-28,77,79,76.4,78.5,76.6,"60,591"
2019-04-25,77,78,76,76.3,77.2,"51,691"
2019-04-24,77.4,78.3,75.9,77.6,76.6,"104,152"
2019-04-23,77.1,80,77,80,77.6,"68,839"
2019-04-21,79.9,80.6,78,78.4,79.5,"130,390"
2019-04-18,78.6,78.6,76.3,77,77.2,"96,705"
2019-04-17,76.7,77.6,74,76.2,75.7,"124,149"
2019-04-16,75.7,79,75,79,76.2,"107,040"
2019-04-15,77,83.4,77,83.4,78,"111,620"
2019-04-11,81,83.9,80.8,81.8,81,"185,173"
2019-04-10,82,86.7,81,86.7,81.8,"187,933"
2019-04-09,87,89.1,86.3,88,87.1,"190,685"
2019-04-08,89.9,92,86,92,90.4,"1,095,143"
2019-04-04,210,212,202.6,212,209.2,"355,950"
2019-04-03,210,214.7,207,213.7,208.8,"278,639"
2019-04-02,213,217,213,215.8,214.3,"304,893"
2019-04-01,213.5,217.5,213,214.4,214.9,"338,940"
2019-03-31,213,214.9,210.4,214.3,213,"211,367"
