DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,44.4,47.3,43.8,47,44.8,"397,759"
2019-06-27,45.7,50.7,45.5,50,46.3,"916,317"
2019-06-26,50,51.3,47.6,50,49.8,"691,927"
2019-06-25,50,54.4,49.1,54.3,49.7,"1,387,465"
2019-06-24,54.1,58,53.5,57.9,54.2,"909,722"
2019-06-23,57.4,58.5,54.8,56.5,57.3,"2,385,625"
2019-06-20,55.7,60.9,55.7,60.9,56,"1,616,057"
2019-06-19,60.2,60.2,56,56,60.2,"2,227,924"
2019-06-18,54.8,54.8,52,53.9,54.8,"3,373,271"
2019-06-17,49.9,49.9,46.3,46.3,49.9,"1,052,510"
2019-06-16,45.1,48.5,45.1,48.1,45.4,"424,803"
2019-06-13,47.9,48.1,45.8,45.8,47.7,"435,445"
2019-06-12,47,47.8,44,44,46.9,"818,658"
2019-06-11,43.8,45.1,43.5,43.5,44.3,"224,583"
2019-06-10,43.4,44,42.8,43.6,43.4,"399,609"
2019-06-09,43.5,45.9,43.5,44.8,44,"233,815"
2019-05-30,45.1,47.2,44.6,46.2,45,"411,582"
2019-05-29,46.3,46.6,45.6,45.6,46.1,"214,285"
2019-05-28,46.6,48,45.8,48,46.1,"405,539"
2019-05-26,49,49.1,47.5,48.7,48.6,"557,594"
2019-05-23,48.8,48.9,46.8,46.8,48.5,"329,744"
2019-05-22,47.5,47.6,45,45.1,47.4,"407,322"
2019-05-21,46.2,46.8,44.8,46.8,45.5,"209,012"
2019-05-20,46.4,48.5,45.3,48.5,45.6,"226,134"
2019-05-19,47.8,49,46.4,47.7,47.5,"448,263"
2019-05-16,46.6,47.3,45.7,46,46.4,"116,076"
2019-05-15,46.7,47.3,45.1,45.1,46.4,"244,869"
2019-05-14,45.6,46,44.3,44.3,45.6,"38,761"
2019-05-13,46.3,46.8,43.3,43.3,45.5,"99,353"
2019-05-12,44.8,45,43.8,44.2,44.6,"38,622"
2019-05-09,44.6,45.8,43.4,45.8,44.2,"90,345"
2019-05-08,44.7,48,44.6,48,45.1,"242,514"
2019-05-07,45.4,48.2,45,48.2,45.3,"334,618"
2019-05-06,48.3,50,47.5,49.2,47.9,"297,549"
2019-05-05,49,49,45.5,45.8,49,"582,493"
2019-05-02,44.8,45.6,44.3,45,44.6,"313,593"
2019-04-30,44.4,44.5,42.9,43,43.9,"403,200"
2019-04-29,42.9,43.1,37.6,37.6,42.5,"392,689"
2019-04-28,37.5,41.3,37.5,40.5,37.6,"300,101"
2019-04-25,41.7,45.5,40.5,45.1,41.6,"440,084"
2019-04-24,45,46,44.5,45.2,44.9,"141,522"
2019-04-23,45.1,46.8,44.9,46,45.2,"143,767"
2019-04-21,46.4,49.1,45.7,49.1,46.1,"259,782"
2019-04-18,48.8,50.7,47.5,49,48.4,"388,221"
