DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,26.3,27.4,25.5,26.8,25.7,"344,585"
2019-06-27,26.7,27.5,26.6,26.8,26.8,"529,150"
2019-06-26,27,27.2,26.3,26.6,26.8,"457,365"
2019-06-25,26.6,27.9,26.4,27.8,26.6,"599,804"
2019-06-24,27.7,28.3,27,28,27.6,"640,192"
2019-06-23,27.9,28.3,27.4,28.2,28,"825,919"
2019-06-20,28.3,29.9,28,29.4,28.1,"710,703"
2019-06-19,29.5,29.8,27.7,27.7,29.6,"2,892,019"
2019-06-18,28.2,28.2,26.8,27.5,27.1,"3,445,813"
2019-06-17,26.9,27.1,24.9,25.4,26.9,"662,758"
2019-06-16,25.2,27.3,25,27.2,25.6,"393,803"
2019-06-13,27,27.1,26,26.3,26.9,"1,695,322"
2019-06-12,26.1,26.4,24.9,25.6,26,"762,018"
2019-06-11,24.8,25.3,24.8,25.2,24.8,"135,981"
2019-06-10,25,25.3,24.4,25.3,24.8,"301,045"
2019-06-09,25.3,25.9,25.3,25.7,25.3,"92,835"
2019-05-30,25.4,25.5,24.9,24.9,25.4,"175,963"
2019-05-29,24.7,25,24.6,25,24.6,"84,433"
2019-05-28,24.8,25.2,24.7,24.8,24.8,"105,854"
2019-05-27,24.8,25.2,24.8,25.2,24.9,"143,547"
2019-05-26,25.3,25.3,23.5,23.5,25.2,"244,440"
2019-05-23,23.9,24.3,23.6,24.3,23.9,"86,012"
2019-05-22,23.9,24.3,23.9,24,24,"63,114"
2019-05-21,24,24.8,23.8,24.8,23.9,"39,057"
2019-05-20,24.2,24.8,23.9,23.9,24.1,"39,905"
2019-05-19,24.8,25.1,22,22,24.9,"147,965"
2019-05-15,24.1,24.8,24,24,24.3,"198,802"
2019-05-14,23.7,24.6,23.7,24.2,23.8,"193,112"
2019-05-13,24,24.3,23.8,23.9,24.1,"313,339"
2019-05-12,24,24.1,23.9,24.1,23.9,"110,890"
2019-05-09,23.9,24.3,23.8,24,23.8,"69,200"
2019-05-08,24.4,25.6,23.9,25,24,"188,093"
2019-05-07,24.7,25,24.1,24.6,25,"200,801"
2019-05-06,25,25,24.2,24.7,24.6,"291,407"
2019-05-05,24.6,25,24,24.4,24.7,"179,573"
2019-05-02,24.1,24.1,23.1,23.5,24,"153,661"
2019-04-30,23.3,23.4,22.8,22.8,23.1,"154,300"
2019-04-29,22.9,23.2,22,22,22.9,"222,645"
2019-04-28,23,23,21.4,22.5,22.4,"238,668"
2019-04-25,22.8,23.3,22.5,23.1,22.6,"391,898"
2019-04-24,23.1,24,22.5,24,23.2,"197,379"
2019-04-23,23.9,24,23.5,23.6,23.7,"159,560"
2019-04-21,24,24.1,23.9,24.1,24,"152,130"
2019-04-18,24.5,24.5,23.7,24.4,24.3,"21,100"
2019-04-17,24.1,24.4,23.5,23.9,23.8,"78,594"
2019-04-16,23.6,24,23.3,23.3,23.4,"110,764"
2019-04-15,23.7,24.4,23.7,24.4,23.8,"211,017"
2019-04-11,24,24.1,23.8,23.9,23.9,"111,763"
2019-04-10,23.9,24,23.7,23.9,23.8,"132,817"
2019-04-09,24.4,24.7,23.8,24.6,24,"77,920"
2019-04-08,24.1,25.9,24.1,24.4,24.2,"223,025"
2019-04-07,24.3,25.2,24.1,25,24.5,"208,061"
2019-04-04,25,25.6,25,25.2,25.1,"128,857"
2019-04-03,25.7,25.9,25.2,25.6,25.4,"183,145"
2019-04-02,25.7,26.5,25.7,26.1,25.8,"410,673"
2019-04-01,26.2,26.3,24.7,25,26.1,"422,454"
2019-03-31,24.7,25.5,24.7,24.9,24.8,"279,719"
2019-03-28,24.6,24.7,24.3,24.4,24.6,"184,380"
2019-03-27,24,24.7,24,24.7,24.1,"112,206"
2019-03-25,24.2,24.7,24.1,24.7,24.3,"144,966"
2019-03-24,23.8,24.8,23.8,24.7,24,"172,075"
2019-03-21,24.4,24.8,23.7,24,24.5,"281,024"
2019-03-20,24,24.7,24,24.2,24.1,"391,011"
2019-03-19,23.9,24.4,23.7,24,24,"251,550"
2019-03-18,23.4,24.7,23.3,24.1,23.5,"341,203"
2019-03-14,24.3,25.6,24.3,25.2,24.6,"465,773"
2019-03-13,25.1,26,25.1,25.7,25.2,"950,283"
2019-03-12,26.1,26.2,25.5,26,25.9,"968,757"
2019-03-11,26.1,26.7,25.9,26.5,26.1,"639,485"
2019-03-10,26.3,26.7,25.9,26.2,26.4,"849,987"
2019-03-07,25.9,26,25.4,25.6,25.8,"753,824"
2019-03-06,25.2,25.7,25.2,25.5,25.2,"599,124"
2019-03-05,25.3,25.9,25,25.6,25.3,"894,364"
2019-03-04,25.8,26.6,25.3,25.4,25.9,"1,186,074"
2019-03-03,25.3,26.4,24.6,26.4,25.1,"948,936"
2019-02-27,26.7,27,26,26.4,26.3,"856,102"
2019-02-26,26.4,27.4,26.2,26.5,26.4,"1,220,118"
2019-02-25,26.4,27,25.5,25.6,26.4,"1,521,158"
2019-02-24,25.3,26.2,24.2,26,25.4,"770,661"
2019-02-20,25.7,26.4,25.5,26,25.8,"721,899"
2019-02-19,26,26.7,25.6,26,26,"784,320"
2019-02-18,25.6,27.8,25.6,27.6,25.9,"983,887"
2019-02-17,27.4,28.2,26.4,28,27.2,"1,160,801"
2019-02-14,27.5,29.3,27.4,27.4,27.8,"2,730,731"
2019-02-13,26.5,27.3,25.9,26.1,26.9,"1,488,977"
2019-02-12,26.1,27.7,26.1,27.5,26.2,"2,230,061"
2019-02-11,27.5,27.5,25.5,25.7,27.4,"2,082,104"
2019-02-10,24.9,27.8,24.8,27.8,25,"2,162,170"
2019-02-07,27.1,30.5,26.9,29.9,27.5,"2,524,726"
2019-02-06,28.8,31.3,28.7,30.1,29.2,"2,068,126"
2019-02-05,28.8,32.1,28.6,31.6,29.5,"3,402,537"
2019-02-04,31.9,35.8,31.4,35,31.6,"2,306,776"
2019-02-03,35,35,32,32,34.8,"4,989,100"
2019-01-31,31.5,34.6,31.4,34,31.9,"2,988,550"
2019-01-30,33.2,36,33.2,34.5,33.6,"5,157,852"
