DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,"1,235.1","1,258","1,235","1,249.1","1,237.7","4,918"
2019-06-27,"1,248","1,268","1,245.2","1,268","1,249","3,733"
2019-06-26,"1,264","1,275","1,254.3","1,270","1,256.4","1,825"
2019-06-25,"1,259","1,278","1,255.1","1,261.6","1,258","1,469"
2019-06-24,"1,256","1,275.2","1,250.1","1,275.2","1,258.9","1,505"
2019-06-23,"1,265","1,284","1,264","1,276.4","1,267.5","1,368"
2019-06-20,"1,273.1","1,297.9","1,272","1,282","1,275.3","1,645"
2019-06-19,"1,281","1,300","1,263","1,280","1,295.1","4,432"
2019-06-18,"1,284.9","1,305.2","1,277.1","1,305.2","1,281.8","2,292"
2019-06-17,"1,295.2","1,340","1,295.1","1,301.5","1,302.1","6,073"
2019-06-16,"1,305","1,305","1,253","1,267","1,298.1","5,680"
2019-06-13,"1,251","1,260.1","1,251","1,259.2","1,253.9","4,396"
2019-06-12,"1,255.5","1,271","1,255.1","1,268.8","1,256.8","4,722"
2019-06-11,"1,265","1,279","1,255","1,256","1,266.1","4,024"
2019-06-10,"1,250","1,278.7","1,245","1,278.7","1,251.8","2,528"
2019-06-09,"1,248.3","1,284.8","1,246.2","1,284.7","1,247.8","4,351"
2019-05-30,"1,269.9","1,275","1,261","1,263.2","1,265.8","2,176"
2019-05-29,"1,265","1,280.2","1,260","1,279","1,262.1","1,632"
2019-05-28,"1,285.9","1,285.9","1,245.2","1,259","1,272.8","1,083"
2019-05-27,"1,247.2","1,309.9","1,247.1","1,309.9","1,249.8","2,134"
2019-05-26,"1,295","1,315","1,282.5","1,292.1","1,290.7","4,267"
2019-05-23,"1,294.9","1,325","1,285","1,295","1,292.1","2,934"
2019-05-22,"1,289.9","1,305","1,257","1,257","1,284","5,094"
2019-05-21,"1,264.8","1,265","1,211","1,211.1","1,259.4","3,814"
2019-05-20,"1,224","1,250","1,224","1,250","1,229.2","1,860"
2019-05-19,"1,242.2","1,289","1,242","1,279","1,250.5","4,766"
2019-05-16,"1,257","1,263.9","1,235.3","1,240","1,257.7","2,471"
2019-05-15,"1,239","1,245","1,226.5","1,230","1,229.8","2,725"
2019-05-14,"1,229.7","1,234","1,201","1,227","1,226.2","2,540"
2019-05-13,"1,203.5","1,240","1,201","1,230","1,203.7","2,966"
2019-05-12,"1,238.5","1,260.9","1,220","1,249","1,225.6","4,782"
2019-05-09,"1,257","1,277","1,245","1,260","1,247.2","3,622"
2019-05-08,"1,254.1","1,280","1,250","1,272.8","1,254.6","4,073"
2019-05-07,"1,261.1","1,334.9","1,259","1,334.9","1,272.8","6,759"
2019-05-06,"1,327","1,350","1,318","1,347.2","1,324.6","8,326"
2019-05-05,"1,356.5","1,363.9","1,322","1,329.3","1,346","12,047"
2019-05-02,"1,316.2","1,345","1,300","1,300","1,328.2","5,551"
2019-04-30,"1,309","1,341.9","1,245.4","1,245.4","1,316.2","13,259"
2019-04-29,"1,333","1,347","1,315","1,347","1,328.4","3,317"
2019-04-28,"1,356.3","1,374","1,351.2","1,360","1,357","7,635"
2019-04-25,"1,355","1,365","1,334.3","1,349","1,354.8","5,409"
2019-04-24,"1,325","1,397.7","1,312","1,397.7","1,330.5","10,718"
2019-04-23,"1,389.2","1,482","1,388.2","1,482","1,390.8","10,903"
2019-04-21,"1,470","1,539.8","1,470","1,495","1,480.7","10,137"
2019-04-18,"1,491","1,514","1,470","1,499.9","1,481.5","10,909"
2019-04-17,"1,470.1","1,538.4","1,450.1","1,515","1,473.5","13,147"
2019-04-16,"1,506","1,539.9","1,485.3","1,518","1,495.8","9,190"
2019-04-15,"1,510","1,648.9","1,502.1","1,580","1,537.5","22,008"
2019-04-11,"1,575.5","1,575.5","1,485","1,485","1,575.4","13,173"
2019-04-10,"1,501","1,569.9","1,465.5","1,535","1,482.9","19,965"
2019-04-09,"1,521.4","1,639.4","1,521.4","1,630","1,526.8","27,475"
2019-04-08,"1,629.9","1,736.9","1,609","1,720","1,622.8","29,722"
2019-04-07,"1,729","1,767","1,685","1,725","1,716","34,062"
2019-04-04,"1,719.7","1,770","1,686","1,745","1,707.7","34,243"
2019-04-03,"1,709.5","1,709.5","1,636","1,636","1,709.3","23,626"
2019-04-02,"1,627","1,630","1,580.1","1,613.9","1,609","22,603"
2019-04-01,"1,580","1,670","1,580","1,635.1","1,600.9","30,970"
2019-03-31,"1,597.3","1,597.3","1,491.1","1,514","1,597.3","29,169"
2019-03-28,"1,502","1,568.9","1,500","1,529","1,503.4","35,631"
2019-03-27,"1,498.3","1,498.3","1,402","1,402","1,498.3","16,288"
2019-03-25,"1,414","1,467.8","1,402","1,428.1","1,410.2","11,630"
2019-03-24,"1,456","1,537","1,432","1,501","1,447.4","24,442"
2019-03-21,"1,467.6","1,467.6","1,385","1,399","1,467.6","44,488"
2019-03-20,"1,388.9","1,395","1,349","1,374","1,381.3","12,092"
2019-03-19,"1,360.1","1,419.9","1,360.1","1,395","1,361.9","12,128"
2019-03-18,"1,364.1","1,399.7","1,330","1,330","1,375.6","13,518"
2019-03-14,"1,323.7","1,334.9","1,310","1,318.5","1,318.8","5,459"
2019-03-13,"1,308.8","1,328","1,300","1,300","1,305.9","2,624"
2019-03-12,"1,282","1,330","1,272","1,295.7","1,288.7","4,223"
2019-03-11,"1,286.5","1,289.8","1,256.9","1,267","1,285.1","1,359"
2019-03-10,"1,254.7","1,260","1,250","1,252","1,257.4",777
2019-03-07,"1,252","1,260","1,247","1,255","1,249",888
2019-03-06,"1,246","1,255.1","1,243","1,252.9","1,249.3","2,461"
2019-03-05,"1,240","1,264.9","1,240","1,262","1,243.6","2,186"
2019-03-04,"1,259","1,268","1,250.1","1,260.3","1,255.8","1,443"
2019-03-03,"1,265.9","1,277.1","1,254","1,270.4","1,260.1","1,648"
2019-02-27,"1,265.2","1,287","1,265.2","1,270.5","1,267.1","1,539"
2019-02-26,"1,265.5","1,288","1,262.2","1,288","1,268.5","1,124"
2019-02-25,"1,273","1,294.9","1,260.1","1,268.8","1,271.9","1,566"
2019-02-24,"1,263","1,306","1,260.1","1,299","1,268.8","3,726"
2019-02-20,"1,288.2","1,309","1,288.1","1,292.1","1,289.2","1,289"
2019-02-19,"1,292","1,315","1,285.7","1,315","1,291.4","4,626"
2019-02-18,"1,300","1,332.8","1,300","1,319.9","1,306.3","3,272"
2019-02-17,"1,330","1,339","1,310","1,310","1,319.9","1,756"
2019-02-14,"1,316","1,370","1,310","1,338","1,315.4","6,562"
2019-02-13,"1,351.9","1,370","1,333","1,361.9","1,337.7","2,814"
2019-02-12,"1,368","1,369","1,330.1","1,359","1,341.9","5,210"
2019-02-11,"1,355.6","1,383.9","1,330","1,330","1,358.4","4,199"
2019-02-10,"1,395.8","1,438.9","1,375","1,399","1,383.9","19,852"
