DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,37.7,38,37,37,37.8,"167,980"
2019-06-27,37,37.6,36.9,36.9,37.1,"160,371"
2019-06-26,36.9,37.9,36.8,37.8,36.9,"189,296"
2019-06-25,36.9,38,36.4,36.8,36.9,"152,693"
2019-06-24,37.2,37.2,36,36,36.9,"76,217"
2019-06-23,36.7,37,36.7,36.8,36.8,"96,178"
2019-06-20,36.9,37.5,36.7,37.4,36.9,"72,613"
2019-06-19,37.3,38.3,36.5,37.4,36.8,"235,865"
2019-06-18,37.3,37.6,36.6,37.6,37.1,"50,186"
2019-06-17,36.7,38.1,36.5,37,37.6,"223,415"
2019-06-16,37.3,38.4,37,37.5,37.4,"138,934"
2019-06-13,37.8,38.5,36.9,37.5,37.7,"153,427"
2019-06-12,37.6,37.9,36.9,37,37.6,"478,561"
2019-06-11,36.7,37,36.7,37,36.9,"63,433"
2019-06-10,37,37.5,35.9,37,37,"119,601"
2019-06-09,37,37.7,37,37.3,37.5,"117,535"
2019-05-30,37.3,37.5,37,37.1,37.3,"125,113"
2019-05-29,37.4,37.4,37.1,37.2,37.2,"211,465"
2019-05-28,37.2,37.5,36.8,37.5,37.2,"45,770"
2019-05-27,37.4,37.5,36.9,37.5,37.1,"65,411"
2019-05-26,37.1,37.2,36.7,37.1,37.1,"258,775"
2019-05-23,36.8,36.8,35.8,36.1,36.6,"384,733"
2019-05-22,36.3,36.8,36.3,36.3,36.4,"239,056"
2019-05-21,36.9,36.9,35.1,36.4,36.5,"225,863"
2019-05-20,37,37.9,36,37,36.9,"246,910"
2019-05-19,37,37,36.2,36.5,36.8,"183,583"
2019-05-16,36.3,36.3,35.6,35.8,35.9,"313,639"
2019-05-15,36,36.5,35.6,36.1,35.8,"75,205"
2019-05-14,35.9,36.5,35.4,36.5,35.9,"142,681"
2019-05-13,35.5,35.9,35.2,35.9,35.5,"36,688"
2019-05-12,35.9,36.3,35,35.8,35.2,"80,545"
2019-05-09,36,37.2,35.2,35.9,35.4,"260,748"
