DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,7.1,7.1,6.9,6.9,7.1,"55,700"
2019-06-27,6.9,7,6.8,6.8,6.9,"92,287"
2019-06-26,7.1,7.2,6.9,6.9,7,"23,241"
2019-06-25,7,7.4,6.9,7,7,"181,411"
2019-06-24,6.9,7.3,6.8,6.8,6.9,"215,165"
2019-06-23,6.7,6.7,6.6,6.6,6.7,"3,979"
2019-06-20,6.8,6.9,6.7,6.8,6.8,"5,505"
2019-06-19,6.8,6.9,6.8,6.9,6.8,"9,324"
2019-06-18,6.7,6.9,6.7,6.9,6.7,"1,009"
2019-06-17,6.7,6.9,6.7,6.7,6.7,"11,375"
2019-06-16,6.7,6.9,6.7,6.9,6.9,"18,362"
2019-06-13,7,7,6.9,7,6.9,"1,400"
2019-06-12,6.8,6.9,6.8,6.8,6.8,"5,970"
2019-06-11,6.9,7,6.8,7,6.9,"7,415"
2019-06-10,6.9,7,6.7,6.8,6.9,"36,719"
2019-06-09,6.7,6.8,6.5,6.5,6.6,"5,133"
2019-05-30,6.6,6.7,6.6,6.7,6.6,"1,905"
2019-05-29,6.8,6.8,6.6,6.7,6.8,"15,713"
2019-05-28,6.7,6.7,6.4,6.4,6.6,"14,028"
2019-05-27,6.4,6.5,6.3,6.4,6.4,"8,580"
2019-05-26,6.7,7.3,6.3,7,6.4,"111,310"
2019-05-23,6.9,7.2,6.9,7.2,6.9,"4,072"
2019-05-22,7,7,6.9,6.9,7,619
2019-05-21,7.1,7.2,6.8,7.2,7.1,"2,170"
2019-05-20,6.9,7.2,6.9,7.2,7,"146,000"
2019-05-19,7,7.1,6.7,6.7,6.9,"4,929"
2019-05-16,6.7,7,6.7,7,6.8,"8,271"
2019-05-15,7.1,7.4,6.7,6.7,7,"306,429"
2019-05-14,6.8,7.1,6.7,6.9,6.8,"240,972"
2019-05-13,6.9,6.9,6.5,6.6,6.8,"195,512"
2019-05-12,6.5,6.5,6.3,6.3,6.5,"67,499"
2019-05-09,6.4,6.5,6.3,6.5,6.4,"5,407"
2019-05-08,6.3,6.5,6.3,6.4,6.4,"2,665"
2019-05-07,6.4,6.5,6.4,6.4,6.4,"7,660"
2019-05-06,6.6,6.6,6.5,6.5,6.5,"2,000"
2019-05-05,6.4,6.6,6.2,6.3,6.4,"84,716"
2019-05-02,6.3,6.5,6.3,6.3,6.4,"23,288"
2019-04-30,6.2,6.3,6.1,6.3,6.3,"6,499"
2019-04-29,6.3,6.4,6,6.4,6.4,"50,720"
2019-04-28,6.3,6.3,5.9,5.9,6.2,"11,730"
2019-04-25,6.2,6.2,5.9,5.9,6.1,"6,507"
2019-04-24,6.3,6.3,6,6,6.1,"6,521"
2019-04-23,6.1,6.1,5.9,6,5.9,"1,472"
2019-04-21,6.1,6.1,6,6,6,660
2019-04-18,6,6.1,5.8,6.1,5.9,"26,649"
2019-04-17,6.1,6.1,5.9,5.9,6.1,"13,182"
2019-04-16,6,6.2,6,6.2,6,"27,170"
2019-04-15,6.1,6.2,6.1,6.2,6.2,"32,015"
2019-04-11,6.3,6.3,6.2,6.2,6.2,"5,059"
2019-04-10,6.2,6.4,6.2,6.3,6.3,"13,699"
2019-04-09,6.2,6.4,6.2,6.3,6.3,"42,855"
2019-04-08,6.4,6.6,6.3,6.5,6.4,"53,700"
2019-04-07,6.8,6.8,6.8,6.8,6.8,50
2019-04-04,6.6,6.7,6.5,6.7,6.7,"47,368"
2019-04-03,6.7,6.8,6.7,6.8,6.7,"15,879"
2019-04-02,6.9,6.9,6.9,6.9,6.9,"2,990"
2019-04-01,6.7,6.9,6.7,6.9,6.8,"8,078"
2019-03-31,7,7,7,7,7,"2,000"
2019-03-28,7,7.4,6.9,6.9,7,"28,749"
2019-03-27,6.8,7,6.8,6.9,6.8,"5,474"
2019-03-25,6.8,7.1,6.8,7,7.1,"68,647"
2019-03-24,7,7,6.8,6.9,7,"27,443"
2019-03-21,7,7,6.7,6.9,6.9,"6,164"
2019-03-20,7,7,6.9,7,6.9,"14,036"
2019-03-19,6.9,7,6.9,6.9,6.9,"55,823"
2019-03-18,7.1,7.1,7,7,7,"7,277"
2019-03-14,6.9,7.1,6.9,7.1,7,"28,285"
2019-03-13,7,7.2,7,7.1,7.1,"4,395"
2019-03-12,7.1,7.3,7.1,7.2,7.1,"38,729"
2019-03-11,7.2,7.2,7.1,7.2,7.2,"35,769"
2019-03-10,7.2,7.3,7.1,7.1,7.3,"13,109"
2019-03-07,7,7.3,7,7.2,7.1,"13,235"
2019-03-06,7.2,7.3,7.2,7.2,7.2,"9,160"
2019-03-05,7.3,7.3,7.2,7.3,7.3,"2,619"
2019-03-04,7.3,7.3,7.2,7.2,7.3,"20,318"
2019-03-03,7.3,7.3,7.2,7.3,7.3,"6,489"
2019-02-27,7.3,7.4,7.3,7.4,7.3,"3,834"
2019-02-26,7.4,7.4,7.3,7.3,7.3,"4,508"
2019-02-25,7.3,7.4,7.3,7.3,7.3,"28,550"
2019-02-24,7.4,7.5,7.3,7.4,7.3,"69,205"
2019-02-20,7.3,7.5,7.3,7.4,7.3,"94,771"
2019-02-19,7.4,7.6,7.3,7.5,7.4,"72,742"
2019-02-18,7.6,7.6,7.4,7.4,7.5,"35,982"
2019-02-17,7.8,7.8,7.6,7.6,7.6,"103,453"
2019-02-14,7.7,7.9,7.6,7.7,7.8,"85,024"
2019-02-13,7.8,7.8,7.6,7.7,7.7,"22,346"
2019-02-12,7.7,7.7,7.4,7.6,7.7,"75,948"
2019-02-11,7.5,7.6,7.5,7.6,7.6,"4,688"
2019-02-10,7.6,7.6,7.5,7.6,7.6,"6,870"
2019-02-07,7.7,8,7.7,7.7,7.9,"41,703"
2019-02-06,7.8,8,7.7,7.7,7.8,"14,868"
2019-02-05,8,8.2,7.4,7.6,7.7,"44,933"
2019-02-04,7.6,7.8,7.6,7.6,7.6,"29,566"
2019-02-03,7.6,7.6,7.6,7.6,7.6,"9,196"
2019-01-31,7.6,7.7,7.6,7.7,7.6,"6,150"
2019-01-30,7.8,7.8,7.6,7.7,7.7,"56,967"
2019-01-29,7.9,8,7.8,7.8,7.9,"47,965"
2019-01-28,7.7,7.7,7.7,7.7,7.7,"28,026"
2019-01-27,7.8,7.9,7.7,7.7,7.8,"31,343"
2019-01-24,7.8,7.9,7.7,7.9,7.7,"34,039"
2019-01-23,7.9,8,7.8,7.9,7.8,"23,380"
2019-01-22,7.9,8.1,7.9,8.1,8,"17,767"
2019-01-21,8,8.3,8,8.3,8.1,"42,245"
2019-01-20,8.2,8.2,7.7,7.7,8.2,"78,966"
2019-01-17,7.6,7.8,7.6,7.7,7.6,"82,614"
2019-01-16,7.8,7.8,7.7,7.8,7.8,"10,476"
2019-01-15,7.7,7.9,7.7,7.9,7.8,"14,676"
2019-01-14,7.9,8.1,7.9,7.9,8,"7,818"
2019-01-13,8.1,8.1,7.7,7.7,7.9,"11,600"
2019-01-10,7.8,8,7.8,8,8,"8,578"
2019-01-09,7.9,8.2,7.9,8.2,8,"90,469"
2019-01-08,8.1,8.5,8,8.4,8.2,"1,863"
2019-01-07,8.3,8.8,7.9,7.9,8.5,"43,500"
2019-01-06,8.5,8.6,7.6,8.1,8.4,"61,617"
2019-01-03,7.6,8.3,7.6,7.7,8.1,"39,035"
2019-01-02,7.9,8.3,7.4,7.4,8.2,"35,501"
2019-01-01,7.2,8,7.2,8,7.7,"3,706"
2018-12-27,7.5,7.7,7.4,7.7,7.6,"6,569"
2018-12-26,7.7,8,7.7,7.7,7.8,"8,886"
2018-12-24,7.7,7.7,7.3,7.3,7.4,"8,734"
2018-12-23,7.2,7.2,7.2,7.2,7.2,421
2018-12-20,7.3,8.2,7.3,7.6,7.8,"14,900"
2018-12-19,7.6,7.7,7,7,7.5,"11,928"
2018-12-18,7,7,7,7,7,"6,146"
2018-12-17,7.3,7.3,7.3,7.3,7.3,239
2018-12-12,7.2,7.2,7.2,7.2,7.2,"10,323"
2018-12-11,7.2,7.2,7.2,7.2,7.2,"3,449"
2018-12-10,7.2,7.5,7.2,7.5,7.3,"11,733"
2018-12-09,7.3,7.3,7.2,7.2,7.2,"5,882"
2018-12-06,7.6,8,7.1,7.6,7.5,"12,735"
2018-12-05,7.2,7.5,7.1,7.1,7.4,"13,233"
2018-12-04,7,7.4,7,7,7.1,"7,507"
2018-12-03,7,7.1,7,7.1,7.1,"7,820"
2018-12-02,7.2,7.3,7.2,7.2,7.2,"6,510"
2018-11-29,7.5,7.5,7.5,7.5,7.5,354
2018-11-28,7.8,7.8,7.2,7.2,7.7,"6,572"
2018-11-27,7.4,8,7.4,7.9,7.6,"47,483"
2018-11-26,7.8,8.1,7.7,7.8,8,"277,785"
2018-11-25,7.5,7.5,7.2,7.2,7.4,"25,128"
2018-11-22,7.4,7.4,6.7,6.8,6.9,"174,693"
2018-11-20,6.8,6.8,6.8,6.8,6.8,"4,500"
2018-11-19,6.7,6.9,6.7,6.7,6.7,"7,962"
2018-11-18,6.7,6.9,6.7,6.9,6.7,"6,888"
2018-11-15,6.7,6.8,6.7,6.8,6.7,"12,118"
2018-11-14,6.8,6.9,6.8,6.8,6.8,"11,000"
2018-11-13,6.8,6.8,6.7,6.7,6.8,"1,737"
2018-11-12,6.8,6.9,6.8,6.8,6.8,"13,823"
2018-11-11,6.8,6.9,6.8,6.9,6.8,"5,474"
2018-11-08,6.9,6.9,6.7,6.8,6.9,"13,389"
2018-11-07,6.9,6.9,6.8,6.8,6.9,"17,430"
2018-11-06,6.9,6.9,6.7,6.8,6.8,"34,592"
2018-11-05,6.9,7,6.7,6.7,6.9,"29,120"
2018-11-04,6.7,7,6.7,6.9,6.8,"33,345"
2018-11-01,7,7.1,7,7.1,7,"2,575"
2018-10-31,7.2,7.2,6.8,6.8,7.1,"10,219"
2018-10-30,6.7,6.7,6.5,6.5,6.6,"2,445"
2018-10-29,6.7,6.7,6.7,6.7,6.7,675
2018-10-28,7,7.1,6.7,6.7,7,"12,336"
2018-10-25,6.9,6.9,6.8,6.9,6.9,"1,389"
2018-10-24,6.8,7.1,6.8,6.9,6.9,"22,146"
2018-10-23,7,7.1,6.9,7,7,"16,150"
2018-10-22,6.8,6.8,6.8,6.8,6.8,831
2018-10-21,6.9,7,6.9,7,6.9,"4,438"
2018-10-18,7,7,6.9,6.9,6.9,"8,201"
2018-10-17,7.1,7.1,6.9,6.9,7,"2,164"
2018-10-16,6.9,7,6.9,6.9,6.9,"2,739"
2018-10-15,7,7,7,7,7,"2,526"
2018-10-14,7,7.1,7,7,7,"5,357"
2018-10-11,7,7.3,7,7.3,7.2,"3,590"
2018-10-10,7.3,7.3,7,7,7.2,"4,711"
2018-10-09,7.1,7.3,6.8,7,7,"27,642"
2018-10-08,7.2,7.4,7.2,7.2,7.3,"12,284"
2018-10-07,6.9,7.3,6.8,6.9,7,"8,090"
2018-10-04,6.9,6.9,6.9,6.9,6.9,203
2018-10-03,7,7.1,6.8,7.1,6.9,"3,753"
2018-10-02,7.2,7.2,7,7,7.1,"8,613"
2018-10-01,6.8,7.1,6.8,7.1,6.8,"1,628"
2018-09-30,7,7.2,6.9,7.1,7.1,"12,968"
2018-09-27,7.2,7.2,7.2,7.2,7.2,"14,768"
2018-09-26,6.9,7.2,6.9,6.9,7,"23,212"
2018-09-25,7,7.3,7,7.2,7.2,"42,448"
2018-09-24,7.2,7.4,7.1,7.3,7.2,"25,812"
2018-09-23,7.5,7.7,7.2,7.2,7.3,"3,626"
2018-09-20,7.2,7.3,7.2,7.3,7.3,"14,062"
2018-09-19,7.5,7.8,7.5,7.5,7.6,"22,339"
2018-09-18,7.6,8.1,7.4,8.1,7.6,"14,078"
2018-09-17,7.4,8.3,7.4,7.7,7.5,"12,700"
2018-09-16,7.8,7.8,7.7,7.7,7.7,"1,973"
2018-09-12,8.9,9.1,8.8,9.1,8.9,"33,589"
2018-09-11,9.2,9.2,9,9,9.1,"2,309"
2018-09-10,9.3,10.1,9.3,9.6,9.5,"329,339"
2018-09-09,9.7,9.7,9.2,9.3,9.6,"490,874"
2018-09-06,9.2,9.4,8.3,8.3,9.2,"290,525"
2018-09-05,8.9,8.9,8.2,8.3,8.9,"79,412"
2018-09-04,8.5,8.8,8.5,8.8,8.7,"35,704"
2018-09-03,9.3,9.3,8.9,9.2,9.1,"55,170"
2018-08-30,9.2,9.6,9.1,9.2,9.2,"246,705"
2018-08-29,9,9,8.2,8.2,9,"196,291"
2018-08-28,8.3,8.3,8,8,8.2,"46,625"
2018-08-27,8.1,8.1,8,8,8,"83,613"
2018-08-26,8.3,8.6,8,8.5,8,"85,242"
2018-08-20,8.1,8.2,8.1,8.2,8.2,"18,212"
2018-08-19,8.1,8.5,8.1,8.5,8.3,"3,352"
2018-08-16,8.3,8.4,8.3,8.3,8.3,"41,401"
2018-08-14,8.3,8.4,8,8.1,8.4,"28,726"
2018-08-13,8.2,8.2,8.2,8.2,8.2,"29,766"
2018-08-12,8.3,8.4,8.1,8.1,8.2,"10,500"
2018-08-09,8.4,8.4,7.7,7.7,8.1,"40,470"
2018-08-08,7.9,7.9,7.5,7.7,7.8,"18,592"
2018-08-07,8,8,7.7,7.9,7.8,"21,206"
2018-08-06,7.9,8,7.8,8,7.9,"6,054"
2018-08-05,7.9,8.2,7.4,7.5,7.8,"52,285"
2018-08-02,7.5,7.7,7.5,7.5,7.5,"3,327"
2018-08-01,7.5,7.7,7.4,7.4,7.4,"3,810"
2018-07-31,7.6,7.6,7.3,7.3,7.4,"1,262"
2018-07-30,7.4,7.6,7.4,7.4,7.6,"10,060"
2018-07-29,7.5,7.5,7.4,7.4,7.5,"8,986"
2018-07-26,7.5,7.6,7.3,7.4,7.5,"22,725"
2018-07-25,7.6,7.7,7.3,7.3,7.6,"88,113"
2018-07-24,7.3,7.3,7.3,7.3,7.3,"2,318"
2018-07-23,7.6,7.6,7.1,7.4,7.3,"13,118"
2018-07-22,7.5,7.5,7.3,7.3,7.4,"23,818"
2018-07-19,7.5,7.5,7.2,7.4,7.3,"22,337"
2018-07-18,7.5,7.6,7.3,7.6,7.4,"11,113"
2018-07-17,7.6,7.6,7.6,7.6,7.6,"5,735"
