DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,4.8,4.8,4.8,4.8,4.8,"60,950"
2019-06-27,4.9,4.9,4.7,4.8,4.8,"80,000"
2019-06-26,4.9,5,4.9,4.9,4.9,"120,710"
2019-06-25,4.9,5,4.9,5,5,"49,670"
2019-06-24,4.7,5,4.7,4.7,5,"491,906"
2019-06-23,4.5,4.6,4.5,4.6,4.6,"22,588"
2019-06-20,4.6,4.6,4.5,4.6,4.6,"19,300"
2019-06-19,4.6,4.7,4.6,4.7,4.6,"1,201"
2019-06-17,4.6,4.8,4.6,4.6,4.6,"3,869"
2019-06-16,4.6,4.6,4.6,4.6,4.6,"1,574"
2019-06-13,4.7,4.8,4.6,4.7,4.7,"12,312"
2019-06-12,4.7,4.8,4.7,4.8,4.7,"13,221"
2019-06-11,4.7,4.8,4.6,4.6,4.7,"21,360"
2019-06-10,4.7,4.8,4.7,4.7,4.7,"36,110"
2019-06-09,4.7,4.7,4.7,4.7,4.7,"6,200"
2019-05-30,4.6,4.6,4.5,4.5,4.6,"12,602"
2019-05-29,4.6,4.6,4.6,4.6,4.6,1
2019-05-28,4.5,4.6,4.5,4.6,4.6,"182,576"
2019-05-27,4.6,4.6,4.6,4.6,4.6,"25,000"
2019-05-26,4.6,4.6,4.5,4.5,4.5,"74,032"
2019-05-23,4.5,4.5,4.5,4.5,4.5,"21,282"
2019-05-22,4.5,4.5,4.5,4.5,4.5,"2,850"
2019-05-21,4.5,4.5,4.4,4.5,4.5,"53,699"
2019-05-20,4.4,4.5,4.4,4.5,4.5,"136,000"
2019-05-19,4.5,4.5,4.5,4.5,4.5,"99,725"
2019-05-16,4.5,4.5,4.5,4.5,4.5,"3,000"
2019-05-15,4.4,4.4,4.4,4.4,4.4,"42,901"
2019-05-14,4.4,4.5,4.4,4.5,4.4,"27,345"
2019-05-13,4.5,4.5,4.5,4.5,4.5,"10,000"
2019-05-12,4.4,4.4,4.4,4.4,4.4,"1,654"
2019-05-09,4.4,4.4,4.4,4.4,4.4,"51,167"
2019-05-08,4.4,4.4,4.4,4.4,4.4,"27,503"
2019-05-07,4.5,4.5,4.4,4.5,4.4,"477,147"
2019-05-06,4.4,4.5,4.4,4.5,4.4,"104,020"
2019-05-05,4.4,4.4,4.4,4.4,4.4,"68,953"
2019-05-02,4.4,4.4,4.3,4.3,4.3,"106,383"
2019-04-30,4.2,4.3,4.2,4.3,4.2,"75,000"
2019-04-29,4.2,4.3,4.2,4.3,4.2,"40,520"
2019-04-28,4.2,4.3,4.2,4.3,4.2,944
2019-04-25,4.3,4.3,4.3,4.3,4.3,202
2019-04-24,4.2,4.2,4.2,4.2,4.2,"127,354"
2019-04-23,4.2,4.3,4.2,4.3,4.3,"1,510"
2019-04-21,4.4,4.4,4.4,4.4,4.4,5
2019-04-18,4.4,4.4,4.3,4.3,4.3,"74,014"
2019-04-17,4.3,4.3,4.2,4.2,4.2,"38,000"
2019-04-16,4.2,4.3,4.2,4.2,4.2,"37,762"
2019-04-15,4.3,4.4,4.2,4.4,4.2,"15,852"
2019-04-11,4.3,4.3,4.2,4.3,4.3,"95,563"
2019-04-10,4.3,4.3,4.2,4.3,4.2,"33,032"
2019-04-09,4.2,4.3,4.2,4.3,4.3,"65,080"
2019-04-08,4.3,4.3,4.1,4.3,4.2,"126,081"
2019-04-07,4.2,4.4,4.2,4.4,4.2,"2,001"
2019-04-04,4.3,4.3,4.3,4.3,4.3,"37,105"
2019-04-03,4.3,4.4,4.3,4.4,4.3,"37,074"
2019-04-02,4.4,4.4,4.3,4.4,4.3,"43,803"
2019-04-01,4.3,4.4,4.3,4.4,4.3,"10,212"
2019-03-31,4.4,4.5,4.1,4.4,4.2,"962,750"
2019-03-27,4.5,4.7,4.5,4.7,4.5,"10,130"
2019-03-25,4.5,4.5,4.5,4.5,4.5,"1,800"
2019-03-24,4.5,4.5,4.5,4.5,4.5,"13,429"
2019-03-19,4.7,4.7,4.7,4.7,4.7,57
2019-03-14,4.5,5,4.5,5,4.6,"99,616"
2019-03-13,4.8,4.9,4.7,4.8,4.8,"6,311"
2019-03-12,5,5,5,5,5,10
2019-03-11,4.9,4.9,4.9,4.9,4.9,61
2019-03-10,4.8,4.8,4.8,4.8,4.8,"4,900"
2019-03-07,4.8,4.9,4.8,4.9,4.9,"79,171"
2019-03-06,5,5,5,5,5,12
2019-03-05,4.9,5,4.9,5,5,"17,274"
2019-03-04,5,5,5,5,5,3
2019-03-03,5,5,5,5,5,10
2019-02-27,5,5,5,5,5,10
2019-02-26,4.9,5,4.9,5,4.9,"7,774"
2019-02-25,4.9,5,4.9,5,5,"1,163"
2019-02-24,4.8,4.9,4.8,4.9,4.9,"25,050"
2019-02-20,5.1,5.1,5.1,5.1,5.1,10
2019-02-19,4.9,5.1,4.9,5.1,4.9,"5,100"
2019-02-18,5.1,5.1,4.9,5.1,5,"7,526"
2019-02-17,5.2,5.2,5,5,5.2,41
2019-02-14,5,5.2,5,5.2,5,"55,001"
2019-02-13,5,5,5,5,5,"17,340"
2019-02-12,4.9,4.9,4.9,4.9,4.9,"22,500"
2019-02-11,4.9,4.9,4.9,4.9,4.9,60
2019-02-10,5,5.2,5,5.2,5,"61,400"
2019-02-07,5.2,5.2,5.2,5.2,5.2,10
2019-02-06,5.2,5.2,5.1,5.1,5.2,"3,890"
2019-02-05,5.2,5.2,5.1,5.1,5.2,"20,389"
2019-02-04,5.3,5.3,5.3,5.3,5.3,10
2019-02-03,5.1,5.2,5.1,5.2,5.2,"7,906"
2019-01-31,5.2,5.3,5.1,5.3,5.2,"56,380"
2019-01-30,5.3,5.3,5.3,5.3,5.3,"8,114"
2019-01-29,5.4,5.4,5.3,5.4,5.4,"5,566"
2019-01-28,5.3,5.5,5.3,5.5,5.4,"71,665"
2019-01-27,5.4,5.5,5.4,5.4,5.5,"81,360"
2019-01-24,5.4,5.5,5.4,5.4,5.4,"37,195"
2019-01-23,5.5,5.5,5.3,5.4,5.3,"133,510"
2019-01-22,5.4,5.5,5.4,5.5,5.5,"29,505"
2019-01-21,5.4,5.8,5.4,5.7,5.5,"188,034"
2019-01-20,5.6,5.6,5.1,5.1,5.6,"263,431"
2019-01-17,5.1,5.2,5.1,5.2,5.1,"53,065"
2019-01-16,5.1,5.3,5.1,5.2,5.2,"106,015"
2019-01-15,5.2,5.4,5.2,5.4,5.2,"232,372"
2019-01-14,5.3,5.5,5.3,5.3,5.4,"9,336"
2019-01-13,5.5,5.5,5.4,5.5,5.4,"72,766"
2019-01-10,5.5,5.5,5.3,5.3,5.5,"314,198"
2019-01-09,5.3,5.6,5.3,5.4,5.4,"42,627"
