DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,323.8,332.6,320,332.6,321.1,"92,638"
2019-06-27,330,350,328,350,332.1,"119,959"
2019-06-26,343.1,351.1,342.1,349,343.3,"40,363"
2019-06-25,344.9,359.9,343,350.1,345,"90,791"
2019-06-24,350.2,355,342.1,355,349.4,"42,920"
2019-06-23,350.1,361.9,349,353,351.1,"84,939"
2019-06-20,354,361.9,346.2,349,351.5,"94,092"
2019-06-19,347.5,349,336.1,338.4,344.9,"62,818"
2019-06-18,337.1,351.9,336,345.1,338.4,"88,534"
2019-06-17,343,369.9,342,357.7,343.7,"137,964"
2019-06-16,360,384.4,351.2,380,353.9,"223,371"
2019-06-13,379.9,389,375.1,376,377.3,"157,702"
2019-06-12,372.6,381.9,372,379.7,374.1,"124,712"
2019-06-11,376.4,382,371,379.8,376.5,"119,607"
2019-06-10,382,393,372,393,374.5,"136,527"
2019-06-09,393.8,398.8,378,378,391.5,"185,029"
2019-05-30,380,383.8,367.5,368.9,378,"177,357"
2019-05-29,368.6,373,359.1,359.1,367.1,"148,167"
2019-05-28,361,371.5,355,360.8,359,"200,976"
2019-05-27,360,380.4,360,377.7,363.8,"250,363"
2019-05-26,376,384.6,354.7,358,378.4,"335,965"
2019-05-23,354.7,355,340.4,345,353.7,"253,169"
2019-05-22,340.2,351,339,346,344.9,"271,146"
2019-05-21,334.4,334.4,305.2,309,334.4,"223,007"
2019-05-20,307.5,314.7,305,309,307.5,"54,500"
2019-05-19,308.8,311,293.3,296.7,307.1,"95,272"
2019-05-16,295.1,303,293,303,296.4,"17,864"
2019-05-15,298,302.2,291,291,294.8,"21,738"
2019-05-14,296.8,309,293.5,307.8,296.5,"45,091"
2019-05-13,303.7,309.8,287.2,287.2,302.1,"52,455"
2019-05-12,290,295,284,293.5,286.9,"29,673"
2019-05-09,293.5,314,290,314,292.6,"60,707"
2019-05-08,299.5,307.8,297,304.1,300,"42,438"
2019-05-07,304.1,319,303.6,318.9,304.8,"63,634"
2019-05-06,316.9,320,305.6,305.6,314.5,"112,916"
2019-05-05,303.3,314,302,306.9,304.6,"82,424"
2019-05-02,302,320,301,306.9,308.4,"108,584"
2019-04-30,297.9,297.9,260.6,268,297.9,"99,133"
2019-04-29,275.5,288.8,270,288.8,274,"88,422"
2019-04-28,288,315.8,286.4,310,288.6,"96,161"
2019-04-25,315,323,307,316.7,310.7,"93,744"
2019-04-24,315.5,324.5,310,320,314.1,"79,156"
2019-04-23,321,335.3,320,335.3,321.3,"119,815"
2019-04-21,337,360,334,355,337.5,"199,071"
2019-04-18,343,343,316,316,343,"165,288"
2019-04-17,313.2,330,313,328.7,315.4,"91,803"
