DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,54,55,53.3,53.9,53.8,"1,126,130"
2019-06-27,53.4,54.4,53.1,54.3,53.4,"629,357"
2019-06-26,54.1,54.6,51.8,52.4,54,"1,003,920"
2019-06-25,52,52.9,51.9,52.8,52.2,"647,510"
2019-06-24,52.4,52.9,52.2,52.6,52.4,"571,913"
2019-06-23,52.3,53.9,52.3,53.9,52.5,"634,093"
2019-06-20,53.5,54,52.4,53,53.5,"810,347"
2019-06-19,52.8,54.3,52.6,53.9,52.9,"661,090"
2019-06-18,53.8,55.1,52.7,53,53.9,"1,091,523"
2019-06-17,52.3,54.6,52.2,54.5,52.4,"914,057"
2019-06-16,54.6,57.8,53.7,57.8,54.3,"2,210,787"
2019-06-13,55.6,57.3,55.3,56.5,55.9,"1,501,617"
2019-06-12,56.3,56.4,53.8,54.7,56.1,"2,063,000"
2019-06-11,53.8,55.5,53,53.5,54,"1,841,057"
2019-06-10,53.7,56.6,49.3,53,53.7,"675,939"
2019-06-09,54.7,54.7,49.8,49.8,54.7,"2,314,794"
2019-05-30,49.6,50.1,49.6,49.8,49.8,"110,110"
2019-05-29,49.7,50.5,49.7,50.5,49.9,"85,581"
2019-05-28,50.2,50.3,49.3,49.6,50.2,"193,835"
2019-05-27,49.7,49.8,48.9,49.4,49.6,"223,707"
2019-05-26,49,49.6,48.8,49.6,49,"103,983"
2019-05-23,49,49.6,49,49.6,49,"119,139"
2019-05-22,49.5,49.9,49,49.5,49.1,"168,981"
2019-05-21,49.2,49.4,48.7,49.1,48.9,"117,326"
2019-05-20,49,49.6,48.8,49.6,49,"88,640"
2019-05-19,49.6,49.8,48.8,49.5,49.6,"122,545"
2019-05-16,48.8,49.3,48.4,49,48.8,"132,605"
2019-05-15,49,49,48.1,48.8,48.5,"112,317"
2019-05-14,48.7,49.6,48.5,49,48.8,"87,031"
2019-05-13,48.8,50.3,48.6,50.3,48.7,"206,307"
2019-05-12,49.9,50.5,49.6,49.8,49.7,"155,234"
2019-05-09,49.8,50.3,49.5,50,49.8,"162,334"
2019-05-08,49.6,50.2,48.9,50,49.7,"136,122"
2019-05-07,49.4,51.5,49,50.9,49.4,"313,135"
2019-05-06,50.7,52,50.5,52,50.8,"219,387"
2019-05-05,52,52.6,51.6,52,52,"351,292"
2019-05-02,51.5,51.7,50.1,50.1,51.6,"331,862"
2019-04-30,49.4,50.3,49.1,49.5,49.5,"351,702"
2019-04-29,49.4,49.5,48.2,49.5,48.9,"111,930"
2019-04-28,48.7,50.7,48.7,49.5,49.2,"391,929"
2019-04-25,49.8,49.8,48.4,48.6,49.5,"178,202"
2019-04-24,48.9,49,47.5,49,48.6,"150,228"
2019-04-23,47.6,48.6,47.6,48.2,48,"182,181"
2019-04-21,48.5,50,48.3,49.2,48.6,"282,172"
2019-04-18,49.8,49.8,48,48.6,49.2,"321,028"
2019-04-17,48.3,48.6,47,47.5,48,"161,815"
2019-04-16,47.2,47.9,47.2,47.7,47.4,"184,292"
2019-04-15,47.8,49.8,47.6,49.5,48,"201,825"
2019-04-11,49.2,49.5,48.4,48.5,49.4,"131,977"
2019-04-10,48,49.2,48,48.4,48.1,"126,875"
2019-04-09,48,49.8,48,48.8,48.3,"269,553"
2019-04-08,48.7,49.7,48.6,49.7,48.8,"146,539"
2019-04-07,50,50.9,49.6,50.9,49.8,"217,098"
2019-04-04,51,51,49,50,50.5,"399,033"
2019-04-03,50.5,50.6,49.2,50.5,49.9,"283,088"
2019-04-02,50.3,51.4,50.2,50.5,50.4,"251,414"
2019-04-01,50.3,51.4,50.2,50.9,50.4,"204,853"
2019-03-31,50.4,51.8,50.2,51.5,50.8,"233,462"
2019-03-28,51.3,52,51.2,51.9,51.4,"216,902"
2019-03-27,51.7,52.1,51.4,51.5,51.7,"330,610"
2019-03-25,51.7,52.3,51.4,51.5,51.6,"335,647"
