DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,34.9,35.3,34.7,35.3,35.1,"66,119"
2019-06-27,35,35.3,34.4,34.5,35,"28,177"
2019-06-26,34.7,35.4,34.4,35.4,34.6,"11,477"
2019-06-25,34.7,34.9,34.3,34.3,34.5,"37,338"
2019-06-24,34.6,34.8,34.2,34.4,34.2,"11,247"
2019-06-23,34.5,34.6,34,34.5,34.2,"12,750"
2019-06-20,34.6,35.3,34.6,35.3,34.7,"17,729"
2019-06-19,34.4,36.1,34.4,35.1,34.6,"166,730"
2019-06-18,36,36,34.8,35.1,35.9,"78,569"
2019-06-17,35.1,35.5,34.6,35.5,35.1,"46,524"
2019-06-16,34.9,35.8,34.9,35.4,34.9,"39,827"
2019-06-13,35.3,35.3,34.5,35.1,35.3,"19,865"
2019-06-12,35.2,35.2,34.7,34.7,35,"26,197"
2019-06-11,35,35,34.4,34.4,35,"11,154"
2019-06-10,34.6,35,34.5,34.9,34.6,"8,367"
2019-06-09,34.1,34.5,34,34.5,34.1,"6,870"
2019-05-30,34.5,34.8,34.2,34.8,34.3,"4,261"
2019-05-29,34.2,34.5,34.1,34.5,34.4,"10,018"
2019-05-28,34.1,34.2,33.9,33.9,34.1,"19,163"
2019-05-27,33.9,34.2,33.9,34.2,34.1,"13,370"
2019-05-26,34.1,34.1,34,34.1,34.1,"7,680"
2019-05-23,34.4,34.5,34,34.2,34.1,"39,700"
2019-05-22,34.4,34.4,34,34.3,34.2,"19,132"
2019-05-21,34.2,34.2,34,34,34.1,"14,170"
2019-05-20,34,34.3,33.9,34,34.1,"3,898"
2019-05-19,34.1,34.3,34,34.2,34,"53,626"
2019-05-16,33.9,34.3,33.9,34.2,33.9,"16,961"
2019-05-15,34.4,35,33.6,33.6,34.4,"14,099"
2019-05-14,33.5,33.9,33.3,33.5,33.5,"5,083"
2019-05-13,33.8,34,33.7,33.8,33.8,"5,570"
2019-05-12,34.4,34.7,34,34.7,34,"31,369"
2019-05-09,34,34,33.3,33.6,33.6,"30,244"
2019-05-08,33.6,34,33.4,33.9,33.5,"70,854"
2019-05-07,33.7,34.8,33.7,34.8,34,"80,369"
2019-05-06,34.8,35,34.5,34.7,34.5,"81,189"
2019-05-05,35.4,35.6,35,35.2,35.3,"117,042"
2019-05-02,35.4,35.4,34.4,34.8,35,"81,221"
2019-04-30,33.1,34.3,33.1,34.3,33.2,"43,975"
2019-04-29,33,34.3,33,33.3,33.2,"48,762"
2019-04-28,33.5,33.8,32.8,32.8,33.5,"3,317"
2019-04-25,34.2,34.6,32.7,32.7,33.5,797
2019-04-24,32.5,33.5,32.5,33.5,32.7,"97,806"
2019-04-23,33.9,34.6,33.5,34.6,33.8,"8,250"
2019-04-21,34,34,34,34,34,"1,000"
2019-04-18,34.3,34.7,33.4,34.7,33.6,"13,648"
