DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,4,4.1,4,4.1,4,"930,831"
2019-06-27,4,4.1,4,4,4,"662,323"
2019-06-26,4,4.1,3.9,4,4,"402,198"
2019-06-25,4,4.1,3.9,4.1,3.9,"1,727,328"
2019-06-24,4.1,4.1,4,4.1,4,"499,611"
2019-06-23,4,4.2,4,4.1,4,"339,171"
2019-06-20,4.1,4.2,4,4.1,4.1,"652,080"
2019-06-19,4.1,4.2,4.1,4.1,4.1,"410,031"
2019-06-18,4.1,4.2,4.1,4.1,4.1,"398,909"
2019-06-17,4.1,4.2,4,4.2,4.1,"1,407,986"
2019-06-16,4.2,4.3,4.1,4.2,4.2,"1,181,258"
2019-06-13,4.1,4.3,4.1,4.1,4.2,"1,312,492"
2019-06-12,4.1,4.2,4.1,4.1,4.1,"895,533"
2019-06-11,4.2,4.2,4.1,4.2,4.1,"675,010"
2019-06-10,4.2,4.2,4.1,4.2,4.1,"289,101"
2019-06-09,4.1,4.2,4,4.1,4.1,"397,419"
2019-05-30,4.1,4.2,4,4.2,4.1,"637,093"
2019-05-29,4.2,4.2,4,4,4.2,"1,397,412"
2019-05-28,4.1,4.1,4,4.1,4,"384,274"
2019-05-27,4,4.1,4,4.1,4,"724,883"
2019-05-26,4.1,4.1,4,4.1,4,"776,646"
2019-05-23,4,4.2,4,4.2,4.1,"625,454"
2019-05-22,4.1,4.2,4,4.1,4.1,"988,810"
2019-05-21,4,4.2,4,4.2,4,"1,098,026"
2019-05-20,4.1,4.3,4.1,4.2,4.1,"753,944"
2019-05-19,4.3,4.3,4.1,4.2,4.2,"1,016,374"
2019-05-16,4.2,4.2,4,4.1,4.1,"662,711"
2019-05-15,4.1,4.2,4,4.1,4,"719,478"
2019-05-14,4.2,4.2,4,4.1,4.1,"2,085,689"
2019-05-13,4.3,4.4,4.2,4.4,4.3,"1,115,819"
2019-05-12,4.4,4.5,4.3,4.3,4.4,"2,509,296"
2019-05-09,4.2,4.3,4,4.1,4.2,"1,205,363"
2019-05-08,4.1,4.2,4,4.1,4,"1,242,447"
2019-05-07,4,4.4,4,4.3,4.1,"1,631,030"
2019-05-06,4.4,4.7,4.2,4.6,4.3,"2,848,659"
2019-05-05,4.4,4.4,4,4,4.4,"1,957,938"
2019-05-02,4.1,4.1,3.8,3.9,4,"1,096,049"
2019-04-30,4,4,3.8,3.9,3.9,"200,002"
2019-04-29,4,4,3.8,3.9,3.9,"204,537"
2019-04-28,3.9,4,3.8,3.9,3.9,"202,766"
2019-04-25,4,4,3.9,3.9,3.9,"229,710"
2019-04-24,4,4,3.8,3.9,3.9,"640,417"
2019-04-23,3.9,4,3.9,4,3.9,"246,429"
2019-04-21,4,4.1,4,4,4,"542,192"
2019-04-18,3.9,4,3.9,4,4,"204,680"
2019-04-17,3.9,4,3.9,4,3.9,"770,085"
2019-04-16,4,4,3.9,3.9,3.9,"343,926"
2019-04-15,3.9,4,3.9,4,3.9,"327,170"
2019-04-11,3.9,4,3.8,3.9,3.9,"349,115"
2019-04-10,3.9,4,3.8,3.9,3.8,"417,120"
2019-04-09,3.8,4,3.8,3.9,3.9,"427,701"
2019-04-08,3.9,4.1,3.8,4.1,3.9,"979,826"
2019-04-07,4,4.2,4,4.1,4,"445,009"
2019-04-04,4.1,4.2,4.1,4.1,4.1,"497,079"
2019-04-03,4.1,4.3,4.1,4.2,4.1,"275,854"
2019-04-02,4.2,4.2,4.1,4.2,4.2,"759,533"
2019-04-01,4.2,4.2,4.1,4.2,4.2,"239,101"
2019-03-31,4.1,4.2,4.1,4.2,4.1,"316,498"
2019-03-28,4.1,4.2,4.1,4.1,4.1,"251,572"
2019-03-27,4.2,4.2,4.1,4.1,4.2,"194,515"
2019-03-25,4.2,4.2,4.1,4.2,4.1,"102,422"
2019-03-24,4.2,4.2,4.1,4.2,4.1,"463,090"
2019-03-21,4.2,4.2,4.1,4.2,4.2,"209,722"
2019-03-20,4.2,4.3,4.1,4.2,4.1,"390,468"
