DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,13.1,13.6,12.8,13.6,13,"929,115"
2019-06-27,13,13,12.5,12.7,13,"1,448,017"
2019-06-26,12.6,12.7,12.6,12.7,12.6,"157,985"
2019-06-25,12.6,12.8,12.5,12.7,12.6,"378,744"
2019-06-24,12.7,12.8,12.6,12.7,12.6,"365,976"
2019-06-23,12.7,12.8,12.6,12.6,12.7,"128,612"
2019-06-20,12.5,13,12.5,13,12.6,"870,611"
2019-06-19,12.9,13.2,12.8,13.1,12.9,"756,696"
2019-06-18,13.1,13.1,12.6,12.6,13,"1,197,639"
2019-06-17,12.7,12.9,12.5,12.9,12.6,"456,561"
2019-06-16,12.8,13.2,12.7,13.1,12.8,"776,355"
2019-06-13,13,13.1,12.8,12.9,13,"338,131"
2019-06-12,13,13.4,13,13.3,13,"664,058"
2019-06-11,13.2,13.3,12.9,12.9,13.2,"1,395,606"
2019-06-10,12.9,12.9,12.6,12.7,12.8,"428,480"
2019-06-09,12.7,12.8,12.5,12.6,12.6,"309,726"
2019-05-30,12.7,12.7,12.5,12.7,12.6,"188,431"
2019-05-29,12.6,12.7,12.5,12.5,12.6,"193,343"
2019-05-28,12.6,12.6,12.4,12.5,12.6,"265,499"
2019-05-27,12.5,12.5,12.3,12.4,12.4,"211,277"
2019-05-26,12.3,12.6,12.3,12.6,12.4,"260,431"
2019-05-23,12.6,12.6,12.5,12.5,12.5,"288,553"
2019-05-22,12.5,12.7,12.5,12.6,12.6,"188,488"
2019-05-21,12.5,12.7,12.4,12.7,12.6,"244,194"
2019-05-20,12.4,12.9,12.4,12.9,12.5,"502,739"
2019-05-19,12.9,12.9,12.7,12.9,12.8,"363,999"
2019-05-16,12.7,12.7,12.4,12.6,12.6,"261,796"
2019-05-15,12.5,12.5,12.3,12.5,12.4,"234,636"
2019-05-14,12.4,12.6,12.4,12.5,12.5,"210,701"
2019-05-13,12.7,12.9,12.5,12.7,12.5,"383,350"
2019-05-12,13,13.2,12.7,12.9,12.9,"850,376"
2019-05-09,12.7,12.8,12.3,12.4,12.6,"434,291"
2019-05-08,12.2,12.5,12.1,12.3,12.2,"648,203"
2019-05-07,12.3,12.9,12.3,12.7,12.4,"454,917"
2019-05-06,12.6,13.2,12.6,13.2,12.7,"632,226"
2019-05-05,13.2,13.3,12.8,12.8,13.2,"720,648"
2019-05-02,12.7,12.8,12,12,12.7,"835,071"
2019-04-30,11.9,12.1,11.8,11.9,11.9,"187,895"
2019-04-29,11.9,12.1,11.8,12.1,11.9,"246,966"
2019-04-28,11.9,12.3,11.9,12.3,12,"261,896"
2019-04-25,12.2,12.3,12.1,12.1,12.2,"151,372"
2019-04-24,12.1,12.2,11.9,12,12.1,"125,501"
2019-04-23,12.1,12.6,12,12.6,12.1,"253,789"
2019-04-21,12.5,12.7,12.3,12.5,12.4,"239,628"
2019-04-18,12.7,12.7,12,12.1,12.6,"479,496"
2019-04-17,11.9,12.3,11.9,12.2,12,"421,076"
2019-04-16,12.2,12.3,12,12.3,12.1,"139,521"
2019-04-15,12.2,12.6,12.2,12.5,12.2,"193,647"
2019-04-11,12.4,12.4,12.1,12.1,12.3,"344,653"
2019-04-10,12.2,12.5,12,12.3,12.1,"275,833"
2019-04-09,12.3,12.6,12.2,12.5,12.2,"503,296"
2019-04-08,12.5,12.8,12.4,12.8,12.5,"477,992"
2019-04-07,12.8,13.1,12.8,13,12.8,"322,555"
2019-04-04,13.1,13.1,12.8,13,13.1,"281,525"
2019-04-03,12.9,13.2,12.9,13.2,12.9,"477,972"
2019-04-02,13.1,13.3,13,13.1,13.1,"436,659"
2019-04-01,13.1,13.2,13,13,13.1,"171,969"
2019-03-31,13.1,13.4,13,13.3,13.1,"366,340"
2019-03-28,13.4,13.5,13.3,13.4,13.3,"217,673"
2019-03-27,13.4,13.5,13.2,13.3,13.4,"218,789"
2019-03-25,13.2,13.4,13,13.3,13.2,"434,936"
2019-03-24,13.2,13.4,13.1,13.2,13.2,"268,180"
2019-03-21,13.5,13.5,12.8,13.1,13.2,"614,940"
2019-03-20,13.2,13.3,13,13.3,13.1,"311,754"
2019-03-19,13.3,13.4,12.9,13.1,13.2,"628,605"
2019-03-18,13,13.5,12.8,13.4,13,"521,772"
2019-03-14,13.4,13.7,13.3,13.6,13.4,"367,449"
2019-03-13,13.5,14,13.5,13.9,13.6,"352,399"
2019-03-12,13.9,14.2,13.8,14.2,13.9,"529,479"
2019-03-11,14.2,14.5,14.2,14.4,14.2,"172,478"
2019-03-10,14.5,14.7,14.4,14.4,14.5,"459,846"
