DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,61,61.5,60,61.5,60.9,"80,130"
2019-06-27,61.8,63.3,61.4,63.3,61.7,"22,724"
2019-06-26,61.5,63.7,61.5,62.4,61.6,"69,569"
2019-06-25,61.6,63.8,61.6,63.8,61.7,"50,783"
2019-06-24,63.5,64.2,62.5,62.7,63.5,"67,324"
2019-06-23,62.5,64.2,62.3,64.1,63.6,"52,679"
2019-06-20,64,66,63.9,64.8,64.4,"130,243"
2019-06-19,63.6,65.1,60,60,64.6,"179,041"
2019-06-18,60.1,61.5,59.8,61,60.1,"119,318"
2019-06-17,60.9,62.4,60.9,62.4,61,"59,044"
2019-06-16,61.8,63.2,61.8,63.2,62,"36,306"
2019-06-13,62.9,63.3,62.5,63,62.9,"49,920"
2019-06-12,62.7,63.4,62,62.7,62.9,"244,611"
2019-06-11,62.5,63.8,62.4,63.3,62.6,"28,075"
2019-06-10,63.2,64,63,63.6,63.2,"24,160"
2019-06-09,63.8,64.7,62.8,63.4,64.1,"42,481"
2019-05-30,62.1,63.9,60.6,61,63.4,"63,648"
2019-05-29,60.9,61.4,60.8,60.8,60.9,"4,392"
2019-05-28,62,62.4,61,62.4,61.8,"12,262"
2019-05-27,62,64,60.6,61.9,62,"121,890"
2019-05-26,61.2,62.3,58.4,59.6,62,"91,101"
2019-05-23,59.8,59.8,53.9,53.9,58.8,"7,170"
2019-05-22,58,59.2,58,59,58.1,"89,223"
2019-05-21,60,60,58.3,59.6,58.4,"21,972"
2019-05-20,59.6,60,59.4,59.5,59.8,"17,622"
2019-05-19,60,60.4,59,60.3,60,"12,324"
2019-05-16,58.6,59.5,58.5,59.4,58.9,"20,787"
2019-05-15,59.2,61.9,59.1,59.1,59.5,"24,143"
2019-05-14,58.9,61,58.9,60.8,59.1,"5,404"
2019-05-13,60.2,60.2,59.3,59.4,59.6,"20,450"
2019-05-12,59,59.6,59,59.5,59.2,"3,214"
2019-05-09,59,61.5,59,61.5,59.2,"6,049"
2019-05-08,59.3,60,59.3,60,59.5,"20,502"
2019-05-07,59.6,61,59,61,59.8,"6,172"
2019-05-06,61,62.3,60,62.3,60.3,"40,853"
2019-05-05,62.3,62.9,61.1,61.9,62.2,"5,862"
2019-05-02,60.3,62.1,60.3,61.8,60.5,"39,560"
2019-04-30,61.4,61.4,60.1,60.2,60.7,"2,770"
2019-04-29,60,62.5,60,62.5,60.1,"18,643"
2019-04-28,62.5,64,60.8,63.5,62.1,"11,682"
2019-04-25,61.9,62.6,61.6,61.7,62,"20,788"
2019-04-24,61.7,62.1,61.5,62,61.9,"10,632"
2019-04-23,61.5,62.5,61.5,61.5,61.9,"4,195"
2019-04-21,62.6,63,62.5,62.8,62.9,"4,285"
2019-04-18,63.4,63.4,62,62.1,62.9,"24,891"
2019-04-17,62.3,62.3,62.1,62.2,62.1,"11,139"
2019-04-16,62.2,63.3,62.1,63.2,62.2,"13,836"
2019-04-15,62.8,63.2,62.7,62.7,62.9,"11,565"
2019-04-11,63.1,63.1,62,62,62.5,"23,741"
2019-04-10,62,62.7,61.8,62,62,"34,140"
2019-04-09,62.1,62.7,61.5,61.6,61.9,"5,810"
2019-04-08,62,63.1,60,63.1,62.1,"27,502"
2019-04-07,63.1,63.4,63.1,63.1,63.3,"4,140"
2019-04-04,63.8,65.2,63.5,64.9,63.9,"26,968"
2019-04-03,63.8,65,63.5,64,64.6,"12,088"
2019-04-02,64,65.5,63.6,64.7,63.8,"37,607"
2019-04-01,64.5,64.6,63.6,63.9,64,"11,392"
2019-03-31,64,65,63.8,65,64,"16,541"
2019-03-28,64.2,65.6,64,65.5,64,"16,409"
2019-03-27,65.2,65.4,64.2,65.4,64.7,"17,370"
2019-03-25,64.6,65.7,64.6,65.7,65.5,"50,621"
2019-03-24,65.7,66.5,63.7,66.3,64.9,"48,313"
2019-03-21,65.6,66.3,65.5,65.8,65.8,"35,801"
2019-03-20,65.5,66.1,65.1,65.6,65.5,"44,292"
2019-03-19,65.5,65.5,64.2,64.2,65.5,"54,564"
2019-03-18,64,65,63.2,65,63.6,"15,084"
2019-03-14,65,66.4,64,65.8,64.7,"37,324"
2019-03-13,64.3,67.3,64.2,65.8,64.7,"28,588"
2019-03-12,65.5,65.6,64.2,65.5,64.6,"33,849"
2019-03-11,66,66,65.1,65.4,65.4,"9,408"
2019-03-10,65.6,67,65.3,67,65.4,"15,366"
2019-03-07,65.7,67.3,65.2,65.8,66.8,"233,912"
2019-03-06,65,65.9,64.9,65.9,64.9,"9,875"
2019-03-05,65.5,65.8,64.9,65.8,65,"46,776"
2019-03-04,65.4,67,65.3,66.5,65.8,"40,977"
2019-03-03,65.2,66,65.2,66,65.6,"20,246"
2019-02-27,65.5,66.8,65.1,66.3,65.2,"69,450"
2019-02-26,65.9,67.3,65.6,67.2,65.9,"117,826"
2019-02-25,66.1,67.6,65.2,65.2,66.2,"156,970"
2019-02-24,65.4,66,65.2,65.2,65.7,"35,053"
2019-02-20,66.2,67.5,65.6,66.9,65.8,"37,427"
2019-02-19,66.6,67.2,64.8,65,66.5,"456,525"
2019-02-18,65,68,64.9,66.8,65,"233,515"
2019-02-17,66.5,67,65.2,66,65.7,"40,866"
2019-02-14,66.5,66.9,64.8,65,65.8,"414,922"
2019-02-13,64.7,65.7,64.5,65.7,64.5,"14,875"
2019-02-12,64.5,67,64.5,65.8,64.6,"179,800"
2019-02-11,64.5,66.9,64,64.1,64.6,"205,159"
2019-02-10,63.8,66,63.8,66,64.3,"107,777"
2019-02-07,65.5,68.4,65.5,67,65.7,"283,053"
2019-02-06,67,69,67,67.3,67,"62,525"
2019-02-05,67.4,68.9,67.4,68.2,67.5,"144,331"
2019-02-04,68,70.4,68,70.4,68.1,"73,789"
2019-02-03,69.7,70.4,66.9,66.9,70,"335,239"
2019-01-31,67.1,68,67,67.2,67.3,"95,495"
2019-01-30,67.3,68.4,67.1,68.4,67.6,"115,318"
2019-01-29,67.2,69.2,67,68.4,67.4,"101,398"
2019-01-28,69,70.7,67.6,70,68.2,"259,092"
2019-01-27,69.6,70.9,69,69.8,69.1,"206,685"
2019-01-24,69.3,70.9,68,69.9,68.9,"186,229"
2019-01-23,68.4,70.7,67.8,68.5,68.2,"214,585"
2019-01-22,68.6,72.8,68.2,71.2,68.6,"179,280"
2019-01-21,71.5,73.9,70.8,71.8,71.5,"379,829"
2019-01-20,71.7,75,71.5,74.5,72,"268,679"
2019-01-17,74,79.1,71.5,72,74,"734,768"
2019-01-16,71.2,72.7,70.6,70.7,72,"504,190"
2019-01-15,69.8,71.1,67.9,68.4,70.3,"405,201"
2019-01-14,68.6,71.6,68.5,71.1,68.8,"296,488"
2019-01-13,71.2,72,68,69.5,71.1,"645,476"
2019-01-10,70,72.8,67.5,67.5,69.8,"788,654"
2019-01-09,67.3,67.9,63.3,63.8,66.8,"633,715"
2019-01-08,63,64,62.8,63,63,"233,029"
2019-01-07,62.9,63.9,62.4,62.5,62.6,"130,423"
2019-01-06,62,63.2,62,63,62.2,"263,774"
2019-01-03,62.7,63.5,61.8,62.2,62.7,"225,937"
2019-01-02,63,63.3,61.7,63.2,62.3,"180,864"
2019-01-01,63.4,64,62.6,63.5,63,"112,995"
2018-12-27,63,64.1,61.5,62.3,63.2,"320,988"
2018-12-26,61.4,62.7,60.5,60.6,61.5,"222,041"
2018-12-24,60.9,63.7,60.5,63.3,60.9,"183,968"
2018-12-23,62.8,67,62.8,66.7,63.1,"341,965"
2018-12-20,67,69.9,65.2,69.9,66.6,"544,817"
2018-12-19,69.1,70.1,63.8,63.8,69.3,"1,053,972"
2018-12-18,64,64,61,61.5,63.8,"186,243"
2018-12-17,60,62.5,58.4,61.2,59.4,"99,370"
2018-12-13,61.8,65.3,61.7,64.9,62.3,"112,657"
2018-12-12,64,65.5,60.8,60.8,63.5,"342,239"
2018-12-11,60.5,64.5,60.1,64,60.8,"93,659"
2018-12-10,62.5,65.5,62.2,65,62.7,"83,182"
2018-12-09,64.9,65.2,59.9,59.9,64.7,"259,344"
2018-12-06,59.5,59.9,57.8,59,59.4,"83,714"
2018-12-05,59.1,60,58.1,58.1,59.1,"28,767"
2018-12-04,58,60.4,58,59.2,58.1,"37,807"
2018-12-03,59,60.7,59,59.9,59.5,"32,214"
2018-12-02,59.8,59.8,57.6,58.1,59.6,"42,038"
2018-11-29,57.2,58.3,56.7,57,58,"20,331"
2018-11-28,56.8,58.4,56.8,57.6,57.2,"43,084"
2018-11-27,57.2,59,57.2,58.2,57.6,"33,946"
2018-11-26,58,58.5,57.9,58.5,58.3,"154,274"
2018-11-25,58.1,59,57.8,58.5,58.1,"25,001"
2018-11-22,58.7,59.9,58.6,58.7,58.9,"21,401"
2018-11-20,59.3,59.4,58,58.1,58.9,"30,047"
2018-11-19,58,61,57.6,59.7,58,"168,661"
2018-11-18,59.4,61.3,59.3,61.2,59.7,"37,697"
2018-11-15,59.6,61,59,60.4,59.2,"68,763"
2018-11-14,59.2,60.7,58.5,58.5,58.8,"71,794"
2018-11-13,58.8,59.1,58.5,59,58.8,"43,833"
2018-11-11,61,64.2,60.3,62.5,61,"117,090"
2018-11-08,61.5,63,61,61.1,62.2,"102,176"
2018-11-07,61.3,61.5,59.4,60,61.1,"68,499"
2018-11-06,59,61,58.8,61,59.1,"47,803"
2018-11-05,61,63,60.2,63,60.5,"53,689"
2018-11-04,61.6,63.4,58.8,58.8,61.4,"83,096"
