DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,4.5,4.6,4.5,4.5,4.6,"91,119"
2019-06-27,4.5,4.6,4.5,4.5,4.5,"161,729"
2019-06-26,4.5,4.7,4.5,4.6,4.6,"396,510"
2019-06-25,4.6,4.8,4.6,4.7,4.7,"285,909"
2019-06-24,4.8,4.8,4.5,4.5,4.7,"1,147,735"
2019-06-23,4.5,4.5,4.4,4.4,4.5,"204,071"
2019-06-20,4.5,4.5,4.4,4.4,4.5,"526,277"
2019-06-19,4.4,4.5,4.4,4.4,4.5,"235,553"
2019-06-18,4.5,4.5,4.5,4.5,4.5,"38,100"
2019-06-17,4.4,4.5,4.4,4.4,4.4,"118,100"
2019-06-16,4.4,4.5,4.4,4.4,4.5,"747,847"
2019-06-13,4.4,4.5,4.4,4.5,4.4,"672,032"
2019-06-12,4.5,4.5,4.4,4.5,4.4,"15,969"
2019-06-11,4.4,4.6,4.4,4.6,4.5,"198,491"
2019-06-10,4.5,4.6,4.4,4.5,4.5,"738,103"
2019-06-09,4.4,4.5,4.4,4.4,4.4,"110,015"
2019-05-30,4.4,4.4,4.4,4.4,4.4,"82,545"
2019-05-29,4.4,4.5,4.3,4.3,4.4,"514,001"
2019-05-28,4.4,4.4,4.2,4.3,4.4,"488,396"
2019-05-27,4.3,4.4,4.2,4.3,4.3,"215,040"
2019-05-26,4.3,4.3,4.2,4.3,4.3,"684,800"
2019-05-23,4.3,4.3,4.2,4.3,4.3,"52,489"
2019-05-22,4.2,4.3,4.2,4.2,4.2,"26,345"
2019-05-21,4.2,4.3,4.2,4.2,4.2,"124,075"
2019-05-20,4.2,4.2,4.2,4.2,4.2,"2,028,660"
2019-05-19,4.3,4.3,4.2,4.3,4.3,"37,201"
2019-05-16,4.2,4.2,4.2,4.2,4.2,"756,770"
2019-05-14,4.2,4.2,4,4.2,4.2,"2,546,632"
2019-05-13,4.2,4.3,4.1,4.3,4.1,"1,051,866"
2019-05-12,4.2,4.3,4.2,4.3,4.3,"10,308"
2019-05-09,4.2,4.3,4.2,4.3,4.2,"933,443"
2019-05-08,4.2,4.3,4.2,4.3,4.2,"234,370"
2019-05-07,4.3,4.3,4.2,4.3,4.2,"1,081,128"
2019-05-06,4.3,4.4,4.3,4.4,4.3,"613,450"
2019-05-05,4.5,4.5,4.2,4.3,4.3,"1,558,885"
2019-05-02,4.4,4.4,4.3,4.3,4.3,"177,346"
2019-04-30,4.2,4.3,4.2,4.2,4.3,"339,005"
2019-04-29,4.2,4.2,4.2,4.2,4.2,"401,481"
2019-04-28,4.1,4.2,4.1,4.2,4.1,"24,302"
2019-04-25,4.2,4.3,4.1,4.3,4.1,"491,524"
2019-04-24,4.2,4.2,4.2,4.2,4.2,"192,915"
2019-04-23,4.2,4.3,4.2,4.3,4.2,"256,369"
2019-04-21,4.3,4.3,4.2,4.3,4.2,"122,487"
2019-04-18,4.2,4.3,4.1,4.2,4.2,"98,841"
2019-04-17,4.1,4.2,4.1,4.2,4.2,"185,567"
2019-04-16,4.1,4.2,4.1,4.2,4.1,"475,845"
2019-04-15,4.2,4.2,4.2,4.2,4.2,"173,940"
2019-04-11,4.2,4.2,4.2,4.2,4.2,"139,691"
2019-04-10,4.2,4.2,4.1,4.2,4.2,"102,733"
2019-04-09,4.2,4.3,4.1,4.2,4.2,"351,003"
2019-04-08,4.2,4.2,4.1,4.2,4.1,"996,769"
2019-04-07,4.1,4.4,4.1,4.3,4.2,"721,605"
2019-04-04,4.3,4.5,4.3,4.5,4.3,"16,800"
2019-04-03,4.3,4.5,4.3,4.4,4.4,"92,367"
2019-04-02,4.4,4.5,4.4,4.4,4.4,"31,200"
2019-04-01,4.3,4.4,4,4,4.3,"77,346"
2019-03-31,4.4,4.5,4.4,4.4,4.4,"48,998"
2019-03-28,4.4,4.4,4.4,4.4,4.4,"41,630"
2019-03-27,4.5,4.5,4.4,4.4,4.4,"21,151"
2019-03-25,4.5,4.5,4.4,4.4,4.4,"54,939"
2019-03-24,4.4,4.4,4.4,4.4,4.4,"35,121"
2019-03-21,4.4,4.5,4.4,4.4,4.4,"70,865"
2019-03-20,4.4,4.5,4.4,4.4,4.4,"11,622"
2019-03-19,4.5,4.5,4.4,4.4,4.4,"67,213"
2019-03-18,4.3,4.4,4.3,4.4,4.4,"80,400"
2019-03-14,4.4,4.5,4.4,4.4,4.4,"125,500"
2019-03-13,4.4,4.5,4.4,4.5,4.4,"346,875"
2019-03-12,4.6,4.6,4.4,4.5,4.5,"138,900"
2019-03-11,4.5,4.6,4.5,4.6,4.6,"129,403"
2019-03-10,4.6,4.6,4.5,4.6,4.6,"128,258"
2019-03-07,4.5,4.5,4.5,4.5,4.5,"4,348"
2019-03-06,4.5,4.6,4.5,4.5,4.5,"140,183"
2019-03-05,4.5,4.6,4.5,4.5,4.6,"26,157"
2019-03-04,4.5,4.6,4.5,4.5,4.5,"39,478"
2019-03-03,4.5,4.6,4.5,4.5,4.5,"127,770"
2019-02-27,4.5,4.7,4.5,4.7,4.5,"479,757"
2019-02-26,4.6,4.7,4.5,4.6,4.5,"346,707"
2019-02-25,4.6,4.7,4.6,4.6,4.6,"61,525"
2019-02-24,4.7,4.8,4.6,4.7,4.6,"119,214"
2019-02-20,4.7,4.8,4.7,4.8,4.7,"45,663"
2019-02-19,4.6,4.8,4.6,4.7,4.7,"143,428"
2019-02-18,4.7,4.8,4.6,4.8,4.6,"90,533"
2019-02-17,4.7,4.8,4.7,4.7,4.7,"253,010"
2019-02-14,4.8,4.8,4.7,4.7,4.7,"47,263"
2019-02-13,4.8,5,4.7,4.9,4.7,"255,544"
2019-02-12,4.9,5,4.6,4.6,4.9,"964,750"
2019-02-11,4.7,4.8,4.5,4.8,4.6,"262,976"
2019-02-10,4.7,4.9,4.7,4.8,4.7,"321,777"
2019-02-07,4.8,5,4.8,4.9,4.9,"117,307"
2019-02-06,4.8,4.9,4.7,4.9,4.8,"843,634"
2019-02-05,4.9,5,4.9,4.9,4.9,"176,034"
2019-02-04,4.9,5,4.8,4.9,4.9,"120,239"
2019-02-03,4.9,5,4.8,5,4.9,"619,617"
2019-01-31,5,5.1,4.9,5,4.9,"37,020"
2019-01-30,5.1,5.1,5,5.1,5,"216,548"
2019-01-29,5,5.1,5,5.1,5,"83,660"
2019-01-28,5.1,5.2,5,5.1,5.1,"690,416"
2019-01-27,5.1,5.2,5,5.1,5.2,"339,412"
2019-01-24,5,5.2,5,5.2,5,"699,344"
2019-01-23,5.1,5.2,5,5,5.1,"373,804"
2019-01-22,5,5.3,4.9,5.2,5,"492,736"
2019-01-21,5.2,5.4,5.2,5.3,5.2,"1,196,144"
2019-01-20,5.3,5.3,4.8,4.9,5.2,"1,826,264"
2019-01-17,4.9,4.9,4.8,4.8,4.9,"175,646"
2019-01-16,4.9,4.9,4.8,4.9,4.8,"219,471"
2019-01-15,4.9,5,4.8,5,4.9,"203,570"
2019-01-14,4.8,5,4.8,5,4.8,"808,385"
2019-01-13,5,5,4.8,4.9,5,"259,456"
2019-01-10,4.8,5.1,4.8,5.1,4.9,"507,739"
2019-01-09,5,5.1,4.9,5,5,"691,983"
2019-01-08,4.9,5,4.8,4.8,4.9,"526,666"
2019-01-07,4.8,4.9,4.7,4.7,4.8,"268,177"
2019-01-06,4.8,4.8,4.5,4.5,4.7,"325,538"
2019-01-03,4.6,4.6,4.4,4.5,4.5,"322,678"
2019-01-02,4.4,4.5,4.3,4.3,4.4,"387,972"
2019-01-01,4.4,4.4,4.2,4.2,4.3,"305,470"
2018-12-27,4.3,4.3,4.2,4.2,4.3,"110,437"
2018-12-26,4.2,4.3,4.1,4.2,4.1,"393,063"
2018-12-24,4.2,4.2,4.1,4.2,4.2,"134,293"
2018-12-23,4.2,4.2,4.1,4.2,4.2,"14,351"
2018-12-20,4.1,4.2,4.1,4.2,4.2,"287,687"
2018-12-19,4.1,4.2,4.1,4.1,4.2,"104,942"
2018-12-18,4.2,4.2,4.1,4.2,4.2,"115,299"
2018-12-17,4.1,4.2,4.1,4.2,4.2,"120,070"
2018-12-13,4.1,4.1,4.1,4.1,4.1,"212,079"
2018-12-12,4.1,4.1,4.1,4.1,4.1,"22,431"
2018-12-11,4.2,4.2,4.1,4.1,4.1,"64,100"
2018-12-10,4.1,4.2,4.1,4.1,4.1,"66,085"
2018-12-09,4.2,4.2,4.2,4.2,4.2,"112,793"
2018-12-06,4.2,4.2,4.1,4.2,4.2,"22,590"
2018-12-05,4.2,4.2,4.1,4.1,4.1,"262,763"
2018-12-04,4.2,4.2,4.1,4.1,4.1,"64,602"
2018-12-03,4.1,4.2,4.1,4.1,4.1,"100,800"
2018-12-02,4.1,4.2,4.1,4.2,4.1,"192,904"
2018-11-29,4.1,4.2,4.1,4.1,4.1,"6,169"
2018-11-28,4.1,4.2,4.1,4.2,4.2,"89,521"
2018-11-27,4.2,4.3,4.1,4.2,4.2,"124,454"
2018-11-26,4.2,4.2,4.2,4.2,4.2,"212,984"
2018-11-25,4.2,4.2,4.1,4.2,4.2,"531,126"
2018-11-22,4.1,4.2,4.1,4.2,4.2,"18,068"
2018-11-20,4.2,4.2,4.1,4.1,4.2,"234,257"
2018-11-19,4.2,4.2,4,4.2,4.1,"437,843"
2018-11-18,4.1,4.3,4.1,4.2,4.1,"133,788"
2018-11-15,4.2,4.3,4.2,4.2,4.2,"260,376"
2018-11-14,4.2,4.3,4.2,4.2,4.2,"91,299"
2018-11-13,4.2,4.3,4.2,4.3,4.2,"9,742"
2018-11-12,4.3,4.3,4.2,4.3,4.2,"105,713"
2018-11-11,4.3,4.3,4.3,4.3,4.3,"273,998"
2018-11-08,4.3,4.3,4.2,4.3,4.3,"228,039"
2018-11-07,4.3,4.3,4.2,4.3,4.2,"260,276"
2018-11-06,4.3,4.3,4.2,4.3,4.3,"269,972"
2018-11-05,4.3,4.3,4.3,4.3,4.3,"144,701"
2018-11-04,4.3,4.3,4.2,4.2,4.3,"277,658"
2018-11-01,4.3,4.3,4.2,4.3,4.3,"134,737"
2018-10-31,4.3,4.3,4.2,4.3,4.2,"20,873"
