DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,16.2,17,16.2,16.6,16.5,"1,235,082"
2019-06-27,16.7,16.9,16.3,16.3,16.8,"903,376"
2019-06-26,16.5,16.5,16.1,16.1,16.4,"532,009"
2019-06-25,16.1,16.6,16.1,16.5,16.2,"522,094"
2019-06-24,16.5,16.6,16,16.3,16.4,"408,283"
2019-06-23,16.2,16.6,16.1,16.5,16.2,"438,780"
2019-06-20,16.7,17,16.3,16.7,16.5,"947,768"
2019-06-19,16.9,17.3,16.6,17.1,16.8,"648,288"
2019-06-18,17.1,17.3,16.3,16.3,17,"3,337,693"
2019-06-17,16.5,16.6,15.8,16,16.4,"734,940"
2019-06-16,16.1,17.1,16.1,17,16.2,"1,198,061"
2019-06-13,16.8,16.9,16,16.1,16.8,"1,858,422"
2019-06-12,16.5,16.5,15.9,16.2,16.3,"871,079"
2019-06-11,16.2,16.7,15.8,15.8,16.2,"1,772,311"
2019-06-10,15.7,16.3,15.7,15.7,15.8,"820,279"
2019-06-09,15.6,15.6,15.2,15.6,15.5,"138,388"
2019-05-30,15.4,15.5,15.3,15.4,15.4,"161,160"
2019-05-29,15.4,15.8,15.3,15.8,15.3,"98,761"
2019-05-28,15.4,15.5,15.4,15.4,15.4,"120,238"
2019-05-27,15.3,15.4,15.1,15.1,15.2,"175,198"
2019-05-26,15.2,15.5,15.1,15.1,15.1,"159,769"
2019-05-23,15.2,15.5,15.2,15.5,15.2,"176,608"
2019-05-22,15.3,15.4,15.2,15.4,15.3,"118,965"
2019-05-21,15.4,15.4,15.3,15.4,15.3,"153,300"
2019-05-20,15.5,15.8,15.4,15.7,15.5,"196,298"
2019-05-19,15.8,15.9,15.4,15.4,15.8,"224,506"
2019-05-16,15.3,15.4,15.3,15.4,15.3,"27,083"
2019-05-15,15.2,15.5,15.2,15.4,15.2,"138,706"
2019-05-14,15.4,15.4,15.2,15.3,15.3,"53,060"
