DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,40.6,41.8,40.6,41.6,40.9,"569,980"
2019-06-27,41.5,41.6,41,41.2,41.4,"376,413"
2019-06-26,41.7,41.7,40.6,41,41.3,"584,639"
2019-06-25,41,41.4,39,39.1,40.9,"733,773"
2019-06-24,39.2,40.1,39.1,39.6,39.1,"228,648"
2019-06-23,39.2,39.7,38.1,38.9,39.4,"287,634"
2019-06-20,38.1,39.3,38.1,38.7,38.2,"225,139"
2019-06-19,38.6,39.6,38.6,39,38.7,"259,659"
2019-06-18,39.1,39.7,38.5,38.7,38.9,"294,413"
2019-06-17,38.6,40.5,38.5,39.9,38.8,"649,880"
2019-06-16,39.2,40.7,39.2,40.5,40,"452,427"
2019-06-13,39.8,41,39.8,40.8,40.1,"470,646"
2019-06-12,40.8,41.7,40.6,41.7,40.8,"380,145"
2019-06-11,41.7,41.7,40.3,40.3,41.5,"624,868"
2019-06-10,40.1,40.8,39.9,39.9,40,"269,331"
2019-06-09,39.8,40.8,39.6,40.1,39.8,"271,533"
2019-05-30,40.6,41,39.8,40.7,40.1,"599,406"
2019-05-29,40.6,41.5,40.3,41.3,40.7,"399,257"
2019-05-28,40.9,41.2,40,40,40.7,"280,694"
2019-05-27,39.7,41,39.7,41,40,"388,577"
2019-05-26,40.9,41.6,40.3,41.6,40.6,"593,217"
2019-05-23,41.5,42.6,41.4,42.5,41.6,"458,050"
2019-05-22,42.1,42.7,41.5,41.5,42.1,"855,102"
2019-05-21,41.1,41.6,40.4,41.5,40.6,"521,014"
2019-05-20,41.3,43.2,41.1,43.2,41.4,"470,720"
2019-05-19,42.5,43.4,41.8,42.2,42.6,"620,000"
2019-05-16,41.4,42.7,41.4,42.5,41.7,"411,324"
2019-05-15,42,43.4,41.9,42.9,42.2,"517,075"
2019-05-14,43,43.4,42.2,42.5,42.8,"444,121"
2019-05-13,42.7,44.2,42,43.5,42.5,"627,088"
2019-05-12,42.3,44.7,42,44.4,42.2,"1,163,961"
2019-05-09,43.9,46.7,43.5,45.5,43.9,"2,094,260"
2019-05-08,44.8,45.8,44.1,45.5,44.9,"828,551"
2019-05-07,44.9,48.8,44.4,47.5,45.3,"1,858,305"
2019-05-06,47.1,47.7,45.6,46.1,47,"1,369,705"
2019-05-05,45.7,47.3,45.5,45.6,45.9,"918,358"
2019-05-02,45.4,45.9,44.2,44.7,45,"947,137"
2019-04-30,44.3,46.8,44.1,46,44.7,"1,042,133"
2019-04-29,46,46.9,44.9,46.5,45.6,"730,031"
2019-04-28,45.8,47.9,43.7,45.6,46.3,"1,398,148"
2019-04-25,45.8,48,44.2,47.2,45.6,"1,784,003"
2019-04-24,45.5,45.5,41.1,41.6,45.5,"1,283,370"
2019-04-23,41.7,43.6,40.9,42.5,41.4,"483,888"
2019-04-21,43.5,44.3,42.1,43.5,43.4,"772,482"
2019-04-18,42.5,43.2,41.7,43.2,42.8,"699,619"
2019-04-17,42.9,43.2,39.9,39.9,42.7,"860,476"
2019-04-16,40,40.3,39,39,39.9,"673,821"
2019-04-15,39.5,39.6,38.4,38.4,39.2,"128,780"
2019-04-11,38.7,39.5,38.5,38.5,39,"161,170"
2019-04-10,39,39.4,37,37.1,38.8,"209,462"
2019-04-09,37.1,37.4,36.2,37.1,37.1,"58,151"
2019-04-08,37,38.8,36.8,37,37,"96,199"
2019-04-07,37,38.5,37,38,37.4,"81,016"
2019-04-04,38.4,39.3,38.1,38.8,38.3,"66,379"
2019-04-03,38.3,39.3,38.2,39.3,38.5,"95,936"
2019-04-02,38.7,39.3,38.6,38.6,38.8,"57,672"
2019-04-01,38.8,39.5,38.3,38.3,38.8,"103,502"
2019-03-31,38.5,39.8,38.5,39.5,38.9,"144,578"
2019-03-28,39.7,40.2,39,39,39.5,"348,228"
2019-03-27,39,39.1,38.4,38.5,38.9,"108,997"
2019-03-25,38.1,39.4,38,38.1,38.7,"135,974"
2019-03-24,39,39.9,38.6,39.4,38.9,"254,184"
2019-03-21,39.3,39.7,37.1,37.5,39.4,"602,526"
2019-03-20,37,37.6,36.5,37.1,37,"134,477"
2019-03-19,37.3,37.3,35.8,36.3,37.1,"96,520"
2019-03-18,36.3,36.3,34.5,36.3,35.7,"86,601"
2019-03-14,35.3,36.9,34.8,36,35.5,"94,170"
2019-03-13,36.5,37.8,35.4,37.8,36.2,"290,688"
2019-03-12,37.4,38,37.3,37.9,37.4,"112,286"
2019-03-11,38.1,38.6,37.8,37.8,37.8,"128,172"
2019-03-10,37.8,38.2,37.6,38,37.8,"123,079"
2019-03-07,37.6,38.1,37.4,38.1,37.6,"76,468"
2019-03-06,37.9,38.2,37.6,38.2,37.8,"121,093"
2019-03-05,37.8,39.1,37.8,38.4,38,"257,366"
2019-03-04,38.3,38.6,37.7,37.7,38.4,"225,187"
2019-03-03,38,38.2,37.5,37.5,37.8,"164,177"
2019-02-27,37.4,37.9,37.4,37.7,37.6,"132,096"
2019-02-26,37.7,38,37.6,37.7,37.7,"138,173"
2019-02-25,38.1,38.1,37.3,37.3,37.8,"100,659"
2019-02-24,37.6,38.6,37.5,38.6,37.6,"183,985"
2019-02-20,38.4,39.2,38.1,39.2,38.3,"190,898"
2019-02-19,39,39,37.6,38.7,38.7,"239,775"
2019-02-18,38.3,39.3,37.6,37.6,38.2,"348,504"
2019-02-17,38,39.2,37.5,38.8,37.6,"334,591"
2019-02-14,38.5,39,38.3,39,38.6,"227,114"
2019-02-13,38.6,39.4,38.3,38.4,38.7,"186,213"
2019-02-12,38.3,39.4,38.2,39.2,38.4,"378,625"
2019-02-11,39.1,40.9,38.9,40.4,39.2,"469,608"
2019-02-10,39.7,40.4,38.6,39,40.2,"642,244"
2019-02-07,38.9,39,38.4,38.5,38.8,"138,772"
2019-02-06,38.5,39,38,39,38.3,"212,876"
2019-02-05,38.3,39.3,38.2,39,38.4,"166,711"
2019-02-04,38.8,39.9,38.8,39.2,39,"466,619"
2019-02-03,39.1,39.5,37.5,38.6,38.8,"293,020"
2019-01-31,37.7,41,37.7,39.7,38.2,"555,902"
2019-01-30,38.8,40,36.5,36.7,39.7,"682,380"
2019-01-29,36.5,37.7,36.4,37.1,36.6,"325,323"
