DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,36.1,36.9,36.1,36.5,36.2,"1,381,483"
2019-06-27,36.5,37,36.4,36.6,36.5,"2,600,528"
2019-06-26,36.7,36.8,36.1,36.5,36.4,"2,616,427"
2019-06-25,36.5,36.7,35.4,35.8,36.5,"2,182,443"
2019-06-24,35.5,36.2,35.4,35.9,35.6,"2,018,071"
2019-06-23,35.7,35.9,34.5,34.5,35.8,"2,627,644"
2019-06-20,34.9,35.4,34.3,34.6,35,"1,278,209"
2019-06-19,34.5,35.6,34.3,35.4,34.6,"1,649,204"
2019-06-18,35.5,35.7,34.3,34.5,35.4,"1,240,510"
2019-06-17,34.2,35.2,33.9,35.2,34.2,"2,467,808"
2019-06-16,35,36.5,35,35.8,35.2,"1,879,292"
2019-06-13,35.7,36.3,35.6,36.1,35.8,"1,920,215"
2019-06-12,36,37.2,36,36.9,36.1,"2,120,339"
2019-06-11,36.8,36.9,36.2,36.4,36.8,"2,059,180"
2019-06-10,36.3,36.7,35.6,36.2,36.1,"2,011,797"
2019-06-09,36.1,37.2,36,37.2,36.2,"1,543,906"
2019-05-30,37.4,37.4,36.7,37,36.9,"2,363,156"
2019-05-29,37,37.6,36.9,37.4,37,"1,826,459"
2019-05-28,37.4,37.6,37.1,37.4,37.3,"1,473,251"
2019-05-27,37.2,37.9,37,37.3,37.2,"1,456,246"
2019-05-26,37.2,38.1,37.1,38,37.3,"2,209,141"
2019-05-23,37.8,38.7,37.6,38.7,37.8,"1,965,196"
2019-05-22,38.3,39.2,38.3,38.9,38.7,"4,488,299"
2019-05-21,38.7,38.9,37.7,38,38.7,"3,736,580"
2019-05-20,37.7,38.5,37.7,38.5,37.9,"2,974,779"
2019-05-19,38.2,39,37.7,38,38.2,"5,099,875"
2019-05-16,37.8,38.3,37.3,37.3,37.8,"4,525,954"
2019-05-15,36.8,37.4,36.7,36.9,36.9,"3,029,967"
2019-05-14,36.8,37.7,36.7,37.3,36.9,"4,105,048"
2019-05-13,37.3,38.2,37.2,38.2,37.3,"2,563,547"
2019-05-12,38.1,39.1,37.7,38.8,37.9,"5,255,644"
