DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,15.7,15.9,15.7,15.9,15.7,"1,000,060"
2019-06-27,15.9,16,15.7,15.9,15.9,"1,242,085"
2019-06-26,15.8,16,15.7,15.9,15.8,"858,887"
2019-06-25,16,16,15.8,15.9,15.8,"1,024,816"
2019-06-24,15.9,16.1,15.7,15.7,15.9,"572,569"
2019-06-23,15.9,16.2,15.8,16.2,15.8,"937,330"
2019-06-20,16.1,16.9,16.1,16.6,16.2,"2,756,929"
2019-06-19,16.5,16.6,15.9,16,16.5,"4,319,546"
2019-06-18,15.7,16,15.5,15.5,15.8,"887,686"
2019-06-17,15.4,15.7,15.4,15.7,15.5,"513,683"
2019-06-16,15.8,16.2,15.7,15.9,15.8,"798,823"
2019-06-13,16,16.1,15.8,16,15.9,"697,597"
2019-06-12,15.9,16.2,15.9,16.2,15.9,"694,246"
2019-06-11,16.3,16.3,16,16.2,16.2,"954,013"
2019-06-10,16.1,16.2,15.8,15.8,16.1,"928,927"
2019-06-09,15.8,16,15.7,16,15.8,"211,274"
2019-05-30,15.8,15.9,15.6,15.8,15.8,"477,669"
2019-05-29,15.8,16,15.7,15.8,15.8,"232,605"
2019-05-28,15.7,16,15.7,15.7,15.8,"271,584"
2019-05-27,15.8,16,15.6,15.8,15.7,"367,979"
2019-05-26,15.7,16,15.6,15.9,15.7,"525,178"
2019-05-23,16.1,16.1,15.9,16.1,16,"390,803"
2019-05-22,16.2,16.4,16,16.1,16.1,"1,450,829"
2019-05-21,15.9,16.3,15.7,16.3,15.9,"811,680"
2019-05-20,16.2,16.5,16.1,16.4,16.1,"1,007,230"
2019-05-19,16.2,16.5,16.1,16.1,16.4,"1,719,157"
2019-05-16,16,16,15.7,15.9,16,"537,029"
2019-05-15,15.8,16,15.6,15.8,15.8,"433,462"
2019-05-14,15.7,16.1,15.6,16.1,15.7,"797,918"
2019-05-13,16,16.4,15.8,16.4,15.8,"1,190,198"
2019-05-12,16.5,16.8,16.3,16.7,16.4,"1,105,766"
2019-05-09,16.6,16.8,15.5,15.7,16.6,"4,722,423"
2019-05-08,15.4,15.6,15.2,15.5,15.4,"627,229"
2019-05-07,15.3,15.9,15.3,15.8,15.5,"805,865"
2019-05-06,15.7,16.1,15.6,16,15.7,"1,245,538"
2019-05-05,16,16.1,15.6,15.6,16,"1,704,704"
2019-05-02,15.6,15.7,14.9,15,15.6,"1,915,336"
2019-04-30,15,15.2,14.4,14.5,14.9,"1,084,818"
2019-04-29,14.4,14.8,14.3,14.3,14.4,"1,176,327"
2019-04-28,14.1,14.4,14,14.4,14.1,"353,582"
2019-04-25,14.1,14.4,14,14.2,14.2,"474,098"
2019-04-24,14.4,14.4,14,14.2,14.2,"216,067"
2019-04-23,14.3,14.5,14.1,14.5,14.2,"402,092"
2019-04-21,14.6,14.6,14.2,14.4,14.5,"629,212"
2019-04-18,14.4,14.4,13.7,13.9,14.3,"558,485"
2019-04-17,13.7,14,13.6,13.7,13.8,"395,475"
2019-04-16,13.8,14,13.7,14,13.8,"318,994"
2019-04-15,14.2,14.3,14,14.2,14,"299,018"
2019-04-11,14.2,14.3,13.7,14,14.1,"393,962"
2019-04-10,14,14.3,13.9,14.2,14,"121,548"
2019-04-09,14.2,14.5,14,14.1,14.1,"253,550"
2019-04-08,14.1,14.3,14,14.2,14.1,"205,956"
2019-04-07,14.2,14.7,14.2,14.5,14.4,"119,713"
2019-04-04,14.5,14.7,14.4,14.7,14.6,"287,701"
2019-04-03,14.5,14.8,14.5,14.8,14.5,"142,482"
2019-04-02,14.7,14.9,14.6,14.6,14.8,"244,440"
2019-04-01,14.6,14.8,14.6,14.8,14.6,"451,528"
2019-03-31,14.8,14.9,14.6,14.9,14.7,"202,748"
2019-03-28,15,15,14.8,15,14.9,"259,769"
2019-03-27,15,15,14.7,14.8,14.9,"251,626"
2019-03-25,14.7,15,14.6,14.6,14.8,"303,165"
2019-03-24,14.6,14.7,14.4,14.6,14.5,"283,347"
2019-03-21,14.7,14.7,14.3,14.6,14.6,"356,921"
2019-03-20,14.9,14.9,14.6,14.8,14.6,"298,699"
2019-03-19,14.9,15,14.3,14.8,14.7,"488,766"
2019-03-18,14.7,15.1,14.3,15.1,14.5,"278,626"
2019-03-14,15,15.4,14.7,15.2,14.8,"729,836"
2019-03-13,15.2,15.9,15.2,15.8,15.4,"385,583"
2019-03-12,15.7,16.3,15.7,16.1,15.8,"496,669"
2019-03-11,16.2,16.4,16.1,16.3,16.1,"310,122"
2019-03-10,16.4,16.6,16.2,16.4,16.2,"575,756"
2019-03-07,16.3,16.4,16.1,16.4,16.4,"458,147"
2019-03-06,16.1,16.4,16.1,16.2,16.2,"397,893"
2019-03-05,16.2,16.6,16.1,16.4,16.2,"599,771"
2019-03-04,16.5,16.6,16.3,16.6,16.4,"341,200"
2019-03-03,16.6,16.8,16.4,16.7,16.5,"564,879"
2019-02-27,16.6,16.8,16.2,16.6,16.7,"1,527,432"
2019-02-26,16.7,16.9,16.6,16.7,16.7,"855,037"
2019-02-25,16.8,17,16.7,16.8,16.7,"700,504"
2019-02-24,16.9,17.2,16.8,17.2,16.9,"582,299"
2019-02-20,17.1,17.3,16.9,17.3,17,"1,541,569"
2019-02-19,17.2,17.2,16.9,17.2,17.1,"710,223"
2019-02-18,17.2,17.5,16.7,16.9,17.1,"2,947,770"
2019-02-17,16.7,17.1,16.7,17.1,16.8,"1,152,172"
2019-02-14,17.2,17.2,16.9,17,17,"1,187,339"
2019-02-13,17.1,17.3,16.9,17.1,17.1,"1,341,319"
2019-02-12,16.9,17.2,16.7,16.8,17,"1,821,019"
2019-02-11,17,17,16.4,16.4,16.7,"1,015,127"
2019-02-10,16.4,16.6,16.3,16.5,16.5,"524,494"
2019-02-07,16.4,16.7,16.4,16.7,16.5,"449,177"
2019-02-06,16.5,16.8,16.5,16.6,16.5,"543,934"
2019-02-05,16.6,16.8,16.5,16.6,16.6,"676,975"
2019-02-04,16.5,17.1,16.4,16.8,16.5,"1,578,964"
2019-02-03,16.6,17.2,16.6,17,16.8,"1,063,419"
2019-01-31,17,17.7,17,17.4,17.1,"1,243,982"
2019-01-30,17.4,17.8,17.3,17.8,17.4,"839,687"
2019-01-29,17.8,18.4,17.5,18,17.6,"2,304,040"
2019-01-28,17.6,18.4,17.5,17.8,17.8,"3,948,466"
2019-01-27,17.8,18,16.8,16.8,17.8,"3,992,713"
2019-01-24,17,17.1,16.7,16.8,16.8,"1,338,445"
2019-01-23,16.8,17.2,16.7,17,17,"1,825,250"
2019-01-22,17,17.4,16.9,17.3,17,"1,549,587"
2019-01-21,17.4,17.8,16.8,17,17.3,"2,282,034"
2019-01-20,17.2,17.5,16.5,16.8,17.2,"1,724,018"
2019-01-17,16.9,17,16.7,16.8,16.8,"911,085"
2019-01-16,16.8,17.4,16.7,17.2,16.8,"1,067,735"
2019-01-15,17.2,17.6,16.9,17.5,17.1,"1,736,781"
2019-01-14,17.5,18,17.2,18,17.3,"2,115,838"
2019-01-13,17.8,18.2,17.6,18,17.8,"2,399,504"
2019-01-10,18,18.3,17.1,17.1,17.9,"5,461,396"
2019-01-09,17.1,17.2,16.9,17.1,17.1,"1,429,941"
2019-01-08,17,17.3,16.8,16.8,17,"2,000,740"
2019-01-07,16.9,17.2,16.6,17.1,16.8,"1,928,643"
