DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,285.1,291,285.1,290.7,285.9,"7,666"
2019-06-27,287.3,291,285,291,288.3,"6,292"
2019-06-26,289.9,292,287,287,289.3,"5,266"
2019-06-25,287.1,289.7,285,289.7,286.8,"5,814"
2019-06-24,286,287,285,287,286,"4,208"
2019-06-23,285.5,292,285.1,290.9,286.4,"7,957"
2019-06-20,288,292,286,292,287.5,"6,294"
2019-06-19,287,294,287,291.2,289.3,"12,511"
2019-06-18,290.1,298.5,290.1,298.5,291.9,"19,899"
2019-06-17,295,308,295,303,297.3,"25,013"
2019-06-16,302.8,308.2,300,306,300.8,"23,401"
2019-06-13,302,308.2,299,308.2,300.2,"23,241"
2019-06-12,306.9,315,303,305,306.7,"42,150"
2019-06-11,303.2,303.2,280,280,300.7,"39,768"
2019-06-10,279.6,279.6,276.1,277,278.8,"9,163"
2019-06-09,276.5,280,274.2,278.5,276.6,"5,638"
2019-05-30,274,274.9,265,265,273,"11,139"
2019-05-29,265,265,264.1,265,264.9,"13,463"
2019-05-28,265.9,266,264.5,265.1,265.4,"10,000"
2019-05-27,263,263,260.2,263,262.3,"5,973"
2019-05-26,265.3,272,265,271.2,265.2,"9,491"
2019-05-23,273.7,276.6,270.4,276.6,271.1,"5,759"
2019-05-22,271.1,277.7,271.1,275.2,274.1,"8,928"
2019-05-21,275,277.9,274.7,277.8,275.1,"5,207"
2019-05-20,277.8,278,275.5,277.6,276.2,"2,815"
2019-05-19,277.6,282,277,280.8,277.4,"6,394"
2019-05-16,276.2,281.5,276.2,281.5,276.9,"3,844"
2019-05-15,277,282.1,275.4,281.1,277.9,"5,927"
2019-05-14,282,283,280,282.1,281.1,"2,880"
2019-05-13,283.3,283.3,280.5,280.5,282,"4,356"
2019-05-12,284.3,286.9,283,284.1,283.3,"3,259"
2019-05-09,285,285,280.5,282.3,283,"5,376"
2019-05-08,282,287.9,281,287.9,281.5,"3,079"
2019-05-07,283.8,291.9,283.1,291,285.4,"6,925"
2019-05-06,284.7,297,283,293.5,284.8,"7,932"
2019-05-05,293,294.8,284.1,286,292,"13,993"
2019-05-02,283.3,283.8,276,278,282.7,"12,006"
2019-04-30,276,280.3,267.5,280,269.6,"22,947"
2019-04-29,273,295.1,270.4,295.1,280,"14,690"
2019-04-28,296,305,294.3,295,296.2,"8,507"
2019-04-25,296.9,297.4,294,297.4,295.4,"5,459"
2019-04-24,293.4,296,293.2,293.4,293.9,"7,699"
2019-04-23,296.5,302,293.9,302,294.7,"13,828"
2019-04-21,303.5,303.5,300,301.5,301.4,"7,997"
2019-04-18,301.8,304.9,292.1,294.6,300.8,"7,569"
2019-04-17,294.3,300,294,300,294.6,"7,861"
2019-04-16,295.2,302.1,295,302.1,295.5,"14,748"
2019-04-15,301.2,308.4,301,308.4,302.3,"9,624"
2019-04-11,305.8,306,300.2,303,303.5,"5,399"
2019-04-10,298.8,305,298.7,302.5,299.7,"11,107"
2019-04-09,302,307,301.1,306.1,302,"16,913"
2019-04-08,304.6,309.8,303.2,309.8,303.5,"26,353"
2019-04-07,307.7,315,305.2,310,305.8,"12,340"
2019-04-04,310,313.7,305,308.9,310.5,"8,996"
2019-04-03,308.5,315,307,312.3,308.2,"10,470"
2019-04-02,313,319,312.5,314.8,313.7,"11,420"
2019-04-01,316,317,312.2,312.7,314.7,"7,639"
2019-03-31,315.9,320.9,315,320.9,315.7,"7,918"
2019-03-28,320,326,318.1,324,319.7,"9,638"
2019-03-27,322,322.5,319.1,320.4,321.1,"13,264"
2019-03-25,320.8,328,317,324.2,319.9,"13,592"
2019-03-24,326.8,329.9,320.2,320.2,324.2,"18,513"
2019-03-21,321,321,306.2,307.1,317.8,"18,431"
2019-03-20,306.1,315.7,305.4,314.4,307.1,"17,595"
2019-03-19,311,315.1,300,302.5,309.3,"14,816"
2019-03-18,300.6,315,300,308,302,"10,922"
2019-03-14,309.1,319,309.1,317.8,310.3,"19,038"
2019-03-13,315.1,326.2,312.1,325,316.4,"14,173"
2019-03-12,321,329,320,323,321.3,"14,988"
2019-03-11,322.4,325.2,319.6,325.2,323.2,"12,601"
2019-03-10,324.7,332.2,324.7,332,325.6,"17,742"
2019-03-07,330.2,333.5,328.5,332.6,329.6,"10,150"
2019-03-06,332.5,334,332,333,332.4,"11,052"
2019-03-05,334,335.9,331.5,332.7,332.3,"13,530"
2019-03-04,332.1,335,331.8,335,332.1,"16,360"
2019-03-03,334.2,340,331.2,340,334.8,"16,390"
2019-02-27,336.2,337,332.8,332.9,335.3,"12,451"
2019-02-26,335.9,336.3,332,336,332.7,"22,838"
2019-02-25,338,343,337,341,337.6,"17,656"
2019-02-24,340.9,344,340.3,342.8,341,"17,162"
2019-02-20,343,345.5,340.3,342,342.5,"20,828"
2019-02-19,341.8,346.8,340,343,342.3,"10,750"
2019-02-18,341.6,348.8,341.6,346,342.4,"20,813"
2019-02-17,346,349,344,344.1,345.6,"24,037"
2019-02-14,345.5,349,343,345.2,344.1,"18,267"
2019-02-13,346,350.9,343,350.9,344.4,"31,498"
2019-02-12,348,354.9,345.4,354.8,346.5,"32,801"
2019-02-11,351.4,360,346,360,349,"45,040"
2019-02-10,360,374.7,356.2,366.3,359.2,"59,276"
2019-02-07,360,360.5,345,346.7,359.6,"125,553"
2019-02-06,344.8,350,339.2,339.2,342.9,"30,615"
2019-02-05,339,340,336,340,338.9,"17,180"
2019-02-04,337.9,341.6,335.1,339.8,335.4,"24,551"
2019-02-03,335.5,343,335.1,343,337,"20,941"
2019-01-31,340,345,335.5,340,337.5,"35,914"
2019-01-30,337.3,345.6,335,343.5,335.8,"40,109"
2019-01-29,342.7,361,341.6,358,343.4,"45,370"
2019-01-28,354.9,355,345,345,352.3,"34,978"
2019-01-27,343.9,358.9,340.4,355.5,342,"45,215"
2019-01-24,359,364,349.7,354,354.2,"38,326"
2019-01-23,345.2,376,345.1,376,349.7,"95,598"
2019-01-22,370,391.3,366,388.1,368.5,"111,473"
2019-01-21,383,405,382,395,384.5,"112,350"
2019-01-20,386.4,397,372.5,377,388.4,"118,293"
2019-01-17,377.7,390,374.5,386.5,376.3,"115,978"
2019-01-16,384,415,380.2,410,382.5,"157,955"
2019-01-15,397.4,397.4,371,375,397.4,"229,665"
2019-01-14,365.5,365.5,340,340,365.5,"145,927"
2019-01-13,338.4,339.7,334.2,339,336.1,"49,600"
2019-01-10,333.2,343,331.2,339.5,333.8,"56,244"
2019-01-09,337,345,336.1,339.8,337.3,"60,873"
2019-01-08,337.9,344,331,331,336.5,"95,324"
2019-01-07,329.8,336,326,327.5,328.4,"61,516"
2019-01-06,328.7,334.5,325.5,325.5,327.5,"48,155"
2019-01-03,326.6,339,324,330.2,325,"55,596"
2019-01-02,329.8,332,317.2,317.2,329.8,"54,876"
2019-01-01,316.5,321,314,317,316.9,"25,461"
2018-12-27,317,324.8,315,316.9,316.1,"23,161"
2018-12-26,316.3,317.8,315.5,317,316.8,"9,542"
2018-12-24,317.5,318.7,313.5,313.5,315.9,"7,545"
2018-12-23,315,318.5,313.1,317.9,314.8,"12,349"
2018-12-20,317,319.9,313,319.9,315.8,"15,519"
2018-12-19,317.9,322,313.9,320,315.8,"20,110"
2018-12-18,319.5,322,316,316.9,317.6,"10,971"
2018-12-17,315.7,320,314.5,317,315.1,"15,616"
2018-12-13,326,328,320,328,320.8,"28,124"
2018-12-12,327,334.9,324,327,327.4,"38,438"
2018-12-11,325.1,344.8,325,342.4,326.3,"44,445"
2018-12-10,338.1,350,334,344.8,342.4,"83,177"
2018-12-09,339.4,339.7,321.8,321.8,338.8,"96,309"
2018-12-06,317,324.6,312,312,318.8,"26,505"
2018-12-05,311.2,319.9,309.5,317,310.4,"51,783"
2018-12-04,318,322.9,316,322,317.2,"30,396"
2018-12-03,321.2,330,320.1,324.8,321.5,"22,848"
2018-12-02,324,328.1,317.5,323.8,318.9,"27,881"
2018-11-29,322.5,334.9,321,334.9,322.3,"37,177"
2018-11-28,331,350,330.3,346,334.5,"42,411"
2018-11-27,340.5,355,329.8,329.8,344.1,"79,977"
2018-11-26,330,330,320.5,326,327.4,"38,010"
2018-11-25,324.3,332,318,321,322.8,"37,314"
2018-11-22,322.1,344.9,322,331,324.6,"90,132"
2018-11-19,369.1,372.3,343.6,349.9,369.7,"86,005"
2018-11-18,342,361.9,339,361.8,342.4,"53,203"
2018-11-15,359,370,348,364.9,357.9,"74,634"
2018-11-14,365.4,365.4,336,343,362.9,"103,472"
2018-11-13,336,336,295,305.1,336,"90,438"
2018-11-12,307,326,305,324,309,"46,346"
2018-11-11,322,330,321,321,323.7,"33,197"
2018-11-08,320,322,299.3,303.8,319,"64,187"
2018-11-07,304.8,313.7,303.1,310,303.8,"31,038"
2018-11-06,308,315,308,314,309.1,"18,461"
2018-11-05,311.2,320,310.6,318,311.4,"20,940"
2018-11-04,315,326.3,315,326.2,315.7,"32,334"
2018-11-01,324.1,327.6,324.1,326.1,324.8,"32,321"
2018-10-31,323.2,329.7,322.4,324.6,325.6,"25,730"
2018-10-30,324.8,340,316,316,321,"29,076"
2018-10-29,315.1,331,312.1,330.1,316.4,"54,229"
2018-10-28,330,350,330,349.7,333.1,"26,805"
2018-10-25,352,405,321,405,349.7,"94,945"
2018-10-24,418,430,416.1,430,419,"28,121"
2018-10-23,426.5,430,411,418,426.5,"47,936"
2018-10-22,414.9,415.5,398.1,406.9,410.8,"19,615"
2018-10-21,407.7,424.6,402.1,424.4,406.2,"30,440"
2018-10-18,423.3,430.9,420.1,426.5,423.9,"33,715"
2018-10-17,425.9,432,413.8,415.1,425.9,"38,658"
2018-10-16,412.8,419,412,419,413.1,"8,776"
2018-10-15,412,420,410.7,414.9,413.4,"16,817"
2018-10-14,410,432,410,429.9,411.6,"21,317"
2018-10-11,420.8,428.6,415,415,417.6,"26,298"
