DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,33.8,34.2,33.5,34.2,33.7,"295,289"
2019-06-27,34.2,34.5,34,34.2,34.2,"164,536"
2019-06-26,34.2,34.7,34.1,34.3,34.2,"85,901"
2019-06-25,34.7,34.7,33.9,34.4,34,"627,342"
2019-06-24,34.3,34.9,34,34.6,34.3,"224,620"
2019-06-23,35,35,34.4,35,34.9,"77,966"
2019-06-20,35,35.1,34.6,34.6,34.8,"81,322"
2019-06-19,34.5,35.3,34.5,35,34.6,"142,822"
2019-06-18,34.4,36.1,34.2,35,34.4,"430,543"
2019-06-17,34.4,35.4,34.1,35.3,34.4,"232,961"
2019-06-16,35.7,36,35.5,36,35.6,"247,274"
2019-06-13,36,36.7,35,35,36,"947,526"
2019-06-12,34.7,35,34.2,34.2,34.7,"165,522"
2019-06-11,34.6,35,34,34,34.8,"571,928"
2019-06-10,34,34.5,33.9,34.4,34.1,"60,180"
2019-06-09,33.9,34.1,33.8,34.1,34,"26,399"
2019-05-30,34.4,34.4,33.7,34.3,34.1,"73,706"
2019-05-29,34.3,34.3,33.9,34.3,34.1,"18,165"
2019-05-28,34,34.3,33.8,34,34.2,"28,134"
2019-05-27,33.7,33.9,33.6,33.9,33.8,"125,114"
2019-05-26,33.5,33.9,33.5,33.7,33.6,"44,659"
2019-05-23,33.6,34,33.6,34,33.7,"34,622"
2019-05-22,34.3,34.4,33.5,33.7,34.2,"40,127"
2019-05-21,33.5,33.7,33.5,33.5,33.6,"29,284"
2019-05-20,33.7,34.5,33.6,34.5,33.7,"97,615"
2019-05-19,34.4,34.9,34,34.9,34.5,"106,508"
2019-05-16,34.1,34.3,33.7,33.7,34.1,"97,427"
2019-05-15,34,34,33.7,33.8,33.8,"109,409"
2019-05-14,33.9,33.9,33.4,33.7,33.8,"53,154"
2019-05-13,34,34,33.6,34,33.8,"153,226"
2019-05-12,33.9,34.3,33.7,34.1,33.7,"112,756"
2019-05-09,34,34.3,33.7,34,34,"130,024"
2019-05-08,34.3,34.4,33.8,34.1,34.1,"50,813"
2019-05-07,34,35,33.9,35,34.2,"77,424"
2019-05-06,34.5,35.3,34.3,35.1,34.7,"237,125"
2019-05-05,34.9,36.2,34.9,35.5,35.1,"364,690"
2019-05-02,35,35.3,33.9,34,34.6,"304,373"
2019-04-29,33.2,33.9,32.5,32.5,33.3,"85,401"
2019-04-28,32.8,33.6,32.8,33.2,32.9,"120,313"
2019-04-25,33.6,33.7,32.7,33.7,33.3,"111,283"
2019-04-24,32.7,33,32.5,32.6,32.7,"45,500"
2019-04-23,32.6,34.3,32.4,33.5,32.9,"72,418"
2019-04-21,33.6,34.8,33.6,34,33.8,"62,413"
2019-04-18,33.8,33.8,32.3,32.6,33.3,"84,409"
2019-04-17,32.6,33.2,32.2,33.1,32.5,"101,109"
2019-04-16,32.2,33.2,32,32.1,32.2,"44,896"
2019-04-15,32.6,33.7,32.6,33,32.8,"49,324"
2019-04-11,33.4,33.4,32.5,33.2,33.1,"67,774"
2019-04-10,32.1,33.9,31.9,33.7,32.1,"143,748"
2019-04-09,33.3,34,32,33.8,33.7,"98,514"
2019-04-08,33.8,34.1,33.6,34,33.8,"39,580"
2019-04-07,34.5,34.8,34,34.8,34.1,"81,625"
2019-04-04,34.9,35,34,34.3,34.7,"49,080"
2019-04-03,34.4,35.8,34.4,35.5,34.5,"152,860"
2019-04-02,35.4,36.1,35.2,36.1,35.5,"159,909"
2019-04-01,36.1,36.3,36,36,36.1,"266,774"
2019-03-31,36.2,36.4,34.9,36,36.1,"319,813"
2019-03-28,36,36.3,35.2,35.2,36,"262,823"
2019-03-27,35.5,35.5,34.8,34.8,35.3,"228,485"
2019-03-25,34.8,35.6,34.7,35,35,"119,565"
2019-03-24,35.3,35.3,33,33,34.9,"73,261"
2019-03-21,33.4,33.7,33.4,33.6,33.5,"69,252"
2019-03-20,33.8,34.5,33.7,33.8,33.8,"54,781"
2019-03-19,34.3,34.5,32.8,34,34.3,"76,575"
2019-03-18,32.9,34.3,32.1,34.2,33.2,"67,841"
2019-03-14,34.5,34.5,34.1,34.3,34.2,"182,012"
2019-03-13,34.7,34.9,34.3,34.3,34.7,"154,602"
2019-03-12,34.4,35.7,34.1,35.7,34.5,"212,221"
2019-03-11,35.2,36.6,35.2,36.4,35.4,"339,272"
2019-03-10,36.2,37,36.2,36.5,36.4,"253,047"
2019-03-07,36.6,36.8,35.6,36,36.5,"669,670"
2019-03-06,35.7,36.1,35,35,35.9,"269,693"
2019-03-05,35.2,35.9,34.9,34.9,35.2,"164,158"
2019-03-04,34.9,35.8,34.7,34.8,35.2,"243,048"
2019-03-03,34.6,36.5,34.5,36.5,34.7,"145,056"
2019-02-27,34.7,34.7,34.1,34.7,34.5,"273,737"
2019-02-26,34.9,35.4,34.5,35.4,34.6,"341,315"
2019-02-25,35.3,35.6,35.2,35.5,35.3,"167,719"
2019-02-24,35.5,35.8,35.1,35.1,35.6,"87,622"
2019-02-20,35.4,36.4,35.2,36.4,35.5,"391,139"
2019-02-19,35.6,36.5,35.6,36.5,35.8,"383,619"
2019-02-18,36.3,37.1,36.3,36.9,36.6,"684,220"
2019-02-17,37,37.6,36.6,36.6,37,"970,095"
2019-02-14,36.4,36.6,35.8,35.9,36.3,"509,454"
2019-02-13,36.3,36.4,35.6,36.3,36.1,"438,320"
2019-02-12,36.2,36.4,35.4,35.4,36.1,"390,619"
2019-02-11,35.8,35.9,34.1,34.1,35.4,"194,248"
2019-02-10,34.7,35.7,34.4,35.7,34.8,"415,435"
2019-02-07,35.5,36.2,35.5,35.9,35.7,"517,113"
2019-02-06,36,36.6,35.7,36.6,35.9,"542,805"
2019-02-05,36.6,37.5,36.3,37.3,36.6,"1,391,494"
2019-02-04,37.4,37.5,36.2,36.3,37.3,"2,384,646"
2019-02-03,36.6,36.8,35.5,35.5,36.3,"1,806,122"
2019-01-31,35.7,36,34.4,35.4,35.5,"1,507,688"
2019-01-30,35.9,35.9,33.8,35.4,35.4,"1,421,879"
2019-01-29,35.5,35.6,33,33.9,35.4,"1,868,888"
2019-01-28,33.8,33.9,32.2,32.7,33.7,"924,654"
2019-01-27,32.5,32.6,31.8,31.9,32.4,"330,507"
2019-01-24,31.8,32.8,31.7,32.4,31.8,"781,290"
2019-01-23,32.1,33,31.5,32.8,31.8,"476,795"
2019-01-22,32.8,33.3,32.6,33.1,32.9,"376,572"
2019-01-21,33.1,33.4,32.1,32.2,33.1,"823,427"
2019-01-20,32.2,32.6,32.1,32.4,32.1,"258,345"
2019-01-17,32.2,32.6,32,32,32.3,"448,196"
2019-01-16,32.2,33,32.1,33,32.2,"379,286"
2019-01-15,33,33.9,32.6,33.5,33,"650,495"
2019-01-14,33.3,33.6,32.3,32.3,33.2,"1,244,185"
2019-01-13,32.3,33,32.1,33,32.3,"458,074"
2019-01-10,32.4,33.3,32,33.1,32.2,"656,178"
2019-01-09,33,33.4,31.8,31.9,32.9,"1,092,268"
2019-01-08,32,32.3,31.2,31.5,31.8,"421,735"
2019-01-07,31.7,32.4,31.2,32.4,31.4,"757,732"
2019-01-06,32.3,32.6,31.8,32.4,32.3,"744,369"
2019-01-03,32,32.8,30.9,30.9,32.3,"1,031,157"
2019-01-02,30.8,31,30.1,30.4,30.7,"619,704"
2019-01-01,30.2,30.7,29.3,29.3,30.2,"377,830"
2018-12-27,29.4,29.6,29,29.3,29.3,"125,905"
2018-12-26,29.5,29.5,29,29,29.3,"228,336"
2018-12-24,29.3,29.4,28.8,29.1,29.1,"121,085"
2018-12-23,29.2,29.6,28.7,29.6,28.9,"87,377"
2018-12-20,29.6,29.6,28.9,29.2,29.5,"131,297"
2018-12-19,28.4,29.5,28.4,29.5,28.7,"189,355"
2018-12-18,29.1,29.3,28.2,28.8,29,"144,418"
2018-12-17,28.8,29.6,28.8,29.5,28.9,"233,606"
2018-12-13,29.8,31,29.5,30.8,29.5,"345,941"
2018-12-12,30.8,30.8,29.4,30.4,30.5,"606,335"
2018-12-11,30,30,29.1,29.6,29.8,"214,501"
2018-12-10,29,30,29,29.6,29.1,"237,218"
2018-12-09,30.1,30.8,29.1,30.8,29.6,"537,902"
2018-12-06,30.4,31.3,30.1,30.6,30.3,"373,535"
2018-12-05,30.8,31.7,30.8,31.7,31.1,"347,277"
2018-12-04,31.9,32.2,30.4,30.9,31.7,"729,795"
2018-12-03,30.6,31,30.4,30.6,30.7,"301,671"
2018-12-02,30.5,30.5,29.1,29.7,30.3,"359,719"
2018-11-29,29.7,30.8,29.4,30.7,29.5,"457,184"
2018-11-28,30.6,30.7,29.5,29.8,30.5,"552,245"
2018-11-27,29.8,29.8,28.7,28.9,29.5,"289,462"
2018-11-26,29.2,29.7,28.8,29,28.9,"193,575"
2018-11-25,29.1,30.4,29,29.9,29.3,"187,681"
2018-11-22,29.8,30.7,29.6,30.4,29.7,"215,552"
2018-11-20,29.9,31.5,29.8,31,30,"664,288"
2018-11-18,34.1,34.2,31.7,31.8,33.6,"1,025,302"
2018-11-15,31.6,31.6,31,31.1,31.4,"242,739"
2018-11-14,30.7,31.6,30.5,31.6,30.9,"177,138"
2018-11-13,31,32.1,31,32,31.2,"183,187"
2018-11-12,31.6,32.5,31.1,32.5,31.5,"138,213"
2018-11-11,32.5,32.8,31.7,32,32.3,"172,031"
2018-11-08,31.7,32.1,31.2,31.2,31.6,"151,888"
2018-11-07,31.3,32.3,30.9,32,31.1,"306,355"
2018-11-06,31.6,33,31.6,33,31.8,"187,400"
2018-11-05,32.2,33.4,32.2,33.4,32.5,"236,533"
2018-11-04,32.7,33.9,32.4,33.7,32.7,"422,010"
2018-11-01,33.6,34.3,33.5,34.3,33.7,"194,994"
2018-10-31,34,34.8,32.5,33.7,34.2,"1,051,913"
2018-10-30,35.1,35.1,32.5,33.9,33.4,"517,447"
2018-10-29,34.2,34.2,31.5,31.8,33.5,"348,889"
2018-10-28,31.9,33.7,31.7,32.1,31.9,"247,314"
2018-10-25,31.5,33.8,31.5,33.2,32.1,"225,358"
2018-10-24,33.8,34.1,32.8,34,33.4,"227,677"
2018-10-23,34,34.8,33.6,34.8,34,"202,320"
2018-10-22,34.2,35,33.4,35,33.8,"264,138"
2018-10-21,34.8,36,34.7,36,35,"212,903"
2018-10-18,35.9,36.5,35.8,36.5,36,"162,762"
2018-10-17,36.4,37.3,36.4,37,36.5,"131,079"
2018-10-16,36.8,37.2,36.3,36.5,36.9,"177,310"
2018-10-15,36.5,37.3,36.3,37.1,36.5,"355,676"
2018-10-14,37,37.9,37,37.9,37.2,"217,872"
2018-10-11,37,37.8,37,37.5,37.1,"941,818"
2018-10-10,37,38.2,37,38.2,37.2,"798,650"
2018-10-09,38.3,39.2,38.2,39,38.4,"410,090"
2018-10-08,38.8,39.1,38.6,38.9,38.8,"676,295"
2018-10-07,38.4,39.2,37.9,38.2,38.6,"420,532"
2018-10-04,38.2,38.7,37.7,38.5,38,"980,669"
2018-10-03,38.3,38.9,37.9,38.2,38.1,"484,186"
2018-10-02,38.1,38.6,37.9,38.3,38.1,"375,719"
2018-10-01,38.6,39.2,38,38.6,38.1,"330,295"
2018-09-30,38.3,38.6,38,38.4,38.4,"322,860"
2018-09-27,38.2,39,38.2,39,38.4,"412,142"
2018-09-26,39,39.6,38.6,39.4,39,"459,964"
2018-09-25,39,39.2,38.4,39.1,38.8,"529,548"
2018-09-24,39,40,38.3,38.8,38.5,"638,055"
2018-09-23,39.7,40.3,38.5,40.3,38.7,"915,350"
2018-09-20,40.2,41.7,40,41.7,40.3,"1,117,630"
2018-09-19,41.3,42.6,41.1,42.1,41.4,"1,325,781"
2018-09-18,41.7,41.7,40.8,41.4,41.4,"1,272,770"
2018-09-17,41,43.2,41,43.2,41.1,"1,914,129"
2018-09-16,43.1,45.2,42.8,44,43.1,"3,213,179"
2018-09-13,43.9,45,41.2,42.5,43.9,"5,026,529"
2018-09-12,41,42.5,40.8,42.2,41.2,"2,607,939"
2018-09-11,42.2,43.3,42.1,42.7,42.1,"2,116,209"
2018-09-10,42.7,43.3,40.5,40.5,42.7,"3,883,967"
2018-09-09,40.3,40.4,39.5,40.3,40,"1,302,185"
2018-09-06,40.4,41.3,39.8,41,40.4,"960,562"
2018-09-05,40.8,41.5,39.4,39.4,40.6,"2,235,896"
2018-09-04,39.5,39.7,38.5,38.5,39.4,"1,388,575"
2018-09-03,38.4,38.7,38.3,38.4,38.5,"269,828"
2018-08-30,38.7,38.7,38.2,38.6,38.3,"511,061"
2018-08-29,38.3,39,38.1,39,38.2,"444,976"
2018-08-28,38.6,39.7,38.5,39.7,38.7,"275,322"
2018-08-27,39.4,39.5,38.6,38.6,39.2,"251,070"
2018-08-26,38.8,38.8,37.9,38,38.6,"128,116"
2018-08-20,38.4,38.6,37.7,38,37.9,"310,793"
2018-08-19,37.9,39,37.9,39,38.1,"410,925"
2018-08-16,39.2,39.3,38.5,39,38.9,"365,979"
2018-08-14,38.5,39.4,38.5,38.5,38.6,"224,243"
2018-08-13,38.5,38.8,38.1,38.2,38.5,"553,551"
2018-08-12,38.3,39,38.1,38.6,38.2,"385,813"
2018-08-09,38.9,39.6,38.3,39.6,38.6,"869,537"
2018-08-08,39.3,40.5,39.2,39.9,39.3,"560,418"
2018-08-07,39.3,39.8,39.2,39.5,39.4,"493,063"
2018-08-06,39.2,40.1,38.9,39.5,39.3,"729,102"
2018-08-05,39.5,40.5,39,40.2,39.3,"741,989"
2018-08-02,40.2,41,39.8,40.5,40.1,"1,085,076"
2018-08-01,40.5,41.6,40,41.1,40.3,"1,006,620"
2018-07-31,40.7,41.6,40.6,41.3,41,"864,293"
2018-07-30,41,41,39.6,40,40.6,"635,875"
2018-07-29,40.2,42.3,39.9,41.5,40,"905,576"
2018-07-26,40.9,43,40.9,42.4,41.2,"1,745,005"
2018-07-25,42.1,43,41.5,41.5,42,"1,571,677"
2018-07-24,41,41.9,40.6,41.4,41.1,"1,200,727"
2018-07-23,41,43.6,40.7,42.8,41,"1,898,855"
2018-07-22,42.7,44.9,42.6,44.5,42.8,"2,962,292"
