DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,"1,439.9","1,488","1,405","1,488","1,431.5","1,294"
2019-06-27,"1,402","1,430","1,400","1,430","1,402","1,067"
2019-06-26,"1,415","1,425","1,415","1,420.1","1,419.3",713
2019-06-25,"1,428","1,443.8","1,413","1,420.9","1,420.1",620
2019-06-24,"1,426","1,452.5","1,387.3","1,387.3","1,427.9","1,202"
2019-06-23,"1,440","1,466","1,425","1,466","1,447.3","1,674"
2019-06-20,"1,426.6","1,479","1,400","1,417","1,429.8","10,107"
2019-06-19,"1,415","1,415.8","1,397","1,400","1,411.6",461
2019-06-18,"1,410","1,410","1,387","1,393","1,400.8",476
2019-06-17,"1,395.6","1,419","1,390","1,405.3","1,398.3",671
2019-06-16,"1,408","1,408","1,400.2","1,400.2","1,405.3",642
2019-06-13,"1,401.1","1,410","1,396.6","1,402","1,400.2",526
2019-06-12,"1,408.9","1,409.9","1,398.2","1,403.5","1,403.7",854
2019-06-11,"1,395","1,420","1,393.5","1,416.5","1,396","1,332"
2019-06-10,"1,400","1,409","1,391","1,396","1,393.6","1,102"
2019-06-09,"1,392","1,396.5","1,392","1,394.1","1,395.1",265
2019-05-30,"1,400","1,405.9","1,387","1,390.1","1,393.7",348
2019-05-29,"1,386","1,409","1,383","1,404.9","1,386.1",462
2019-05-28,"1,400","1,400","1,380.1","1,380.1","1,399.5",134
2019-05-27,"1,375.1","1,400","1,375.1","1,380","1,377.6",542
2019-05-26,"1,380","1,408","1,376.8","1,377.5","1,378.7",640
2019-05-23,"1,381.1","1,395","1,380","1,395","1,381.3",859
2019-05-22,"1,389","1,415","1,381","1,381.4","1,390.1",256
2019-05-21,"1,381.7","1,400.1","1,381.7","1,400","1,391.9",368
2019-05-20,"1,400","1,440","1,400","1,440","1,402.3",640
2019-05-19,"1,400","1,400","1,382.3","1,392.2","1,385","1,168"
2019-05-16,"1,391.2","1,391.3","1,384.2","1,384.2","1,390.4",283
2019-05-15,"1,388","1,400","1,388","1,400","1,391.4","2,719"
2019-05-14,"1,395","1,400","1,395","1,400","1,396.2","2,002"
2019-05-13,"1,397.1","1,400.1","1,395","1,400","1,397.2",386
2019-05-12,"1,396.5","1,406.9","1,396.4","1,406.9","1,397.6","1,138"
2019-05-09,"1,413","1,413","1,404","1,410","1,406.9","1,571"
2019-05-08,"1,410.1","1,410.3","1,404","1,404.3","1,410",385
2019-05-07,"1,408.6","1,413.8","1,406","1,406","1,409.1",506
2019-05-06,"1,414.7","1,415","1,401.5","1,401.5","1,411.1","1,529"
2019-05-05,"1,415","1,420.1","1,400","1,420.1","1,412.6","5,484"
2019-05-02,"1,418","1,448","1,416.2","1,448","1,418.3","2,081"
2019-04-30,"1,417.6","1,438.9","1,415.3","1,415.3","1,422.5","2,224"
2019-04-29,"1,450","1,498","1,421","1,450","1,432.7","6,502"
2019-04-28,"1,424.4","1,457.4","1,423","1,428","1,429.7","1,090"
2019-04-25,"1,428.6","1,455","1,425","1,445","1,427.5","2,965"
2019-04-24,"1,424","1,436.2","1,417.9","1,433.9","1,422.5","2,035"
2019-04-23,"1,426.1","1,448","1,426.1","1,440.2","1,433.9","2,500"
2019-04-21,"1,439.2","1,470","1,437","1,470","1,450.1","2,370"
2019-04-18,"1,445","1,470","1,422.2","1,422.2","1,445.8","1,768"
2019-04-17,"1,430.2","1,469","1,426.1","1,450","1,433.9","1,498"
