DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,365,366,363.2,365,364.7,"90,706"
2019-06-27,364.8,365.5,363.1,363.5,365.1,"226,952"
2019-06-26,363.9,363.9,360,360,363.1,"121,215"
2019-06-25,358.9,360.9,357.9,360.9,358.9,"273,389"
2019-06-24,359.1,360.2,357.4,359.2,357.9,"77,254"
2019-06-23,359.9,361.8,359.1,359.6,360.2,"60,829"
2019-06-20,358.6,363,358,360.4,359.3,"82,117"
2019-06-19,359.3,365,359,363.9,360.4,"138,029"
2019-06-18,364,364.4,358,358.3,362.7,"106,461"
2019-06-17,357,358.9,356.2,358.1,357.3,"53,721"
2019-06-16,360,364.5,355.6,363.5,357.9,"90,495"
2019-06-13,362,362.9,359.1,360.3,361.4,"102,170"
2019-06-12,361.9,365,360,365,361.3,"129,320"
2019-06-11,364.3,365,357.4,357.4,364,"137,973"
2019-06-10,359,359,350.3,355.1,355.8,"123,148"
2019-06-09,356.9,357.8,355.1,355.1,356.4,"50,607"
2019-05-30,355,356,350,350,355.1,"163,258"
2019-05-29,349.9,350,347.1,350,349.8,"94,198"
2019-05-28,350.3,350.3,341.8,341.8,349.7,"180,457"
2019-05-27,342,343.7,338.6,338.6,341.1,"71,810"
2019-05-26,338.9,340,337.1,340,338.2,"58,100"
2019-05-23,338,349.4,336.7,349.4,337.9,"180,196"
2019-05-22,340.7,347.8,340.7,344.1,342.8,"71,239"
2019-05-21,347,347.9,342.2,347.1,343.4,"106,503"
2019-05-20,347.6,350.1,347.4,350.1,348,"39,639"
2019-05-19,350.6,352.9,347.5,348.3,351.1,"94,798"
2019-05-16,346.2,348.6,343.2,346.4,345.3,"63,658"
2019-05-15,346.4,350,345,346,346.4,"93,507"
2019-05-14,346.5,350.5,340.3,350.5,346.6,"162,573"
2019-05-13,347.9,352.2,347,351.5,348.1,"195,705"
2019-05-12,353,356,352,356,352.4,"46,538"
2019-05-09,354.3,358.8,352.9,358.7,354.1,"68,159"
2019-05-08,354,358,353.8,356,354.6,"99,596"
2019-05-07,355.8,361,351,360,354.4,"220,071"
2019-05-06,359.7,362.5,358.6,362.1,359.4,"133,776"
2019-05-05,363.3,363.5,360,361.9,362.5,"61,821"
2019-05-02,358.4,362,357,358.7,358.2,"261,041"
2019-04-30,360,362,358,361,358.7,"112,811"
2019-04-29,360.5,365.5,358.6,365.5,360,"149,766"
2019-04-28,365.3,367.7,360,365,365.2,"55,870"
2019-04-25,365.6,371.7,362.3,371,364.2,"118,165"
2019-04-24,368.9,374.8,367.5,374.8,367.9,"152,497"
2019-04-23,370.7,375,368.5,372.4,369.4,"53,904"
2019-04-21,373.6,377.5,368,368.5,374,"99,042"
2019-04-18,371.8,372.5,367.1,372.5,368.4,"137,054"
2019-04-17,371.2,375.8,370,375.8,372.9,"118,146"
2019-04-16,371.3,380,369.8,378.9,371.7,"184,422"
2019-04-15,379.9,379.9,369.8,369.8,377.8,"150,820"
2019-04-11,369.2,369.5,357,364,367.7,"204,406"
2019-04-10,358,363,355.5,363,357.6,"490,633"
2019-04-09,360.5,373,360.5,373,362,"250,755"
2019-04-08,369,376,365.7,376,370.9,"615,937"
2019-04-07,375.1,385.5,375.1,385,375.5,"366,939"
2019-04-04,388,399,387.4,399,387.9,"387,756"
2019-04-03,399,407,397.3,407,399.4,"430,491"
2019-04-02,409,419,409,417,409.6,"277,801"
2019-04-01,416.7,419.7,409,409.2,417,"624,787"
2019-03-31,410.2,411,404.5,407,409.2,"265,404"
2019-03-28,408,410.9,405.5,410,407.4,"209,146"
2019-03-27,409.5,411.9,405,410.1,408.5,"304,685"
2019-03-25,410.5,410.5,399.1,401.4,409.5,"568,692"
2019-03-24,401.5,404.8,397.3,398,401.4,"340,108"
2019-03-21,396.6,399,394,399,397.3,"85,896"
2019-03-20,396.1,402,394,394,394.9,"476,777"
2019-03-19,390.1,394.2,389,389,391.7,"166,722"
2019-03-18,388.4,389.9,385.5,385.5,388.4,"72,455"
2019-03-14,387,392.8,385,385,387.1,"100,088"
2019-03-13,388.9,393.9,385,391.7,385.5,"265,313"
2019-03-12,395.2,395.2,384,384.3,392.9,"299,035"
2019-03-11,385,385.8,384,385.8,384.9,"145,804"
2019-03-10,385.4,387.2,385,387,385.3,"62,315"
2019-03-07,387.9,393.8,384,390,385.8,"262,562"
2019-03-06,390.4,391.6,388.3,391.6,390,"71,640"
2019-03-05,391.6,394,390,394,392,"50,597"
2019-03-04,392.3,394.5,387,389,393.4,"270,066"
2019-03-03,389.8,393.5,386.3,393.5,390,"92,144"
2019-02-27,392.1,397,390.8,394.5,393.5,"142,250"
2019-02-26,398.5,401.6,397,397.6,398.6,"471,482"
2019-02-25,398,399.6,386.2,386.8,397.4,"762,762"
2019-02-24,386.4,386.7,380.1,386,385.6,"120,496"
2019-02-20,386,389.4,377.6,379.5,385.7,"205,386"
2019-02-19,381.3,382.4,368,376,379.5,"644,500"
2019-02-18,377,379.7,371.2,377,377.1,"419,542"
2019-02-14,387.1,397.9,386.5,395,389.9,"298,184"
2019-02-13,392.9,394,384.3,388,392.9,"326,753"
2019-02-12,389.1,400,385.4,397,388.6,"465,844"
2019-02-11,397.1,405,395.6,405,397.6,"349,715"
2019-02-10,407,412.5,405.1,405.7,406.1,"269,305"
2019-02-07,407.9,409,403,407,405.5,"274,097"
2019-02-06,405,407.8,403.2,403.6,404.9,"300,276"
2019-02-05,403.1,405,398,403,403.5,"255,641"
2019-02-04,401,407.7,395,396,402,"386,437"
2019-02-03,393.4,398.2,391.5,398.2,394,"665,442"
2019-01-31,397.5,414,393.2,414,398.2,"690,305"
2019-01-30,413.8,417.9,408.9,414.4,413.8,"562,260"
2019-01-29,416,419.9,411,411,415.4,"614,762"
2019-01-28,410,410.4,395.5,398,409.5,"1,109,271"
2019-01-27,390.5,400,390.3,397,393.6,"314,398"
2019-01-24,395.9,396.9,391.3,391.3,395.5,"317,120"
2019-01-23,391.5,395,388,391,391.5,"323,918"
2019-01-22,390.8,390.9,384,384,388.9,"250,422"
2019-01-21,384.6,390.8,383.1,387,384.6,"174,827"
2019-01-20,385,388,372,375,385.2,"114,960"
2019-01-17,375.8,382.1,374.4,382,375.1,"187,591"
2019-01-16,380,387.1,379.5,387.1,382.6,"171,931"
2019-01-15,386.6,390,384,390,387.1,"132,043"
2019-01-14,389.9,391,387.4,391,389.3,"332,459"
2019-01-13,389.1,395,388,390,389.9,"247,256"
2019-01-10,389.7,390,383.2,383.2,388.9,"306,938"
2019-01-09,383.4,383.5,379.3,382,382.7,"404,450"
