DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,34.4,34.9,34,34.9,34.5,"103,223"
2019-06-27,34.1,34.2,33.9,34.1,34,"39,436"
2019-06-26,34.1,34.1,33.3,33.7,34.1,"44,356"
2019-06-25,33.7,34,33.5,33.7,33.7,"124,946"
2019-06-24,33.3,34.2,33.3,33.8,33.7,"228,939"
2019-06-23,33.7,34.6,33.7,34,33.9,"48,008"
2019-06-20,34.1,34.6,33.9,34.6,34,"104,608"
2019-06-19,34.7,35,34.1,34.6,34.1,"238,294"
2019-06-18,34.7,35,34.7,35,34.8,"61,584"
2019-06-17,34.9,35.3,34.9,35.2,34.9,"77,016"
2019-06-16,35.4,35.7,35.2,35.7,35.3,"74,819"
2019-06-13,35.3,35.9,35.3,35.6,35.6,"84,897"
2019-06-12,35.6,36.2,35.1,36.2,35.4,"188,466"
2019-06-11,36,36.2,35.8,36,35.9,"131,266"
2019-06-10,35.8,36.4,35.8,36.4,35.9,"52,424"
2019-06-09,36.3,36.4,36,36.4,36.2,"54,577"
2019-05-30,36,36.3,35.4,36.3,35.9,"73,365"
2019-05-29,35.9,35.9,35.1,35.1,35.7,"97,293"
2019-05-28,34.9,35.1,34.9,35.1,34.9,"131,073"
2019-05-27,35.1,35.2,34.8,34.8,35.1,"39,744"
2019-05-26,35.1,35.4,34.9,35.2,35.2,"73,913"
2019-05-23,35.1,35.3,34.8,34.9,35.2,"81,909"
2019-05-22,34.7,35,34.7,34.7,34.9,"9,230"
2019-05-21,34.8,35.4,34.6,35.4,34.7,"36,875"
2019-05-20,35.1,35.3,34.7,35,35.2,"19,317"
2019-05-19,35.1,35.3,34.6,34.6,35,"39,835"
2019-05-16,34.8,34.9,34.7,34.8,34.8,"5,151"
2019-05-15,34.9,35.1,34.8,35.1,34.9,"29,540"
2019-05-14,35,35,34.6,34.7,34.7,"32,821"
2019-05-13,34.7,35,34.7,34.7,34.9,"27,395"
2019-05-12,34.9,35.1,34.7,34.8,34.8,"21,502"
