DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,80.2,81.6,80,80.4,80.6,"14,377"
2019-06-27,81.3,81.3,80,80.3,81,"19,780"
2019-06-26,81,81.7,80,80,80.8,"8,571"
2019-06-25,80.5,81.3,79.5,80.3,80.4,"9,783"
2019-06-24,80.9,81.9,79.5,80,80.6,"10,616"
2019-06-23,80.9,82.9,80.3,82.9,80.5,"10,536"
2019-06-20,80.8,83.5,80.3,80.3,81.1,"19,648"
2019-06-19,82,83,81.2,82.5,81.8,"30,835"
2019-06-18,80.6,81.8,80.6,81.2,80.9,"12,256"
2019-06-17,82.9,85.4,81.6,81.7,83.2,"67,406"
2019-06-16,81,81.3,80.1,80.4,81.1,"22,300"
2019-06-13,81,81,79.4,79.4,80.3,"20,818"
2019-06-12,79.9,83.4,79.9,83.4,80.3,"28,204"
2019-06-11,81.8,82.5,80,80,82,"36,224"
2019-06-10,79.3,80.9,78.3,78.6,79.6,"25,743"
2019-06-09,78.4,79.1,78.4,78.5,78.5,"9,343"
2019-05-30,80,80,78.6,79,79.4,"18,237"
2019-05-29,78.4,79.6,78.4,79,78.8,"5,797"
2019-05-28,79,79.7,77.3,77.3,78.2,"9,683"
2019-05-27,80,80,77,78.2,77.9,"26,792"
2019-05-26,78,80,78,80,78,"20,908"
2019-05-23,79,81,78.8,79.2,79,"21,246"
2019-05-22,79.4,81.4,79.1,81.4,79.5,"15,058"
2019-05-21,79.4,81,79.1,80.3,79.4,"11,969"
2019-05-20,81.5,82.1,80,80,80.2,"5,487"
2019-05-19,80.5,83.3,80.5,83.3,81.2,"14,622"
2019-05-16,81.7,82.8,80.6,81.1,81.5,"9,272"
2019-05-15,81.6,82.9,81.1,81.1,82.3,"6,018"
2019-05-14,81.7,82.4,79,79,81.4,"10,373"
2019-05-13,81.3,81.8,80.6,81.8,80.8,"11,086"
2019-05-12,80.8,81.8,80,80.4,80.6,"12,789"
2019-05-09,81.3,82.5,80,82.1,80.6,"32,272"
2019-05-08,81.8,83,80.4,82,81.8,"20,867"
2019-05-07,83,86.1,81.6,86.1,81.9,"59,609"
