DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,7.5,7.5,7.4,7.4,7.5,"37,823"
2019-06-27,7.4,7.5,7.3,7.3,7.4,"44,004"
2019-06-26,7.4,7.4,7.3,7.3,7.3,"101,298"
2019-06-25,7.3,7.5,7.3,7.4,7.5,"30,410"
2019-06-24,7.6,7.7,7.3,7.3,7.7,"171,574"
2019-06-23,7.5,7.5,7.3,7.4,7.4,"86,176"
2019-06-20,7.5,7.5,7.2,7.3,7.3,"55,082"
2019-06-19,7.3,7.3,7.2,7.2,7.3,"66,153"
2019-06-18,7.3,7.3,7.1,7.1,7.2,"11,740"
2019-06-17,7.2,7.2,7,7,7.1,"17,472"
2019-06-16,7.2,7.3,7.1,7.3,7.2,"7,750"
2019-06-13,7.3,7.3,7.2,7.2,7.3,"105,918"
2019-06-12,7.2,7.3,7.1,7.1,7.2,"125,275"
2019-06-11,7.2,7.3,7.1,7.1,7.2,"221,367"
2019-06-10,7.1,7.1,6.9,7.1,7.1,"7,076"
2019-06-09,7.2,7.2,7,7,7.1,"2,000"
2019-05-30,7,7.2,7,7.2,7.2,"9,201"
2019-05-29,7.2,7.2,7,7,7.2,"63,900"
2019-05-28,7.2,7.2,7,7,7.2,"422,171"
2019-05-27,7,7.1,6.8,6.8,7.1,"36,561"
2019-05-26,7.1,7.1,6.9,7,7.1,"108,971"
2019-05-23,7.1,7.1,6.9,6.9,7,"6,534"
2019-05-22,7.1,7.1,6.9,7.1,7,"9,583"
2019-05-21,7,7.1,6.9,7.1,7.1,"6,227"
2019-05-20,7.2,7.2,7.1,7.1,7.1,"4,438"
2019-05-19,7.2,7.3,7.2,7.3,7.3,"13,302"
2019-05-16,7.3,7.4,7.2,7.2,7.3,"80,665"
2019-05-15,7.4,7.4,7.2,7.3,7.4,"8,361"
2019-05-14,7.3,7.4,7.2,7.4,7.3,"5,193"
2019-05-13,7.4,7.5,7.2,7.5,7.4,"45,563"
2019-05-12,7.4,7.5,7.4,7.5,7.5,"9,775"
2019-05-09,8,8,7.5,7.5,7.5,"11,550"
2019-05-08,7.6,7.6,7.6,7.6,7.6,"1,122"
2019-05-07,7.8,7.8,7.6,7.6,7.8,"15,333"
2019-05-06,7.7,7.7,7.6,7.6,7.7,"11,475"
2019-05-05,7.6,7.6,7.5,7.5,7.6,"2,627"
2019-05-02,7.6,7.7,7.4,7.5,7.5,"2,425"
2019-04-30,7.4,7.4,7,7,7.3,"12,331"
2019-04-29,7.3,7.3,7.3,7.3,7.3,"7,882"
2019-04-28,7.3,7.4,7.2,7.2,7.3,"14,362"
2019-04-25,7.4,7.5,7.4,7.5,7.5,"21,602"
2019-04-24,7.4,7.5,7.4,7.4,7.5,"19,704"
2019-04-23,7.4,7.5,7.4,7.5,7.4,"8,068"
2019-04-21,7.4,7.4,7.3,7.3,7.4,"32,973"
2019-04-18,7.3,7.3,7.3,7.3,7.3,"9,335"
2019-04-17,7.3,7.3,7,7,7.3,"44,660"
2019-04-16,7.1,7.3,7.1,7.3,7.2,"58,103"
2019-04-15,7.3,7.4,7,7,7.3,"12,223"
2019-04-11,7.2,7.3,7.2,7.2,7.3,"31,316"
2019-04-10,7.3,7.3,7.1,7.1,7.2,"5,911"
2019-04-09,7.2,7.2,7.1,7.1,7.2,"12,258"
2019-04-08,7.1,7.2,7.1,7.2,7.1,"8,565"
2019-04-07,7.1,7.4,7.1,7.4,7.2,"9,291"
2019-04-04,7.4,7.6,7.2,7.4,7.3,"25,090"
2019-04-03,7.4,7.5,7.4,7.4,7.4,"71,584"
2019-04-02,7.2,7.2,7.2,7.2,7.2,"11,815"
2019-04-01,7.2,7.2,7.1,7.1,7.1,"56,822"
2019-03-31,7.3,7.3,7.1,7.1,7.3,"50,241"
2019-03-28,7.3,7.5,7,7,7.3,"11,120"
2019-03-27,7.4,7.4,7.1,7.1,7.3,"111,757"
2019-03-25,7.4,7.4,7,7.1,7.3,"8,918"
2019-03-24,7.3,7.4,7.3,7.3,7.4,"29,740"
2019-03-21,7.5,7.6,7.4,7.4,7.5,"20,781"
2019-03-20,7.3,7.5,7.2,7.4,7.5,"107,988"
2019-03-19,7.4,7.4,7.1,7.1,7.4,"23,716"
2019-03-18,7.5,7.5,7.4,7.4,7.4,"4,974"
2019-03-14,7.6,7.6,7.3,7.4,7.5,"83,732"
