DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,62.4,62.4,61.1,61.8,61.3,"4,117"
2019-06-27,61.3,63,61.3,63,61.7,"1,868"
2019-06-26,61.4,62.4,61,61,62.4,"2,746"
2019-06-25,61.7,62.6,60.8,60.9,61.2,688
2019-06-24,61.5,61.9,60.6,61.9,61.1,"1,749"
2019-06-23,61.8,63.3,61.8,63.3,63.3,"4,020"
2019-06-20,62.5,63.2,62.5,63.1,62.9,"26,180"
2019-06-19,62.8,63.2,62.7,62.8,62.9,"3,750"
2019-06-18,62.5,62.6,61.5,62.6,62,"12,759"
2019-06-17,61.5,62.2,61.5,62,62.1,"2,176"
2019-06-16,61.7,63.9,61.6,61.6,63.5,"10,383"
2019-06-13,63.1,64,61.4,63.8,62.9,"34,113"
2019-06-12,63.9,63.9,60.2,60.5,63.8,"19,318"
2019-06-11,62,62,60.4,61,60.9,"20,019"
2019-06-10,61,62.8,61,62.1,61.5,"1,255"
2019-06-09,63.2,63.2,60.2,60.2,60.2,400
2019-05-30,62.7,62.8,61,61,62.7,"21,753"
2019-05-29,62.3,62.3,62.3,62.3,62.3,1
2019-05-28,60.3,62,60.3,60.5,61.4,"8,537"
2019-05-27,61.9,63,60.2,63,60.5,"7,849"
2019-05-26,61,62.7,60.9,62.7,61,"8,007"
2019-05-23,61,63.3,61,63.3,62.8,"13,111"
2019-05-22,62,62,61.1,61.7,61.8,"1,982"
2019-05-21,60.7,63,60.7,60.9,61.8,340
2019-05-20,60.6,60.6,60.4,60.6,60.5,539
2019-05-19,62.6,62.7,60.7,60.7,62,"1,818"
2019-05-16,60.7,62.2,60.7,62,62,764
2019-05-15,60.6,62,60.2,60.2,60.9,"4,175"
2019-05-14,60.4,63.3,60.3,62.2,63.3,"24,333"
2019-05-13,62.3,62.3,59.8,61.8,62.1,"48,494"
2019-05-12,59.3,61.9,57.6,57.8,59.3,"13,422"
2019-05-09,61.8,61.8,60.1,60.6,60.5,"16,589"
2019-05-08,61.5,61.5,61.5,61.5,61.5,100
2019-05-07,62.9,62.9,59.3,59.3,62.6,"64,164"
2019-05-06,61.6,62.7,60,61.3,60,"9,000"
2019-05-05,60.1,61.9,60.1,61.9,61.3,"11,618"
2019-05-02,61,61,59.5,59.5,61,"24,646"
2019-04-30,59.7,60.4,59.7,59.7,59.8,"6,385"
2019-04-29,59.8,60.9,59.3,59.3,60.5,"2,151"
2019-04-28,60.3,60.6,59.9,60,60,"14,030"
2019-04-25,58.8,60,58.7,58.7,59.7,"4,632"
2019-04-24,59.8,60.8,58.5,59.5,59.4,616
2019-04-23,59,60.5,59,59.4,59.2,"17,685"
2019-04-21,59.3,59.6,59.2,59.6,59.5,"1,147"
2019-04-18,59.6,59.9,59.6,59.9,59.8,263
2019-04-17,59.5,62.5,59.5,62,59.7,"12,292"
2019-04-16,62.7,62.7,59,59.1,62.6,"54,108"
2019-04-15,62.8,62.8,59,59,62.7,"48,189"
2019-04-11,63,63.9,58,58,62.8,"44,694"
2019-04-10,60,60.1,59.8,60,60,"8,921"
2019-04-09,60,60.1,59.9,59.9,60.1,"22,291"
2019-04-08,60,60.2,60,60.1,60.1,"28,161"
2019-04-07,60,60,59.5,59.5,59.9,"8,972"
2019-04-04,61.9,62,59.5,60,60.2,"11,698"
