DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,17.4,17.7,17.4,17.6,17.5,"302,105"
2019-06-27,17.6,17.7,17.5,17.6,17.5,"378,919"
2019-06-26,17.6,17.7,17.5,17.5,17.6,"402,219"
2019-06-25,17.4,17.6,17.3,17.5,17.4,"450,101"
2019-06-24,17.5,17.7,17.4,17.4,17.5,"227,449"
2019-06-23,17.4,17.6,17.3,17.5,17.4,"327,527"
2019-06-20,17.7,18.1,17.5,18.1,17.6,"361,473"
2019-06-19,18.2,18.2,17.6,17.7,18.1,"932,250"
2019-06-18,17.8,17.8,17.3,17.5,17.6,"604,480"
2019-06-17,17.3,18.2,17.2,18.2,17.3,"1,137,301"
2019-06-16,18.1,18.9,18,18.7,18.1,"702,285"
2019-06-13,18.7,18.7,18.4,18.4,18.7,"1,265,643"
2019-06-12,18.3,18.5,18.2,18.5,18.3,"666,411"
2019-06-11,18.4,18.6,18.3,18.5,18.4,"1,316,756"
2019-06-10,18.4,19,18.2,18.9,18.4,"976,593"
2019-06-09,18.7,19,18.3,18.5,18.8,"1,609,250"
2019-05-30,18.5,18.5,18,18.3,18.4,"961,940"
2019-05-29,18.4,18.5,18,18.1,18.1,"1,273,804"
2019-05-28,18.1,18.2,17.7,18,17.9,"916,709"
2019-05-27,18,18.2,17.2,17.2,18,"1,679,144"
2019-05-26,17.3,17.5,17,17.3,17.1,"1,000,779"
2019-05-23,17,17.4,16.9,17,17,"1,093,477"
2019-05-22,16.9,17.2,16.9,17,17,"198,880"
2019-05-21,16.9,17.2,16.8,17.2,16.9,"205,253"
2019-05-20,17.2,17.5,17.1,17.5,17.2,"200,267"
2019-05-19,17.5,17.7,17.2,17.2,17.5,"682,630"
2019-05-16,17,17.1,16.6,16.6,17,"475,917"
2019-05-15,16.7,16.7,16.4,16.4,16.6,"196,609"
2019-05-14,16.4,16.9,16.4,16.9,16.5,"448,750"
2019-05-13,16.8,17.1,16.8,17,16.8,"212,498"
2019-05-12,16.9,17.2,16.9,16.9,17,"220,023"
2019-05-09,16.9,17.1,16.8,17.1,16.8,"283,763"
2019-05-08,17,17.1,16.8,17,17,"227,809"
2019-05-07,17.1,17.4,17,17.2,17.1,"170,888"
2019-05-06,17.3,17.7,17.2,17.7,17.2,"330,651"
2019-05-05,17.6,17.7,17,17,17.6,"695,935"
2019-05-02,17,17.1,16.5,16.5,17,"548,357"
2019-04-30,16.5,16.9,16.4,16.4,16.5,"249,080"
2019-04-29,16.4,16.8,16.3,16.8,16.4,"440,514"
2019-04-28,16.7,17.1,16.7,17,16.7,"250,980"
2019-04-25,17.1,17.1,16.7,16.8,17,"244,794"
2019-04-24,16.6,17,16.6,17,16.7,"443,443"
2019-04-23,16.9,17.5,16.8,17.5,17,"430,881"
2019-04-21,17.6,17.7,17.4,17.5,17.5,"496,247"
2019-04-18,17.4,17.6,17.1,17.2,17.3,"406,758"
2019-04-17,17.3,17.8,17,17.7,17.2,"986,691"
2019-04-16,17.9,18.1,17.9,18,17.9,"320,742"
2019-04-11,19.9,19.9,19.5,19.5,19.8,"1,335,062"
2019-04-10,19.5,20.1,19.4,20,19.5,"659,893"
2019-04-09,19.8,20.2,19.8,20,19.9,"994,998"
2019-04-08,19.9,20.1,19.9,20.1,19.9,"982,450"
2019-04-07,20.2,20.5,20,20.3,20.1,"662,370"
2019-04-04,20.3,20.5,20.1,20.5,20.3,"595,028"
2019-04-03,20.3,21.2,20,21,20.3,"1,171,358"
2019-04-02,21.1,21.3,20.7,20.7,21,"1,258,315"
2019-04-01,20.6,20.6,20,20.1,20.5,"765,725"
2019-03-31,19.9,20.2,19.9,20.2,20,"591,685"
2019-03-28,20.1,20.2,19.9,20,20,"469,054"
2019-03-27,19.8,20.3,19.8,20.3,19.9,"434,940"
2019-03-25,20.1,20.5,20,20.4,20.2,"754,599"
2019-03-24,20.4,20.9,20.2,20.5,20.3,"1,670,272"
2019-03-21,19.7,19.9,19.3,19.7,19.8,"196,300"
2019-03-20,19.8,19.9,19.4,19.6,19.6,"277,899"
2019-03-19,19.6,19.6,18.7,18.9,19.3,"247,504"
2019-03-18,18.8,19.1,18.4,19.1,18.8,"348,699"
2019-03-14,19.3,19.6,19.1,19.5,19.2,"294,999"
2019-03-13,19.7,19.9,19.4,19.7,19.6,"550,118"
2019-03-12,19.4,20.2,19.4,20.2,19.5,"803,895"
2019-03-11,20.1,20.5,20,20.5,20.1,"681,898"
2019-03-10,20.6,20.7,20.4,20.5,20.5,"463,708"
2019-03-07,20.3,20.5,20,20.4,20.3,"429,081"
2019-03-06,20.4,20.6,20.2,20.3,20.5,"766,356"
2019-03-05,20.2,20.3,19.9,20,20.1,"538,264"
2019-03-04,20.1,20.7,20,20.4,20.1,"477,499"
2019-03-03,20.2,20.5,19.9,20.1,20.1,"564,965"
2019-02-27,20.5,20.5,20,20.3,20.3,"618,229"
2019-02-26,20.3,20.7,20.3,20.5,20.3,"401,107"
2019-02-25,20.4,20.7,20.1,20.1,20.5,"657,848"
2019-02-24,20.3,21.1,20.1,21,20.2,"662,605"
2019-02-20,21,21.4,20.8,21.4,20.9,"477,567"
2019-02-19,21.2,21.7,21.1,21.6,21.2,"516,085"
2019-02-18,21.5,22.2,21.5,22.1,21.6,"531,621"
2019-02-17,22.1,22.5,21.8,22,22.1,"800,970"
2019-02-14,22,22.8,21.8,22.8,22,"831,683"
2019-02-13,22.4,22.6,21.3,21.3,22.4,"1,228,314"
