DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,62.9,63,61.9,62.2,62.4,"40,636"
2019-06-27,62,64.2,61.9,64.2,62.1,"60,905"
2019-06-26,62.4,62.9,61.4,62.9,62.2,"38,802"
2019-06-25,62.8,63.1,61.1,62.8,61.9,"66,398"
2019-06-24,62,62.7,61.6,61.7,62.5,"33,618"
2019-06-23,61.8,63.9,61,62.8,61.3,"85,106"
2019-06-20,63.1,64.6,62.7,64.1,62.8,"85,994"
2019-06-19,64.5,66.3,64.3,65.9,64.7,"88,816"
2019-06-18,65.7,67,65.3,65.5,65.9,"121,812"
2019-06-17,66.2,67.5,64.2,64.5,65.8,"224,618"
2019-06-16,64.2,64.8,62.8,64.8,64.1,"64,387"
2019-06-13,63.1,64.6,62.2,62.3,63.6,"74,335"
2019-06-12,62.5,64.5,62.5,64,63,"54,463"
2019-06-11,64,64.8,62.8,64,64,"71,795"
2019-06-10,62.7,63.8,62,62.4,62.8,"45,616"
2019-06-09,61.3,63.9,60.2,60.2,61.3,"22,595"
2019-05-30,62.9,63.7,62,62,62.5,"53,843"
2019-05-29,61.6,62.9,61.6,61.6,61.8,"37,014"
2019-05-28,62.9,63.1,61.2,61.2,62.2,"25,951"
2019-05-27,62.2,63,61.3,62.8,61.8,"31,318"
2019-05-26,62.4,63.8,62.2,63.5,62.5,"40,996"
2019-05-23,63.2,65.6,63.2,65,63.5,"52,093"
2019-05-22,64.6,65.8,62.1,62.1,65,"43,070"
2019-05-21,63,64.4,62.1,64.1,63,"61,250"
2019-05-20,64,66.6,63.7,65,64.1,"45,513"
2019-05-19,64.6,65.8,64.3,65,65,"65,639"
2019-05-16,65.3,65.8,64.5,65.3,64.8,"57,749"
2019-05-15,65.2,65.8,64.3,65.1,64.5,"34,264"
2019-05-14,64.6,66.7,64.6,66.7,64.8,"38,469"
2019-05-13,64.6,66.4,64.4,64.4,65.1,"71,617"
2019-05-12,64.9,67,64.9,66.4,65.1,"115,690"
2019-05-09,65.6,68.5,65.6,67.5,66.2,"153,916"
2019-05-08,67.9,67.9,64.2,64.2,67.3,"133,198"
2019-05-07,66.5,69,65.5,67.8,66.3,"150,580"
2019-05-06,67.5,70.4,66.3,69.3,67.1,"209,960"
2019-05-05,69.4,72.9,68,70,69.2,"288,506"
2019-05-02,67.9,67.9,61.7,62.6,67.9,"340,979"
2019-04-30,61.3,63.7,61,61,61.8,"151,192"
2019-04-29,61.2,63.9,60.2,63.9,60.8,"93,603"
2019-04-28,63,65,59.6,60,62.5,"176,901"
2019-04-25,61.9,62.5,59.5,60.3,61.6,"131,789"
2019-04-24,61,64,60.4,63,60.9,"113,897"
2019-04-23,63,66.9,61.2,61.2,63.2,"188,921"
2019-04-21,65.1,68.7,65.1,66.7,65.6,"144,986"
2019-04-18,67,68.7,64.5,68.7,66.7,"295,476"
2019-04-17,62.5,62.5,57,57,62.5,"97,857"
2019-04-16,57.3,58.4,55.1,58.4,56.9,"8,091"
2019-04-15,57.7,59.7,57.7,58.7,57.9,"13,228"
