DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,242,242.9,240.1,241.1,242.2,"3,300"
2019-06-27,242,242.5,240.7,241,241.4,"11,531"
2019-06-26,242.9,244,240.2,243.5,241,"5,714"
2019-06-25,240.4,244.4,240.4,244.4,240.9,"5,851"
2019-06-24,241.4,244.9,240.4,244.2,241.2,"19,830"
2019-06-23,243.5,246.5,243.2,246.5,244.2,"12,342"
2019-06-20,246.2,249,246.2,248.3,246.3,"9,357"
2019-06-19,248.3,250,246.1,246.1,248.3,"6,252"
2019-06-18,248,250.6,248,249,248.4,"15,176"
2019-06-17,248.6,254.1,248.5,254.1,249.5,"15,618"
2019-06-16,253,256.9,249,249,253.1,"43,726"
2019-06-13,247.5,251.5,247,247,247.7,"11,653"
2019-06-12,249,253.9,248.3,251.9,249.2,"16,964"
2019-06-11,251,251.7,245.7,248.3,250.2,"40,796"
2019-06-10,246.8,247.9,242,242,244.9,"15,621"
2019-06-09,242.5,242.5,237,240,241.9,"15,562"
2019-05-30,239.5,244,237,244,239.5,"24,485"
2019-05-29,241.5,242.9,240,242.9,240.6,"16,487"
2019-05-28,241,241.4,237,237,240.1,"27,032"
2019-05-27,237.4,237.5,234.7,234.7,235.6,"3,411"
2019-05-26,234.5,237,234.1,236.5,234.7,"12,854"
2019-05-23,236,238.7,235.2,236.2,236.4,"9,619"
2019-05-22,236,240.8,235.6,237.5,236.7,"14,349"
2019-05-21,237,240,235,236.5,237.5,"15,287"
2019-05-20,239.4,243.3,238,242,238.5,"11,562"
2019-05-19,242.2,242.8,240.3,242,242,"14,986"
2019-05-16,240.9,241.8,237,237,240.3,"13,862"
2019-05-15,238,238.5,236,236,237.1,"17,650"
2019-05-14,236.5,239.5,236.2,236.2,236.5,"19,244"
2019-05-13,237.1,240,236.7,240,237.1,"23,174"
2019-05-12,239.4,242,238,242,240.2,"6,802"
2019-05-09,241.9,242.6,235,235,241.9,"24,660"
2019-05-08,236.8,238,234,234,235.4,"13,878"
2019-05-07,237.1,245.1,234,243,236.7,"53,589"
2019-05-05,244.6,252.8,244.6,252.8,245.1,"132,831"
2019-04-30,250,252.4,245.1,246,247,"16,093"
2019-04-29,250,254,247,252.1,249.9,"12,440"
2019-04-28,255.3,259.1,250.1,259.1,252.8,"28,518"
2019-04-25,257.1,260,256.8,259,259.1,"14,541"
2019-04-24,256.9,261.5,255,261.5,255.7,"19,819"
2019-04-23,261.9,266.9,260,265,261.5,"32,213"
2019-04-21,265,268,264.6,265.2,264.8,"28,345"
2019-04-18,266,268.4,263.1,264.1,264.7,"20,501"
2019-04-17,264.6,272.4,263.8,268.1,265.3,"20,881"
2019-04-16,267.5,281.4,267.1,276.3,268,"34,446"
2019-04-15,276.3,295,276,285.5,277.6,"31,109"
2019-04-11,288.5,300,283.3,296,287.2,"54,857"
2019-04-10,302,345,291,345,294.4,"87,753"
2019-04-09,352.2,370,352.2,370,352.4,"30,142"
2019-04-08,361.9,370,360.1,370,361.8,"32,635"
2019-04-07,364.1,385,364,364.5,370.7,"153,355"
2019-04-04,363.6,363.8,352.4,352.4,362.4,"44,647"
2019-04-03,353,357.4,352,355,352.9,"40,157"
2019-04-02,354,357,345,347.9,354.1,"46,207"
2019-04-01,340.5,344.1,340.2,342.5,341,"9,758"
2019-03-31,349,349.8,343.4,349.8,344,"1,121"
2019-03-28,348.9,348.9,341.1,341.1,347.8,"3,891"
2019-03-27,342.6,344.8,342,342.3,342.6,"4,566"
2019-03-25,342.2,347,342,343.1,342.2,"5,801"
2019-03-24,343,346,342,345,342.9,"12,710"
2019-03-21,345.8,350,343.6,350,347.1,"4,211"
2019-03-20,344.9,352,344.9,348,346,"14,871"
2019-03-19,347.1,356,347,355,348,"8,104"
2019-03-18,355,359.6,354,356.2,355.5,"5,844"
2019-03-14,358,360,347.7,348.9,356.2,"35,064"
2019-03-13,340,351,340,350.8,342.1,"10,856"
2019-03-12,344.9,352,340,350.1,344.7,"9,872"
2019-03-11,348,351,345.1,346.4,348.7,"6,513"
2019-03-10,345.9,352.9,344,345.9,346,"2,501"
2019-03-07,347,349,344.2,349,345.9,"2,625"
2019-03-06,348.5,353.4,348.3,350,349,982
2019-03-05,349.1,352.9,349,350.6,349.2,"4,051"
2019-03-04,353,355.7,350.4,355.7,350.8,"3,102"
2019-03-03,350.7,355,350.5,354,350.8,"7,841"
2019-02-27,352.1,354.7,350.7,350.7,352.5,"2,895"
2019-02-26,354,355,350.2,350.2,354.2,"5,592"
2019-02-25,352.2,356,348.6,352,354.1,"2,918"
2019-02-24,350,360,350,359.9,351.3,"13,206"
2019-02-20,350.2,361,350.2,351,352.1,"14,945"
2019-02-19,350,351.5,348,350.8,349.8,"5,745"
2019-02-18,350,358,350,358,350.7,"8,170"
2019-02-17,351.5,359.9,351.5,353,352.8,"8,156"
2019-02-14,355.8,360,355,360,356,"4,886"
2019-02-13,361.2,364,357.1,358,362.3,"9,808"
2019-02-12,355.1,359.9,350.2,352.2,356.9,"15,461"
2019-02-11,355,369,355,366.4,356.7,"19,315"
2019-02-10,370,380.4,370,380.4,370.4,"36,811"
2019-02-07,373.6,375,347,347,370.9,"109,147"
2019-02-06,351.9,352,349.2,349.2,349.9,"32,651"
2019-02-05,349.8,350,346,347.5,348,"21,056"
2019-02-04,351,355,344,345.4,351.6,"15,802"
2019-02-03,345,354,345,353,346.5,"10,951"
2019-01-31,350,350,345,345,349.9,"3,349"
