DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,21.7,21.8,21.3,21.3,21.6,"114,881"
2019-06-27,21.3,21.5,21.1,21.2,21.2,"107,700"
2019-06-26,21.3,21.5,21.1,21.4,21.3,"72,593"
2019-06-25,21.3,21.6,21.2,21.6,21.3,"19,843"
2019-06-24,21.5,21.5,20.8,20.8,21.3,"15,889"
2019-06-23,21.1,21.7,21.1,21.5,21.2,"58,807"
2019-06-20,21.6,22.1,21.5,21.6,21.7,"101,526"
2019-06-19,22.2,22.3,21.7,22.3,21.8,"158,145"
2019-06-18,22.2,22.4,21.3,21.3,22.2,"267,435"
2019-06-17,21.1,21.4,20.9,21.3,21.1,"77,281"
2019-06-16,21.3,22,21.2,21.7,21.4,"237,984"
2019-06-13,21.2,21.6,20.8,20.9,21.3,"125,706"
2019-06-12,20.9,21.2,20.7,21.2,20.9,"76,065"
2019-06-11,21.2,21.2,20.8,20.9,21.2,"119,034"
2019-06-10,20.8,21,20.4,20.4,20.9,"184,463"
2019-06-09,20.2,20.4,20,20.1,20.4,"41,231"
2019-05-30,20.1,20.3,19.9,20.3,20,"89,094"
2019-05-29,19.8,20.3,19.8,20.3,20,"89,506"
2019-05-28,20.1,20.4,20.1,20.4,20.1,"119,309"
2019-05-27,20.4,20.5,20,20.2,20.1,"27,191"
2019-05-26,20.4,20.4,20.2,20.3,20.3,"51,143"
2019-05-23,20.3,20.5,20.2,20.5,20.3,"87,628"
2019-05-22,20.5,20.7,20.4,20.7,20.5,"38,964"
2019-05-21,20.4,20.9,20.2,20.7,20.4,"104,122"
2019-05-20,20.6,21.1,20.6,21.1,20.7,"41,570"
2019-05-19,21.1,21.2,20.7,21,20.8,"33,980"
2019-05-16,20.8,20.9,20.6,20.9,20.7,"20,980"
2019-05-15,20.7,20.9,20.6,20.8,20.6,"16,907"
2019-05-14,20.7,20.9,20.6,20.7,20.7,"26,182"
2019-05-13,20.7,21.2,20.6,21,20.7,"11,831"
2019-05-12,21.1,21.2,20.8,20.9,21,"97,412"
2019-05-09,20.9,21.5,20.5,21,20.7,"56,653"
2019-05-08,20.6,21.4,20.4,21.4,20.5,"26,800"
2019-05-07,21.1,21.5,20.6,21,20.6,"60,820"
2019-05-06,21.6,21.8,21.3,21.7,21.3,"136,536"
2019-05-05,21.7,21.7,21.4,21.6,21.7,"91,676"
2019-05-02,20.8,21.7,20.4,20.5,21.1,"143,236"
2019-04-30,20.1,20.3,20.1,20.1,20.2,"17,200"
2019-04-29,20.4,20.4,20,20,20.1,"120,821"
2019-04-28,20.1,20.9,20.1,20.5,20.1,"62,945"
2019-04-25,20.4,20.8,20.2,20.8,20.4,"46,376"
2019-04-24,20.2,20.4,20.1,20.2,20.1,"51,532"
2019-04-23,20.2,20.4,20.2,20.4,20.2,"35,650"
2019-04-21,20.6,20.8,20.3,20.3,20.6,"13,652"
2019-04-18,20.6,20.6,20.2,20.5,20.6,"68,928"
2019-04-17,20.2,20.9,20.1,20.8,20.4,"164,204"
2019-04-16,20.4,20.6,19.9,19.9,20.1,"79,440"
2019-04-15,20,20.2,19.9,20.1,20,"24,315"
2019-04-11,20.2,20.2,19.6,19.9,20.1,"75,656"
2019-04-10,19.6,20.9,19.6,19.9,19.7,"60,609"
2019-04-09,19.9,20.9,19.8,20.3,20.2,"183,654"
2019-04-08,20.6,20.8,20.5,20.7,20.5,"180,992"
2019-04-07,20.8,21.3,20.7,21.2,20.7,"66,050"
2019-04-04,20.8,21.1,20.7,20.8,20.9,"153,374"
2019-04-03,21.1,21.4,20.7,21.1,20.8,"40,849"
2019-04-02,21,21.6,21,21.2,21.1,"153,042"
2019-04-01,20.9,21.7,20.9,21.6,21.2,"116,568"
2019-03-31,21.6,22,21.4,22,21.6,"109,068"
2019-03-28,21.6,22.1,21.6,21.6,21.7,"36,802"
2019-03-27,21.9,22,21.6,22,21.8,"71,960"
2019-03-25,21.8,22,21.7,21.7,21.8,"42,791"
2019-03-24,21.7,22.4,21.6,22.4,21.7,"43,675"
2019-03-21,21.9,22.4,21.9,21.9,22,"42,393"
2019-03-20,21.9,22.6,21.9,22.1,22,"262,077"
2019-03-19,22.5,22.5,21.6,22,22.4,"78,059"
2019-03-18,21.8,22.3,21.7,22,21.8,"51,558"
2019-03-14,22.1,22.9,22,22.9,22.1,"147,695"
2019-03-13,22.6,23,22.6,22.9,22.7,"179,244"
2019-03-12,22.8,23.5,22.8,23.4,22.9,"141,577"
2019-03-11,23.7,23.9,23.1,23.6,23.5,"142,160"
2019-03-10,23.5,23.7,23.2,23.2,23.5,"78,617"
2019-03-07,23.6,23.8,22.8,23.1,23.2,"303,623"
2019-03-06,22.6,23.5,22.5,23.3,22.8,"74,016"
2019-03-05,23.5,23.5,23,23.5,23.4,"38,324"
2019-03-04,23.4,23.8,23.1,23.4,23.2,"159,361"
2019-03-03,23.1,23.5,22.8,23.1,23.1,"44,364"
2019-02-27,23,23.7,22.6,23.6,23.1,"483,334"
2019-02-26,23.6,24.2,23.4,23.9,23.7,"153,257"
2019-02-25,23.7,24,23.6,23.8,23.7,"75,170"
2019-02-24,23.6,24.1,23.3,24.1,23.6,"203,144"
2019-02-20,24.2,24.5,23.8,24,24,"81,392"
2019-02-19,23.7,25.1,23.6,24.1,23.8,"459,765"
2019-02-18,24,24.8,24,24.1,24.1,"181,499"
2019-02-17,24,25.3,23.6,25.2,24.1,"271,683"
2019-02-14,24.7,25.3,24.7,25.1,24.8,"261,707"
2019-02-13,24.6,25.7,24.6,25,24.8,"504,150"
2019-02-12,25.1,25.2,23.4,23.5,25,"528,892"
2019-02-11,23.7,24,23.1,23.3,23.5,"401,410"
2019-02-10,22.5,23.9,22,23.5,22.8,"213,699"
