DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,50.8,50.8,46.6,46.6,50.8,"1,238,268"
2019-06-27,46.1,46.7,45.7,46.1,46.2,"137,991"
2019-06-26,46.2,46.3,44.7,44.7,46.1,"236,273"
2019-06-25,44.7,45.5,44.4,44.9,44.7,"126,173"
2019-06-24,45,45,44,44.5,44.7,"64,663"
2019-06-23,43.9,45.5,43.9,45.5,44.3,"66,340"
2019-06-20,44.9,45.7,44.6,45,44.8,"120,311"
2019-06-19,46,46,44.6,45.5,45.2,"153,394"
2019-06-18,44.5,46.3,44.5,44.5,45.2,"224,811"
2019-06-17,44.8,45.6,44.1,44.7,44.8,"117,305"
2019-06-16,46,46.9,45.7,46.5,45.9,"297,853"
2019-06-13,46.2,46.4,43.6,44.1,45.9,"286,874"
2019-06-12,43.7,44.4,43.3,44.2,43.9,"85,469"
2019-06-11,44.3,44.4,43.3,43.3,44.1,"100,739"
2019-06-10,43,44.4,42.8,42.8,43.3,"122,437"
2019-06-09,42.6,42.7,42.3,42.4,42.5,"45,994"
2019-05-30,42.5,42.9,42.2,42.9,42.4,"13,732"
2019-05-29,42.2,42.9,42.2,42.2,42.6,"52,963"
2019-05-28,42.8,42.8,41.9,42,42.6,"31,521"
2019-05-27,41.8,42.2,41.5,41.6,41.8,"23,794"
2019-05-26,41.5,42.5,41.5,42,41.6,"80,321"
2019-05-23,41.6,42.9,41.6,42.6,42,"105,711"
2019-05-22,42.8,43,41.6,41.6,42.6,"13,214"
2019-05-21,42.1,42.7,42,42.5,42,"68,835"
2019-05-20,42.6,43.2,42.6,43.2,42.7,"11,320"
2019-05-19,42.7,43.6,42.7,43,42.9,"47,264"
2019-05-16,42.5,43.8,42.5,43.8,42.6,"37,612"
2019-05-15,42.9,43.8,42.6,43.8,42.9,"11,706"
2019-05-14,43.2,43.4,42.5,42.5,42.9,"51,689"
2019-05-13,43,44.2,42.7,44.2,43,"37,715"
2019-05-12,43.9,44.8,43.5,44.3,43.8,"121,874"
2019-05-09,44,44.3,43.2,43.8,43.5,"169,645"
2019-05-08,43.7,43.7,42.3,42.6,43.2,"92,633"
2019-05-07,43,43.9,42.8,43.9,43.1,"69,225"
2019-05-06,43.1,44,42.2,44,42.9,"163,736"
2019-05-05,44,45,43.5,44.3,44.1,"186,277"
2019-05-02,43.3,45,41.8,41.8,43.8,"163,752"
2019-04-30,41.3,43.4,41,42,41.2,"227,658"
2019-04-29,41.8,41.8,40.1,40.7,41.2,"12,596"
2019-04-28,41,42,40.5,42,40.7,"42,752"
2019-04-25,41.9,42,41,41,41.6,"25,062"
2019-04-24,41.6,42.2,40.6,42.2,41,"41,904"
2019-04-23,42,43.1,41.5,42.5,41.7,"47,427"
2019-04-21,43,43.5,42.5,43.2,42.9,"84,061"
2019-04-18,42.6,42.8,41.6,41.7,42.7,"144,385"
2019-04-17,41.4,41.8,40.7,40.8,41.4,"69,442"
2019-04-16,41,41,39.2,40.7,40.5,"44,618"
2019-04-15,40.3,42.9,39.2,39.2,40.6,"105,095"
2019-04-11,37.6,40,37.6,40,39.1,"36,581"
2019-04-10,39.2,39.9,39,39,39.2,"23,126"
2019-04-09,39,40.8,39,40.7,39.4,"87,810"
2019-04-08,40.5,41.6,40.3,41.6,40.6,"24,764"
2019-04-07,40.8,41.7,40.7,41.7,41.1,"50,578"
2019-04-04,41.5,41.8,41,41.5,41.5,"24,464"
2019-04-03,41.4,41.7,41.1,41.7,41.2,"31,030"
2019-04-02,42,42.1,41.5,41.9,41.6,"18,276"
