DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,38.5,38.6,37.5,37.5,38.5,"2,612"
2019-06-27,38.2,38.2,38,38,38.1,"5,243"
2019-06-26,38.7,38.7,37.5,37.5,37.7,"2,700"
2019-06-25,37.3,38.5,37.3,38.1,38.3,"14,940"
2019-06-24,38,38.8,38,38.5,38.4,"6,427"
2019-06-23,39,39,38.1,38.1,38.2,"5,860"
2019-06-20,39,39,39,39,39,23
2019-06-19,39,39,39,39,39,20
2019-06-18,39.1,39.1,38.5,38.5,38.8,"5,049"
2019-06-17,39.2,39.2,38.2,38.3,38.4,"10,317"
2019-06-16,38.5,39,38.5,39,38.5,"26,993"
2019-06-13,38.7,38.7,38,38,38.5,"11,950"
2019-06-12,38.6,38.9,37.4,37.5,38.6,"14,211"
2019-06-11,37.3,38.8,37.3,38.8,37.3,"7,501"
2019-06-10,39,39,39,39,39,1
2019-06-09,38.5,38.5,37.9,37.9,38.3,"1,496"
2019-05-30,37.5,37.8,37.3,37.4,37.4,"1,375"
2019-05-29,37.4,37.4,37,37.4,37.3,"5,366"
2019-05-28,37.2,37.3,37,37,37.2,"20,018"
2019-05-27,36.6,37,36.6,37,36.9,"1,450"
2019-05-26,36.8,36.8,36,36.8,36.2,"2,725"
2019-05-23,36.2,36.9,36.2,36.9,36.7,381
2019-05-22,37,37,36.2,36.2,37,"8,118"
2019-05-21,37.2,37.2,36.9,36.9,37,389
2019-05-20,37,37,37,37,37,1
2019-05-19,37,37,36.9,37,37,"9,166"
2019-05-16,36.9,37,36.3,36.7,36.8,"3,316"
2019-05-15,36.5,36.7,36.5,36.6,36.6,"1,140"
2019-05-14,36.5,37,36.4,37,36.6,"4,305"
2019-05-13,36.8,37.2,36.8,37,37,"8,115"
2019-05-12,36.9,37.6,36.9,37.6,36.9,"1,181"
2019-05-09,37,37.1,37,37.1,37,"1,651"
2019-05-08,37.4,37.5,37,37,37.1,"6,845"
2019-05-07,36.9,37.8,36.9,37.8,37,"9,859"
2019-05-06,37.7,37.8,37.5,37.8,37.6,"2,600"
2019-05-05,37.8,38.3,37.8,38.3,37.8,"2,601"
2019-05-02,37.5,37.7,37.1,37.4,37.3,"15,401"
2019-04-30,37.1,37.2,36.6,37.2,36.8,"21,100"
2019-04-29,37,37,36.6,36.6,36.8,"2,002"
2019-04-28,36.5,36.7,36.5,36.7,36.5,"1,500"
2019-04-25,37.7,37.7,37.6,37.7,37.6,653
2019-04-24,37.7,37.7,37.7,37.7,37.7,1
2019-04-23,37,37.7,37,37.1,37,"11,704"
2019-04-21,37.5,37.5,37.1,37.4,37.5,"2,126"
2019-04-18,36.7,37.6,36.7,36.8,37.4,"1,320"
2019-04-17,36.7,36.7,36.7,36.7,36.7,500
2019-04-16,37,37.8,37,37.8,37.4,5
