DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,955,955,926.5,926.5,954.5,"1,046"
2019-06-27,955,958,903,903,951.5,"1,570"
2019-06-26,925,929,925,926,927.5,171
2019-06-25,926,930,907,907,927.5,64
2019-06-24,939,941.5,920,920,941,339
2019-06-23,948,948,930,930,939.5,482
2019-06-20,927,945,927,945,930,607
2019-06-19,930,935,927,935,930.5,248
2019-06-18,927.5,931,925,925,928.5,64
2019-06-17,931,931,930,930,930.5,154
2019-06-16,930,930,928,928,928,22
2019-06-13,925,939.5,925,930,928,604
2019-06-12,935,935,910,910,933.5,291
2019-06-11,916.5,916.5,907,907,914,20
2019-06-10,913.5,915,903,903,913.5,106
2019-06-09,915,915,914.5,914.5,914.5,45
2019-05-30,914.5,915,913,915,914.5,13
2019-05-29,913,913,913,913,913,2
2019-05-27,913,913,912,912,912.5,15
2019-05-26,915,915,910,910,912.5,23
2019-05-23,910,915.5,905.5,910,913.5,91
2019-05-22,917,917.5,904,904.5,915.5,116
2019-05-21,911.5,911.5,901,901,907.5,188
2019-05-20,918,956,910,956,915.5,74
2019-05-16,985,986,971,985,981,"1,612"
2019-05-15,981.5,982,971,971,980.5,289
2019-05-14,975,975.5,906,975,974.5,"2,408"
2019-05-13,965,970,900.5,900.5,907.5,"1,010"
2019-05-12,979,979,954.5,954.5,956,960
2019-05-09,954,954,954,954,954,800
2019-05-08,951,951,951,951,951,801
2019-05-07,960,960,940.5,940.5,941.5,842
2019-05-06,960,990,950.5,950.5,978.5,"1,710"
2019-05-05,950.5,965,915.5,915.5,921,928
2019-05-02,956,957.5,955.5,956,956.5,"1,195"
2019-04-30,955.5,965,945,955.5,955.5,804
2019-04-29,951.5,965,946,955.5,954.5,"1,245"
2019-04-28,965,965,906,906,911.5,665
2019-04-25,960,960,935.5,935.5,942.5,782
2019-04-24,950,950,927.5,927.5,934.5,940
2019-04-23,945,945,920,920,922.5,555
2019-04-21,941.5,941.5,903,903,905,525
2019-04-18,944.5,944.5,922,922,922.5,561
2019-04-17,950,950,900.5,900.5,903.5,435
2019-04-16,945,950,927.5,927.5,932,405
2019-04-15,950,950,928,928,930.5,340
2019-04-11,940.5,940.5,915.5,915.5,916.5,265
