DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,264,265,263,263.9,264.1,"103,198"
2019-06-27,262.7,263.1,260.8,260.8,262.8,"28,127"
2019-06-26,261,261,258,258,260.9,"35,045"
2019-06-25,258.5,260.1,258.5,258.8,259.1,"18,110"
2019-06-24,260,261.9,259,261,259.5,"23,265"
2019-06-23,261.7,261.7,259.5,261.4,261.3,"7,392"
2019-06-20,260,261.9,257.9,260.8,260.8,"40,475"
2019-06-19,257.1,261,257,258.2,258,"17,693"
2019-06-18,258.5,260.5,258.1,258.7,259,"12,214"
2019-06-17,260.9,262.2,258,260.9,260.2,"20,770"
2019-06-16,262.3,264,259,264,261.9,"28,517"
2019-06-13,260.7,264.5,260,263,261.4,"32,752"
2019-06-12,262.7,264.5,262.2,263.2,263.1,"79,023"
2019-06-11,262.2,265,260,260,262.8,"73,880"
2019-06-10,262.4,262.6,258.6,259.7,260.1,"66,617"
2019-06-09,258.5,260.9,258.5,260.2,258.8,"19,542"
2019-05-30,259.3,259.4,257,257.2,259.1,"37,657"
2019-05-29,258,259.7,256,256,257.7,"12,631"
2019-05-28,258,259.2,257,259.1,258.6,"17,211"
2019-05-27,259,259,254.7,257,257.6,"25,741"
2019-05-26,257.8,258,252.6,252.6,257,"27,053"
2019-05-23,255,257.9,252.2,254.1,256.7,"19,057"
2019-05-22,254.7,254.7,251.3,254.3,254,"10,049"
2019-05-21,251.7,252,250.2,250.3,251.3,"12,676"
2019-05-20,250.9,254.5,250.5,253.4,250.9,"14,492"
2019-05-19,254,254.5,250.1,251.9,253.4,"16,955"
2019-05-16,251,253,250,251.6,251.4,"9,573"
2019-05-15,251.8,255.6,250,253.7,251.7,"22,193"
2019-05-14,253.6,257.9,253.6,255,253.7,"11,754"
2019-05-13,254.5,256.9,253.8,256.9,254.6,"18,493"
2019-05-12,256.5,259,256,259,256.3,"7,602"
2019-05-09,259,259,255.1,257,256.8,"2,098"
2019-05-08,256.9,257,254.2,255,254.9,"19,374"
2019-05-07,254.2,259.6,254.2,257.5,254.5,"30,273"
