DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,115,118.9,115,118.9,115.9,"39,335"
2019-06-27,117.9,118.2,117,117.1,117.1,"26,279"
2019-06-26,117.2,118.7,116.8,116.9,117.1,"30,155"
2019-06-25,118,118.5,116.8,116.8,117.6,"38,299"
2019-06-24,117.2,118.5,116.5,116.8,117.9,"40,636"
2019-06-23,118.3,118.5,116,117.8,118,"22,288"
2019-06-20,118,119.9,117,119.4,118.5,"10,991"
2019-06-19,119.1,120.5,119.1,120,119.7,"19,367"
2019-06-18,119.1,122.4,119.1,121.8,119.3,"31,106"
2019-06-17,120.8,124.1,120.3,124.1,121.6,"59,196"
2019-06-16,123.5,125.4,122.7,124,124.1,"65,831"
2019-06-13,121.1,122,119.1,119.7,121.8,"49,848"
2019-06-12,119.5,119.5,118.1,119.4,119.2,"29,523"
2019-06-11,119.8,119.8,118.6,119.7,119.6,"56,449"
2019-06-10,118.3,120,118,119.7,118.5,"27,317"
2019-06-09,120,120.4,118.4,118.4,119.7,"40,830"
2019-05-30,119.5,120,114.1,114.1,118.4,"63,562"
2019-05-29,116,116,112.1,113,115.1,"48,642"
2019-05-28,113.7,114.2,112.1,112.1,113.8,"16,130"
2019-05-27,113.5,113.5,112,112,113,"15,831"
2019-05-26,112.5,113.5,112,112,112.7,"32,321"
2019-05-23,111.6,114.7,111,111,112.4,"25,967"
2019-05-22,112.5,114.8,110.5,110.5,113.3,"39,391"
2019-05-21,112.1,112.2,110.2,110.2,111.8,"42,356"
2019-05-20,110,111.7,109.6,110.4,110.2,"7,310"
2019-05-19,110.1,110.8,109.5,110,110.3,"36,854"
2019-05-16,110.2,110.5,109,109.1,109.5,"8,673"
2019-05-15,109,109.9,107.2,107.3,109,"16,502"
2019-05-14,108.5,110.9,108.5,110,108.8,"5,706"
2019-05-13,109.9,112,109.5,112,109.9,"17,420"
2019-05-12,111.8,112,110,111,111.3,"19,887"
2019-05-09,110.9,111.4,109.8,111.4,110.2,"6,172"
2019-05-08,110,112,108,109.7,110.4,"32,030"
2019-05-07,110.5,111.4,108.6,110.6,109.7,"38,227"
2019-05-06,112,113.3,110.6,113.3,111.4,"19,031"
2019-05-05,114,114,110.3,110.4,113.3,"33,973"
2019-05-02,109.3,109.6,104,105.5,109.4,"24,150"
2019-04-30,105.8,108,105,108,105.1,"39,226"
