DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,5.7,5.8,5.6,5.7,5.7,"34,760"
2019-06-27,5.7,5.9,5.7,5.8,5.7,"103,487"
2019-06-26,5.9,5.9,5.6,5.7,5.9,"487,447"
2019-06-25,5.7,5.7,5.6,5.7,5.7,"126,024"
2019-06-24,5.6,5.7,5.5,5.7,5.6,"114,803"
2019-06-23,5.6,5.7,5.5,5.5,5.5,"117,558"
2019-06-20,5.6,5.7,5.5,5.6,5.6,"28,614"
2019-06-19,5.8,5.8,5.6,5.6,5.6,"29,571"
2019-06-18,5.8,5.8,5.6,5.6,5.7,"26,168"
2019-06-17,5.7,5.8,5.6,5.7,5.6,"3,653"
2019-06-16,5.7,5.9,5.6,5.7,5.7,"24,225"
2019-06-13,5.8,6.1,5.6,5.6,5.6,"434,272"
2019-06-12,5.6,5.7,5.6,5.6,5.6,"86,128"
2019-06-11,5.7,5.7,5.6,5.7,5.6,"74,150"
2019-06-10,5.7,5.8,5.6,5.6,5.7,"14,101"
2019-06-09,5.9,5.9,5.7,5.7,5.7,"6,100"
2019-05-30,5.7,5.7,5.6,5.6,5.7,"10,800"
2019-05-29,5.6,5.7,5.6,5.7,5.6,"10,001"
2019-05-28,5.7,5.7,5.5,5.6,5.5,"23,401"
2019-05-27,5.6,5.6,5.5,5.6,5.6,"17,400"
2019-05-26,5.5,5.8,5.5,5.7,5.6,"145,877"
2019-05-23,5.7,5.8,5.7,5.7,5.7,"4,500"
2019-05-22,5.7,5.9,5.6,5.6,5.9,"95,785"
2019-05-21,5.8,5.8,5.6,5.7,5.6,"8,001"
2019-05-20,5.9,6,5.5,5.6,5.8,"223,049"
2019-05-19,5.6,5.8,5.6,5.6,5.6,"2,971"
2019-05-16,5.8,5.9,5.5,5.6,5.8,"139,390"
2019-05-15,5.5,5.6,5.5,5.6,5.5,"31,009"
2019-05-14,5.7,5.7,5.5,5.5,5.6,"4,942"
2019-05-13,5.7,5.7,5.7,5.7,5.7,1
2019-05-12,5.5,5.5,5.5,5.5,5.5,"20,950"
2019-05-09,5.6,5.6,5.5,5.5,5.5,"7,025"
2019-05-08,5.5,5.6,5.5,5.6,5.5,"36,650"
2019-05-07,5.6,5.7,5.4,5.7,5.5,"161,450"
2019-05-06,5.8,6,5.8,6,5.9,"20,200"
2019-05-05,5.7,5.8,5.7,5.8,5.8,"27,600"
2019-05-02,5.7,5.7,5.6,5.6,5.7,"2,155"
2019-04-30,5.6,5.9,5.6,5.9,5.9,"4,575"
2019-04-29,5.6,5.6,5.5,5.5,5.6,"6,200"
2019-04-28,5.5,5.5,5.5,5.5,5.5,"13,400"
2019-04-25,5.8,5.9,5.3,5.4,5.8,"274,330"
2019-04-24,5.7,5.7,5.4,5.4,5.4,501
2019-04-23,5.7,5.7,5.3,5.4,5.6,"231,402"
2019-04-21,5.3,5.3,5.3,5.3,5.3,"1,615"
2019-04-18,5.5,5.5,5.2,5.2,5.4,"100,500"
