DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,6.9,7,6.9,6.9,7,"12,350"
2019-06-27,6.9,7,6.9,6.9,6.9,"29,158"
2019-06-26,6.9,6.9,6.8,6.9,6.9,"30,700"
2019-06-25,6.8,6.9,6.8,6.9,6.8,"100,237"
2019-06-24,6.8,6.9,6.7,6.8,6.8,"149,034"
2019-06-23,6.7,6.7,6.7,6.7,6.7,500
2019-06-20,6.8,6.8,6.8,6.8,6.8,"5,000"
2019-06-19,6.8,6.9,6.8,6.9,6.8,"19,377"
2019-06-17,6.8,6.8,6.8,6.8,6.8,"1,000"
2019-06-16,6.8,6.9,6.8,6.9,6.8,"5,000"
2019-06-13,7.2,7.2,7.2,7.2,7.2,10
2019-06-12,7,7.1,6.9,7.1,7.1,"16,500"
2019-06-11,7.3,7.4,7.1,7.1,7.3,"5,730"
2019-06-10,7.3,7.3,7.3,7.3,7.3,100
2019-06-09,7.1,7.1,7.1,7.1,7.1,"10,100"
2019-05-30,7.3,7.3,7,7.1,7.2,"4,101"
2019-05-29,7,7,6.8,6.8,6.9,"11,000"
2019-05-28,6.8,7.2,6.8,7,6.8,"20,980"
2019-05-26,6.7,6.7,6.7,6.7,6.7,500
2019-05-23,6.8,6.8,6.8,6.8,6.8,"2,800"
2019-05-22,6.7,6.8,6.7,6.8,6.8,"5,499"
2019-05-21,6.8,6.8,6.8,6.8,6.8,"1,400"
2019-05-20,6.8,6.8,6.8,6.8,6.8,"8,422"
2019-05-19,6.8,6.8,6.8,6.8,6.8,"6,100"
2019-05-16,6.8,6.8,6.8,6.8,6.8,"1,000"
2019-05-14,6.8,6.8,6.8,6.8,6.8,"5,000"
2019-05-12,6.8,6.8,6.8,6.8,6.8,"4,000"
2019-05-09,6.7,6.7,6.7,6.7,6.7,"3,000"
2019-05-06,6.8,6.8,6.7,6.7,6.7,"8,001"
2019-05-05,6.9,6.9,6.8,6.8,6.8,"17,020"
2019-05-02,7,7,6.7,6.8,6.8,"5,360"
2019-04-30,6.7,6.8,6.7,6.8,6.8,"5,406"
2019-04-29,6.8,6.8,6.8,6.8,6.8,"9,523"
2019-04-28,6.8,6.8,6.8,6.8,6.8,"2,050"
2019-04-25,6.8,6.8,6.8,6.8,6.8,"3,200"
2019-04-24,6.8,6.8,6.8,6.8,6.8,"2,000"
2019-04-23,6.8,6.8,6.8,6.8,6.8,"1,000"
2019-04-21,6.9,6.9,6.9,6.9,6.9,"5,000"
2019-04-18,6.4,7.1,6.4,7.1,6.6,"40,001"
2019-04-17,6.8,6.8,6.8,6.8,6.8,500
2019-04-15,6.8,6.9,6.8,6.9,6.8,"7,000"
2019-04-11,6.8,7,6.8,7,6.8,"16,500"
2019-04-10,6.9,6.9,6.9,6.9,6.9,500
2019-04-09,6.8,7.1,6.8,7.1,7,"5,000"
2019-04-08,7.1,7.1,7.1,7.1,7.1,"7,000"
2019-04-07,7.2,7.2,7.1,7.1,7.1,691
2019-04-04,7,7.1,7,7.1,7.1,"2,400"
2019-04-03,7.2,7.2,7.1,7.1,7.1,"11,060"
2019-04-02,7.2,7.2,7.1,7.1,7.1,660
2019-04-01,7.1,7.1,7.1,7.1,7.1,"3,990"
2019-03-31,7.3,7.3,7.1,7.1,7.1,510
2019-03-28,7.1,7.1,7.1,7.1,7.1,500
2019-03-27,7.1,7.1,7.1,7.1,7.1,"1,100"
2019-03-25,7.1,7.1,7.1,7.1,7.1,200
2019-03-24,7,7,7,7,7,"4,500"
2019-03-20,7,7,7,7,7,"1,000"
2019-03-19,7,7,7,7,7,"2,000"
2019-03-18,7.1,7.1,7.1,7.1,7.1,"3,000"
2019-03-14,7.1,7.2,7.1,7.2,7.1,"3,399"
2019-03-13,7.2,7.3,7.2,7.3,7.2,"1,501"
2019-03-12,7.2,7.4,7.2,7.2,7.3,"31,090"
2019-03-11,7.4,7.4,7.2,7.2,7.3,"50,000"
