DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,7.3,7.4,7,7.4,7,"261,154"
2019-06-27,7.3,7.5,7.3,7.5,7.4,"18,060"
2019-06-26,7.6,7.6,7.3,7.5,7.6,"66,138"
2019-06-25,7.6,7.7,7.3,7.4,7.4,"197,422"
2019-06-24,7.4,7.4,7,7,7.4,"164,379"
2019-06-23,7.3,7.3,7,7.2,7.2,"26,450"
2019-06-20,7.1,7.4,7,7.4,7.1,"106,135"
2019-06-19,7.1,7.4,7.1,7.3,7.3,"39,472"
2019-06-18,7.4,7.4,7.3,7.3,7.4,"8,410"
2019-06-17,7.4,7.5,7.2,7.3,7.5,"21,200"
2019-06-16,7.5,7.6,7.1,7.3,7.5,"86,500"
2019-06-13,7.5,7.6,7.3,7.3,7.5,"2,210"
2019-06-12,7.5,7.6,7.3,7.3,7.4,"2,475"
2019-06-11,7.5,7.6,7.3,7.6,7.5,"78,010"
2019-06-10,7.3,7.7,7.2,7.2,7.5,"43,600"
2019-06-09,7.3,7.3,7.2,7.3,7.2,"18,208"
2019-05-30,7.4,7.4,7.2,7.4,7.2,"19,620"
2019-05-29,7.3,7.4,7.3,7.4,7.3,"54,307"
2019-05-28,7.5,7.6,7.4,7.4,7.5,"147,300"
2019-05-27,7.5,7.6,7.3,7.4,7.4,"55,095"
2019-05-26,7.8,7.8,7.2,7.4,7.4,"97,287"
2019-05-23,7.8,7.9,7.2,7.8,7.4,"396,012"
2019-05-22,8,8,7.7,7.7,7.9,"15,148"
2019-05-21,7.9,8,7.4,7.6,7.5,"212,267"
2019-05-20,8,8,7.9,8,8,"125,119"
2019-05-19,8.1,8.1,7.8,8,7.9,"22,196"
2019-05-16,8,8,7.6,7.9,8,"63,280"
2019-05-15,8,8.1,7.9,8,8.1,"111,860"
2019-05-14,8.2,8.4,8,8.1,8.2,"90,420"
2019-05-13,8.1,8.2,8,8,8.1,"1,890"
2019-05-12,8.2,8.3,8.2,8.2,8.2,"18,010"
2019-05-09,8.2,8.5,8.1,8.2,8.3,"299,200"
2019-05-08,8,8.1,7.7,7.9,8,"34,600"
2019-05-07,8,8.2,8,8.1,8,"29,825"
2019-05-06,8.4,8.4,8,8,8.2,"92,484"
2019-05-05,8.2,8.3,8,8.2,8.2,"109,914"
2019-05-02,8.1,8.1,7.7,8,8,"83,115"
2019-04-30,7.9,8,7.8,8,7.9,"14,316"
2019-04-29,7.9,8,7.9,8,7.9,"30,900"
2019-04-28,8,8,7.9,8,8,"42,207"
2019-04-25,8,8,7.7,7.7,8,"20,550"
2019-04-24,7.4,8,7.4,8,7.6,"252,980"
2019-04-23,8,8.3,8,8.3,8,"31,940"
2019-04-21,8,8.2,8,8.1,8.1,"167,000"
2019-04-18,8.1,8.3,8.1,8.3,8.1,"18,389"
2019-04-17,8.3,8.3,8,8.3,8.2,"218,150"
2019-04-16,8.4,8.4,8,8,8.3,"81,375"
2019-04-15,8.3,8.4,8,8.4,8.3,"93,675"
2019-04-11,8.3,8.3,8.1,8.3,8.2,"83,800"
2019-04-10,8.1,8.4,8,8.3,8.3,"121,500"
2019-04-09,8.2,8.4,8.2,8.3,8.3,"302,750"
2019-04-08,8.4,8.4,8.3,8.3,8.3,"309,506"
2019-04-07,8.4,8.5,8.1,8.2,8.4,"403,000"
2019-04-04,8.2,8.2,7.7,8,8.2,"214,840"
2019-04-03,8.1,8.3,7.5,8.1,8.1,"130,300"
2019-04-02,7.4,8.4,7.4,8.3,7.8,"415,939"
2019-04-01,8.2,8.4,8,8.4,8.1,"171,851"
2019-03-31,8.4,8.4,8.2,8.2,8.3,560
2019-03-28,8.2,8.5,8,8.3,8.4,"224,539"
2019-03-27,8.2,8.5,7.9,8.5,8.2,"13,800"
2019-03-25,8.2,8.2,8,8,8.2,"157,331"
2019-03-24,8.1,8.2,7.4,8.2,8.1,"175,600"
2019-03-21,8.1,8.1,7.7,8,8.1,"21,550"
2019-03-20,7.8,8.1,7.8,8.1,8,"54,500"
2019-03-19,7.8,8.2,7.8,8.1,7.8,"100,763"
2019-03-18,8.1,8.1,7.9,8,8.1,"109,000"
2019-03-14,7.8,8.5,7.8,8.1,7.9,"251,104"
2019-03-13,8,8.2,8,8.2,8,"58,609"
2019-03-12,8,8.5,8,8.3,8.4,"48,286"
2019-03-11,8.2,8.2,8,8,8.1,"57,797"
2019-03-10,8,8.2,8,8.1,8.1,"51,793"
2019-03-07,8,8.1,7.9,7.9,8,"56,279"
2019-03-06,7.9,8.3,7.9,8.2,8,"340,955"
2019-03-05,8.2,8.5,7.8,8.5,8,"128,502"
2019-03-04,8.6,8.6,8.3,8.5,8.5,"65,575"
2019-03-03,8.5,8.8,8.4,8.8,8.6,"364,710"
2019-02-27,8.4,8.9,8.4,8.7,8.7,"552,511"
2019-02-26,8.8,8.9,8.3,8.9,8.8,"199,446"
2019-02-25,8.8,8.9,8.3,8.4,8.9,"842,500"
2019-02-24,8.5,8.5,8.2,8.2,8.3,"393,922"
2019-02-20,8.3,8.3,8.1,8.2,8.2,"25,334"
2019-02-19,8.1,8.4,8.1,8.4,8.2,"37,515"
2019-02-18,8.4,8.4,8.2,8.3,8.3,"120,517"
2019-02-17,8.3,8.3,8,8.3,8.3,"85,766"
2019-02-14,8.2,8.3,8.1,8.1,8.2,"363,205"
2019-02-13,8.1,8.2,8,8,8.1,"105,058"
2019-02-12,8,8.4,8,8.3,8,"275,424"
2019-02-11,8.4,8.4,8,8.2,8.2,"210,502"
2019-02-10,8.2,8.4,7.6,8,8.2,"344,827"
2019-02-07,7.7,8.3,7.7,8.3,7.9,"457,041"
2019-02-06,8.4,8.4,7.9,7.9,8.3,"111,060"
2019-02-05,8.2,8.7,7.4,8.6,8.2,"689,363"
2019-02-04,8.4,9,8,8.9,8,"735,856"
2019-02-03,8.8,8.8,8.2,8.2,8.8,"669,090"
2019-01-31,8,8.4,7.4,7.7,8,"1,146,575"
2019-01-30,7.7,7.8,7.1,7.2,7.7,"88,594"
2019-01-29,7.1,7.4,7.1,7.1,7.1,"6,140"
2019-01-28,7.3,7.3,7.2,7.3,7.3,"8,640"
2019-01-27,7.2,7.2,7.2,7.2,7.2,500
2019-01-24,7.5,7.5,7.1,7.1,7.3,"29,444"
