DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,5.8,6,5.7,6,5.7,"15,248"
2019-06-27,5.9,6,5.6,5.6,5.8,"93,539"
2019-06-26,6,6,5.8,6,5.9,"39,570"
2019-06-25,5.9,6,5.8,5.8,5.9,"99,275"
2019-06-24,5.9,5.9,5.6,5.6,5.8,"147,020"
2019-06-23,5.6,5.7,5.5,5.7,5.6,"9,970"
2019-06-20,5.6,5.8,5.5,5.8,5.6,"88,946"
2019-06-19,5.8,5.8,5.7,5.7,5.7,"14,266"
2019-06-18,5.8,5.8,5.7,5.8,5.7,"13,193"
2019-06-17,5.7,5.8,5.7,5.7,5.7,"13,579"
2019-06-16,5.7,5.9,5.7,5.8,5.7,"7,189"
2019-06-13,5.9,5.9,5.7,5.8,5.9,"48,710"
2019-06-12,5.7,5.9,5.7,5.9,5.7,"119,982"
2019-06-11,5.8,5.9,5.6,5.6,5.7,"203,299"
2019-06-10,5.7,5.7,5.7,5.7,5.7,"23,760"
2019-06-09,5.7,5.8,5.5,5.8,5.6,"24,980"
2019-05-30,5.6,5.7,5.6,5.6,5.7,"25,345"
2019-05-29,5.7,5.7,5.5,5.5,5.6,"29,900"
2019-05-28,5.7,5.7,5.6,5.6,5.7,"58,420"
2019-05-27,5.5,5.6,5.5,5.6,5.6,"5,330"
2019-05-26,5.6,5.6,5.6,5.6,5.6,"15,821"
2019-05-23,5.7,5.7,5.5,5.6,5.7,"10,050"
2019-05-22,5.6,5.6,5.5,5.6,5.6,"11,500"
2019-05-21,5.6,5.6,5.5,5.6,5.6,"8,603"
2019-05-20,5.6,5.6,5.5,5.6,5.6,"67,665"
2019-05-19,5.7,5.7,5.6,5.7,5.7,"30,021"
2019-05-16,5.6,5.7,5.5,5.7,5.6,"10,011"
2019-05-15,5.6,5.6,5.6,5.6,5.6,"16,000"
2019-05-14,5.6,5.6,5.4,5.6,5.5,"64,730"
2019-05-13,5.5,5.7,5.5,5.5,5.5,"45,549"
2019-05-12,5.6,5.7,5.5,5.7,5.5,"34,380"
2019-05-09,5.7,5.7,5.5,5.7,5.5,"9,899"
2019-05-08,5.6,5.7,5.5,5.7,5.6,"10,501"
2019-05-07,5.6,5.7,5.5,5.7,5.5,"309,231"
2019-05-06,5.8,5.8,5.6,5.7,5.7,"26,299"
2019-05-05,5.6,5.9,5.6,5.8,5.7,"182,506"
2019-05-02,5.6,5.7,5.5,5.6,5.6,"48,935"
2019-04-30,5.6,5.7,5.5,5.6,5.5,"79,100"
2019-04-29,5.6,5.8,5.6,5.8,5.7,"21,039"
2019-04-28,5.5,5.8,5.5,5.6,5.6,"68,505"
2019-04-25,5.7,5.8,5.6,5.7,5.7,"48,501"
2019-04-24,5.6,5.9,5.6,5.8,5.7,"139,921"
2019-04-23,5.8,5.9,5.7,5.9,5.9,"6,395"
2019-04-21,5.7,6,5.7,5.9,5.9,"152,274"
2019-04-18,5.9,5.9,5.7,5.8,5.8,"80,829"
2019-04-17,5.8,5.8,5.2,5.8,5.7,"182,481"
2019-04-16,5.7,5.8,5.6,5.6,5.7,"14,431"
2019-04-15,5.8,5.9,5.6,5.8,5.8,"13,474"
2019-04-11,5.8,5.9,5.5,5.9,5.6,"90,670"
2019-04-10,5.6,6.1,5.6,6.1,5.7,"210,080"
2019-04-09,6,6.1,5.7,6.1,5.9,"358,450"
2019-04-08,5.8,6.2,5.8,6,5.9,"290,040"
2019-04-07,5.9,6.1,5.8,5.9,6,"153,152"
2019-04-04,5.9,5.9,5.6,5.6,5.9,"45,220"
2019-04-03,5.9,6,5.6,6,5.8,"360,881"
2019-04-02,6.2,6.3,6,6.2,6.2,"140,750"
2019-04-01,5.9,6.2,5.9,6.2,6.1,"87,632"
2019-03-31,6,6.2,5.9,6,6,"2,658"
2019-03-28,6.1,6.2,5.9,6,6,"39,800"
2019-03-27,6.2,6.2,5.9,5.9,6,"5,721"
2019-03-25,6.2,6.2,5.9,5.9,6,"194,737"
2019-03-24,5.8,6.1,5.6,5.8,6,"131,400"
2019-03-21,5.7,5.8,5.3,5.7,5.6,"14,800"
2019-03-20,5.9,5.9,5.5,5.5,5.7,"1,619"
2019-03-19,5.6,5.9,5.6,5.6,5.7,"46,417"
2019-03-18,6,6,5.7,6,5.7,"8,025"
2019-03-14,5.8,6,5.8,6,5.9,"126,160"
2019-03-13,5.9,5.9,5.8,5.8,5.9,"26,500"
2019-03-12,5.6,6.1,5.6,6.1,5.8,"148,700"
2019-03-11,6.3,6.3,6.1,6.1,6.2,"13,694"
2019-03-10,6.2,6.3,6.1,6.3,6.1,"5,142"
2019-03-07,6.4,6.4,6.1,6.2,6.2,"34,012"
2019-03-06,6.4,6.4,6.1,6.1,6.4,"32,656"
2019-03-05,6.3,6.3,6.1,6.2,6.1,"9,680"
2019-03-04,6.1,6.3,6.1,6.1,6.1,"18,776"
2019-03-03,6.4,6.4,6.2,6.2,6.2,"4,360"
2019-02-27,6.4,6.4,6.3,6.3,6.4,"28,560"
2019-02-26,6.4,6.4,6.3,6.4,6.4,"48,250"
2019-02-25,6.4,6.6,6.1,6.1,6.5,"134,600"
2019-02-24,6.3,6.4,6.3,6.4,6.4,"19,055"
2019-02-20,6.4,6.5,6.3,6.5,6.5,"16,000"
2019-02-19,6.3,6.5,6.3,6.4,6.3,"51,764"
2019-02-18,6.3,6.5,6.2,6.2,6.4,"66,153"
2019-02-17,6.4,6.6,6.4,6.5,6.5,"605,400"
2019-02-14,6.5,6.5,6.3,6.3,6.5,"140,905"
2019-02-13,6.4,6.5,6,6,6.4,"64,567"
2019-02-12,6.3,6.3,6,6.1,6.2,"33,867"
2019-02-11,6.1,6.2,6,6.2,6.1,"17,051"
2019-02-10,6,6.2,6,6.2,6.1,"9,750"
2019-02-07,6,6.2,6,6,6,"8,125"
2019-02-06,6.2,6.2,6.1,6.1,6.1,"10,149"
2019-02-05,6.2,6.3,6.1,6.2,6.2,"12,550"
2019-02-04,6.3,6.3,6.1,6.3,6.2,"8,635"
2019-02-03,6.3,6.3,6,6.1,6.2,"133,845"
2019-01-31,6.2,6.2,6,6.1,6,"117,917"
2019-01-30,6.3,6.3,6,6,6.2,"126,471"
2019-01-29,6.1,6.4,6.1,6.2,6.2,"46,706"
2019-01-28,6.4,6.5,6.2,6.5,6.3,"80,744"
2019-01-27,6.4,6.6,6.4,6.4,6.5,"9,717"
2019-01-24,6.4,6.6,6.4,6.6,6.4,"38,700"
2019-01-23,6.6,6.7,6.4,6.7,6.5,"8,241"
2019-01-22,6.5,6.7,6.4,6.6,6.5,"17,728"
2019-01-21,6.8,7,6.6,7,6.8,"74,293"
2019-01-20,6.7,6.9,6.3,6.4,6.6,"217,104"
2019-01-17,6.1,6.4,6.1,6.2,6.3,"10,342"
2019-01-16,6.3,6.4,6.1,6.2,6.2,"41,068"
2019-01-15,6.1,6.4,6.1,6.4,6.2,"106,269"
2019-01-14,6.4,6.5,6.2,6.5,6.3,"40,950"
2019-01-13,6.2,6.4,6.2,6.3,6.2,"78,440"
2019-01-10,6.2,6.5,6.2,6.5,6.4,"27,150"
2019-01-09,6.4,6.5,6.3,6.5,6.4,"84,215"
2019-01-08,6.4,6.4,6,6.2,6.4,"150,741"
2019-01-07,6.2,6.2,6,6.2,6.1,"72,191"
2019-01-06,6,6,5.6,6,6,"81,321"
2019-01-03,5.8,5.8,5.4,5.4,5.7,"72,907"
2019-01-02,5.6,5.6,5.4,5.5,5.5,"11,995"
2019-01-01,5.5,5.5,5.3,5.5,5.4,"12,800"
2018-12-27,5.4,5.6,5.3,5.6,5.4,944
2018-12-26,5.4,5.5,5.4,5.4,5.4,"15,000"
2018-12-24,5.3,5.4,5.2,5.4,5.3,"12,040"
2018-12-23,5.4,5.4,5.3,5.3,5.3,"2,702"
2018-12-20,5.4,5.4,5.2,5.3,5.3,"19,027"
2018-12-19,5.3,5.3,5.2,5.3,5.3,"16,460"
2018-12-18,5.2,5.4,5.2,5.3,5.2,"12,847"
