DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,4,4.1,3.9,4,4,"26,209"
2019-06-27,4,4.1,4,4,4,"61,881"
2019-06-26,4,4.1,4,4,4,"117,876"
2019-06-25,4,4.2,3.9,4,4.1,"218,152"
2019-06-24,3.9,4,3.9,4,4,"22,766"
2019-06-23,4,4.1,4,4.1,4,"33,890"
2019-06-20,4,4,3.9,4,4,"127,699"
2019-06-19,4,4.1,4,4,4,"112,050"
2019-06-18,4.1,4.1,4,4,4.1,"278,762"
2019-06-17,4.1,4.1,4,4,4.1,"61,188"
2019-06-16,4.1,4.2,4.1,4.1,4.1,"65,017"
2019-06-13,4.1,4.1,4,4.1,4.1,"127,322"
2019-06-12,4,4.2,4,4.1,4.1,"15,950"
2019-06-11,4.1,4.1,4,4,4.1,"82,141"
2019-06-10,4,4,4,4,4,"54,185"
2019-06-09,4,4.1,4,4,4,"42,189"
2019-05-30,4.1,4.1,4,4.1,4,"91,604"
2019-05-29,4,4.1,4,4.1,4.1,"19,160"
2019-05-28,4.1,4.1,4,4,4,"43,308"
2019-05-27,4,4,3.9,3.9,4,"73,260"
2019-05-23,3.9,4,3.9,3.9,4,"34,944"
2019-05-22,3.9,4,3.9,4,3.9,"62,620"
2019-05-21,4,4.1,3.9,4,4,"146,628"
2019-05-20,4,4.1,4,4.1,4,"17,970"
2019-05-19,4.1,4.1,4,4.1,4.1,"173,949"
2019-05-16,4,4.1,4,4.1,4,"47,063"
2019-05-15,4.1,4.1,4,4,4.1,"118,227"
2019-05-14,4,4.1,3.9,4,4,"128,389"
2019-05-13,3.9,4,3.9,4,3.9,"69,200"
2019-05-12,4.1,4.1,4,4,4,"17,205"
2019-05-09,4,4,3.9,4,4,"1,953"
2019-05-08,3.9,4.1,3.9,4,4.1,"114,640"
2019-05-07,4,4.1,4,4,4,"70,590"
2019-05-06,4.1,4.1,4,4,4,"57,028"
2019-05-05,4,4,3.9,4,3.9,"84,123"
2019-05-02,4,4,3.7,4,3.9,"317,003"
2019-04-30,4.1,4.1,4,4,4.1,"16,490"
2019-04-29,4,4.2,3.9,4,4,"66,026"
2019-04-28,4.1,4.1,3.9,4,4,"38,415"
2019-04-25,4,4,3.9,3.9,3.9,"28,141"
2019-04-24,4,4,3.9,4,4,"107,104"
2019-04-23,4,4,4,4,4,"52,155"
2019-04-21,4,4,4,4,4,"79,517"
2019-04-18,3.9,4.1,3.9,4,4,"74,057"
2019-04-17,4.1,4.1,3.9,4,4,"81,076"
2019-04-16,4,4.1,4,4.1,4,"24,500"
2019-04-15,4.1,4.2,4,4,4.1,"180,965"
2019-04-11,4,4.1,4,4,4,"79,501"
2019-04-10,4,4.1,3.9,4.1,4,"248,268"
2019-04-09,4.1,4.2,4,4.2,4,"19,122"
2019-04-08,3.9,4.1,3.9,4,4,"133,300"
2019-04-07,4,4.1,4,4.1,4.1,"54,000"
2019-04-04,4,4.1,3.9,4,4,"80,970"
2019-04-03,4,4.1,3.9,4,4,"129,901"
2019-04-02,4,4.1,3.9,4,4,"69,225"
2019-04-01,4,4.1,4,4.1,4,"12,300"
2019-03-31,4.1,4.1,4,4,4,"71,476"
2019-03-28,4,4,3.9,4,4,"48,194"
2019-03-27,4.1,4.1,4,4.1,4,"39,069"
2019-03-25,4.1,4.1,3.9,4,4,"42,220"
2019-03-24,4,4.1,3.9,3.9,4,"157,374"
2019-03-21,4,4.1,4,4,4,"69,109"
2019-03-20,4.1,4.1,4,4,4.1,"103,099"
2019-03-19,4.1,4.2,4,4,4.1,"66,310"
2019-03-18,4,4.1,4,4,4,"101,320"
2019-03-14,4.1,4.2,4,4.1,4.1,"103,427"
2019-03-13,4.2,4.2,4,4.2,4.2,"141,257"
2019-03-12,4.2,4.3,4.1,4.1,4.2,"148,584"
2019-03-11,4.2,4.3,4.2,4.3,4.2,"73,692"
2019-03-10,4.2,4.3,4.2,4.2,4.2,"26,499"
2019-03-07,4.3,4.3,4.1,4.3,4.2,"249,030"
2019-03-06,4.2,4.3,4.1,4.1,4.2,"68,430"
2019-03-05,4.1,4.2,4.1,4.1,4.2,"113,501"
2019-03-04,4.1,4.2,4.1,4.1,4.2,"92,617"
2019-03-03,4.1,4.2,4.1,4.2,4.1,"159,438"
2019-02-27,4.2,4.3,4.1,4.2,4.2,"20,999"
2019-02-26,4.2,4.2,4.1,4.2,4.2,"125,350"
2019-02-25,4.2,4.2,4.2,4.2,4.2,"139,091"
2019-02-24,4.2,4.2,4.1,4.1,4.2,"110,578"
2019-02-20,4.2,4.3,4.2,4.2,4.2,"32,872"
2019-02-19,4.1,4.2,4.1,4.2,4.2,"92,960"
2019-02-18,4.3,4.3,4.1,4.1,4.2,"138,005"
2019-02-17,4.1,4.2,4.1,4.1,4.2,"65,190"
2019-02-14,4.1,4.2,4.1,4.1,4.1,"17,350"
2019-02-13,4.2,4.3,4,4.1,4.1,"292,459"
2019-02-12,4.3,4.4,4.2,4.2,4.3,"126,448"
2019-02-11,4.3,4.3,4.2,4.3,4.3,"122,600"
2019-02-10,4.4,4.4,4.3,4.4,4.3,"126,160"
2019-02-07,4.4,4.5,4.4,4.5,4.4,"70,145"
2019-02-06,4.3,4.5,4.3,4.5,4.4,"92,350"
2019-02-05,4.5,4.5,4.4,4.4,4.5,"165,845"
2019-02-04,4.4,4.5,4.4,4.4,4.4,"51,201"
2019-02-03,4.5,4.5,4.4,4.4,4.5,"90,070"
2019-01-31,4.5,4.5,4.3,4.3,4.3,"64,015"
2019-01-30,4.4,4.5,4.4,4.4,4.4,"130,250"
2019-01-29,4.5,4.6,4.4,4.6,4.5,"175,597"
2019-01-28,4.6,4.7,4.6,4.7,4.6,"164,418"
2019-01-27,4.6,4.7,4.6,4.6,4.6,"186,800"
2019-01-24,4.7,4.8,4.6,4.8,4.6,"249,250"
2019-01-23,4.8,4.9,4.7,4.7,4.8,"147,510"
2019-01-22,4.7,4.8,4.6,4.7,4.7,"182,086"
2019-01-21,4.6,4.7,4.6,4.7,4.7,"269,101"
2019-01-20,4.8,4.8,4.6,4.6,4.7,"347,515"
2019-01-17,4.7,4.9,4.7,4.8,4.7,"441,231"
2019-01-16,4.9,5,4.8,4.8,4.9,"138,677"
2019-01-15,4.9,4.9,4.8,4.8,4.9,"165,299"
2019-01-14,4.8,5,4.8,5,4.8,"405,349"
2019-01-13,4.9,5,4.9,5,4.9,"178,958"
2019-01-10,4.9,5,4.8,4.9,4.9,"279,159"
2019-01-09,4.9,5,4.8,4.9,4.9,"322,300"
2019-01-08,5,5,4.8,4.9,4.9,"342,494"
2019-01-07,4.9,5,4.8,5,4.8,"135,673"
2019-01-06,5,5,4.8,4.8,5,"443,099"
2019-01-03,4.8,4.9,4.7,4.8,4.9,"202,834"
2019-01-02,4.9,5,4.7,5,4.8,"87,570"
2019-01-01,5,5,4.8,5,5,"358,452"
2018-12-27,4.8,5,4.7,4.9,4.8,"314,323"
2018-12-26,4.9,4.9,4.6,4.6,4.8,"606,179"
2018-12-24,4.7,4.8,4.4,4.4,4.6,"547,285"
2018-12-23,4.4,4.5,4.3,4.4,4.4,"38,860"
2018-12-20,4.4,4.5,4.3,4.4,4.4,"151,843"
2018-12-19,4.4,4.5,4.3,4.4,4.4,"233,651"
2018-12-18,4.4,4.4,4.2,4.2,4.4,"322,275"
2018-12-17,4.3,4.3,4.1,4.2,4.2,"73,315"
2018-12-13,4.1,4.3,4.1,4.2,4.2,"38,103"
2018-12-12,4.2,4.3,4.2,4.2,4.2,"103,875"
2018-12-11,4.1,4.3,4.1,4.3,4.2,"76,775"
2018-12-10,4.2,4.3,4.2,4.3,4.2,"137,076"
2018-12-09,4.3,4.3,4.2,4.2,4.3,"61,612"
2018-12-06,4.3,4.5,4.2,4.3,4.2,"287,757"
2018-12-05,4.2,4.3,4.1,4.2,4.3,"228,057"
2018-12-04,4.2,4.2,4.1,4.2,4.2,"430,930"
2018-12-03,4,4.2,4,4,4.1,"624,574"
2018-12-02,4.1,4.1,3.9,4,4,"324,280"
2018-11-29,3.9,4,3.9,3.9,4,"569,952"
2018-11-28,4,4,3.9,4,3.9,"63,976"
2018-11-27,4,4,3.9,4,4,"17,100"
2018-11-26,3.9,4,3.8,3.9,3.9,"84,310"
2018-11-25,3.9,4,3.9,3.9,3.9,"20,065"
2018-11-22,4,4,3.9,3.9,3.9,"211,278"
2018-11-20,3.9,4,3.9,3.9,3.9,"28,700"
2018-11-19,3.9,4,3.9,3.9,4,"22,910"
2018-11-18,4,4,3.9,4,4,"165,483"
2018-11-15,3.9,4,3.9,4,3.9,"255,325"
2018-11-14,4,4.1,4,4,4,"371,734"
2018-11-13,4,4,3.9,4,4,"103,160"
2018-11-12,4,4,3.9,4,4,"7,584"
2018-11-11,3.9,4,3.9,4,4,"125,201"
2018-11-08,4,4,3.9,3.9,4,"40,380"
2018-11-07,4,4,3.9,4,3.9,"94,595"
2018-11-06,4,4.1,3.9,4,4,"88,191"
2018-11-05,4,4,3.9,4,4,"36,501"
2018-11-04,4,4.1,3.9,4,4,"121,065"
2018-11-01,4.1,4.1,3.9,4.1,4,"95,880"
2018-10-31,4,4.2,3.9,4,4,"141,182"
2018-10-30,4,4.1,4,4.1,4,"74,254"
2018-10-29,4.1,4.1,4,4.1,4.1,"12,857"
2018-10-28,4,4.1,4,4.1,4,"253,176"
2018-10-25,4.1,4.1,4,4,4.1,"166,450"
2018-10-24,4.1,4.1,4,4.1,4.1,"138,169"
2018-10-23,4.1,4.1,4,4.1,4.1,"146,875"
2018-10-22,4.1,4.1,4,4,4.1,"181,208"
2018-10-21,4.1,4.1,4,4,4,"65,897"
2018-10-18,4,4.1,4,4,4,"10,423"
2018-10-17,4,4.1,4,4.1,4,"90,663"
2018-10-16,4.1,4.1,4,4,4,"82,869"
2018-10-15,4.1,4.1,4,4,4.1,"59,640"
2018-10-14,4,4.1,4,4,4,"64,258"
2018-10-11,4,4.1,4,4.1,4,"136,972"
2018-10-10,4,4.1,4,4,4,"234,568"
2018-10-09,4,4.2,4,4.1,4,"128,543"
2018-10-08,4.1,4.2,4.1,4.2,4.2,"213,838"
2018-10-07,4.2,4.2,4.1,4.1,4.1,"217,867"
2018-10-04,4.1,4.3,4.1,4.2,4.2,"193,911"
2018-10-03,4.2,4.3,4.1,4.3,4.2,"92,685"
2018-10-02,4.2,4.2,4.1,4.1,4.2,"49,950"
2018-10-01,4.1,4.2,3.9,3.9,4.1,"110,780"
2018-09-30,4,4.1,3.9,4,4,"130,255"
2018-09-27,4,4.1,3.9,4,4,"339,866"
2018-09-26,4,4.2,4,4.2,4,"213,321"
2018-09-25,4.2,4.2,4.1,4.1,4.2,"4,182"
2018-09-24,4.2,4.3,4.1,4.3,4.2,"128,130"
2018-09-23,4.3,4.3,4.2,4.2,4.3,"230,300"
2018-09-20,4.2,4.2,4.1,4.2,4.2,"50,380"
2018-09-19,4.2,4.3,4.2,4.3,4.2,"60,100"
2018-09-18,4.2,4.4,4.2,4.3,4.3,"338,962"
2018-09-17,4.3,4.3,4.2,4.2,4.3,"94,900"
2018-09-16,4.3,4.3,4.2,4.3,4.2,"205,200"
2018-09-13,4.2,4.3,4.1,4.1,4.2,"151,833"
2018-09-12,4.1,4.2,4.1,4.2,4.2,"174,400"
2018-09-11,4.2,4.3,4.2,4.2,4.2,"74,777"
2018-09-10,4.2,4.3,4.2,4.2,4.2,"283,211"
2018-09-09,4.3,4.3,4.1,4.2,4.2,"133,406"
2018-09-06,4.3,4.3,4.1,4.2,4.2,"150,817"
2018-09-05,4.2,4.2,4.1,4.1,4.2,"81,577"
2018-09-04,4.2,4.2,4.1,4.2,4.1,"158,600"
2018-09-03,4.2,4.4,4.2,4.3,4.2,"268,152"
2018-08-30,4.3,4.3,4.2,4.3,4.3,"57,072"
2018-08-29,4.3,4.4,4.2,4.3,4.3,"442,525"
2018-08-28,4.4,4.4,4.3,4.4,4.4,"75,259"
2018-08-27,4.4,4.5,4.3,4.4,4.4,"68,451"
2018-08-26,4.4,4.5,4.4,4.5,4.4,"81,705"
2018-08-20,4.5,4.5,4.3,4.4,4.5,"147,520"
2018-08-19,4.5,4.5,4.2,4.5,4.4,"153,166"
2018-08-16,4.5,4.5,4.1,4.1,4.5,"451,114"
2018-08-14,4.1,4.1,3.9,4,4.1,"397,080"
2018-08-13,3.9,4,3.8,3.9,3.8,"1,492,209"
2018-08-12,3.9,4.3,3.8,4.2,3.9,"1,975,622"
2018-08-09,4.2,4.4,4,4.3,4.2,"1,010,621"
2018-08-08,4.4,4.5,4.1,4.4,4.4,"892,008"
2018-08-07,4.5,4.9,4.5,4.9,4.5,"842,576"
2018-08-06,4.9,4.9,4.8,4.9,4.9,"38,575"
2018-08-05,4.8,5.1,4.8,5,5,"21,340"
2018-08-02,4.9,5.6,4.9,5.6,4.9,"215,877"
2018-08-01,5.2,5.2,5.2,5.2,5.2,"255,751"
2018-07-31,4.8,4.8,4.4,4.5,4.8,"634,538"
2018-07-30,4.4,4.5,4.4,4.4,4.4,"217,856"
