DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,7.3,7.3,7.3,7.3,7.3,600
2019-06-27,7.3,7.3,7.3,7.3,7.3,"2,500"
2019-06-26,7.4,7.4,7.4,7.4,7.4,"7,000"
2019-06-25,7.3,7.3,7.1,7.3,7.3,"7,099"
2019-06-24,7.3,7.3,7.3,7.3,7.3,"2,500"
2019-06-18,7.3,7.3,7.3,7.3,7.3,"3,520"
2019-06-17,7.3,7.3,7.3,7.3,7.3,"1,200"
2019-06-16,6.8,7.3,6.8,7.3,7,"23,300"
2019-06-12,7.5,7.9,7.3,7.3,7.5,"12,440"
2019-06-11,7.1,7.3,7,7,7.2,"15,000"
2019-06-10,7.4,7.4,6.8,6.8,7.3,"3,900"
2019-06-09,7.2,7.2,7.2,7.2,7.2,"6,000"
2019-05-29,7.2,7.3,7.2,7.2,7.2,"10,200"
2019-05-28,7.2,7.4,7.1,7.4,7.2,"4,300"
2019-05-27,7.2,7.2,7.2,7.2,7.2,"2,000"
2019-05-26,7.1,7.1,7.1,7.1,7.1,15
2019-05-22,7.1,7.1,7.1,7.1,7.1,10
2019-05-20,6.8,6.8,6.8,6.8,6.8,"1,500"
2019-05-19,7.1,7.1,7.1,7.1,7.1,20
2019-05-14,7.1,7.2,7,7.1,7.2,"34,680"
2019-05-12,6.7,7.2,6.7,7.2,6.7,"57,980"
2019-05-07,6.8,7,6.8,7,6.8,"172,500"
2019-05-06,7.1,7.1,7.1,7.1,7.1,"7,490"
2019-05-05,7.1,7.1,7.1,7.1,7.1,"7,500"
2019-05-02,7.1,7.1,7.1,7.1,7.1,400
2019-04-30,7,7,6.9,6.9,7,"12,050"
2019-04-29,7.2,7.2,7,7,7.1,"3,000"
2019-04-28,6.9,6.9,6.9,6.9,6.9,"5,000"
2019-04-25,7.1,7.1,6.9,6.9,6.9,"13,400"
2019-04-21,7.1,7.1,7.1,7.1,7.1,1
2019-04-18,6.9,7.1,6.9,7.1,6.9,"20,001"
2019-04-17,6.9,6.9,6.9,6.9,6.9,"2,000"
2019-04-16,6.8,6.8,6.8,6.8,6.8,"8,000"
2019-04-10,6.8,6.8,6.8,6.8,6.8,"26,500"
2019-04-09,6.8,6.8,6.8,6.8,6.8,"1,000"
2019-04-07,6.8,6.9,6.8,6.9,6.8,"6,000"
2019-04-04,6.9,6.9,6.8,6.8,6.8,"2,500"
2019-04-03,7.2,7.2,6.8,6.8,7.1,"4,754"
2019-04-02,6.8,6.9,6.8,6.9,6.8,"5,000"
2019-04-01,6.8,6.8,6.8,6.8,6.8,"7,000"
2019-03-31,7,7,6.8,6.8,6.8,"4,010"
2019-03-28,6.9,6.9,6.8,6.8,6.8,"11,802"
2019-03-27,6.9,6.9,6.8,6.8,6.8,"12,100"
2019-03-21,6.8,6.8,6.8,6.8,6.8,"1,150"
2019-03-20,6.8,6.8,6.8,6.8,6.8,"3,510"
2019-03-19,6.6,6.8,6.6,6.8,6.7,"9,900"
2019-03-18,6.5,7.1,6.5,7.1,6.7,"65,200"
2019-03-14,7.4,7.4,7.1,7.1,7.2,"4,900"
2019-03-13,7,7.2,7,7.2,7,501
2019-03-12,6.9,7.2,6.9,7.2,7,"20,000"
2019-03-10,7.2,7.2,7.2,7.2,7.2,"4,000"
2019-03-07,7.3,7.3,7.2,7.2,7.3,"2,500"
2019-03-06,7.2,7.2,7.2,7.2,7.2,500
2019-02-26,7.2,7.5,7.2,7.5,7.4,"2,500"
2019-02-24,7.2,7.2,7.2,7.2,7.2,"1,500"
2019-02-20,7.4,7.5,7.3,7.5,7.5,"48,166"
2019-02-19,7.5,7.5,7.4,7.4,7.5,"10,000"
2019-02-18,7.5,7.5,7.5,7.5,7.5,"5,100"
2019-02-17,7.6,7.6,7.2,7.5,7.2,"255,366"
2019-02-14,7.4,7.4,7.4,7.4,7.4,"2,800"
2019-02-12,7.6,7.6,7.5,7.5,7.6,"78,000"
2019-02-11,7.2,7.4,7.2,7.3,7.3,"22,216"
2019-02-10,7.2,7.2,7.2,7.2,7.2,"58,500"
2019-02-07,7.3,7.4,7.3,7.4,7.4,"53,510"
2019-02-06,7.5,7.7,7.4,7.4,7.6,"66,070"
2019-02-05,7.3,7.5,7.3,7.3,7.4,"15,072"
2019-02-04,7.5,7.5,7.2,7.4,7.3,"55,584"
2019-02-03,7.5,7.5,7.4,7.5,7.5,"30,284"
2019-01-31,7.6,7.6,7.3,7.3,7.3,"6,140"
2019-01-30,7.2,7.3,7,7.3,7.2,"31,000"
2019-01-29,7.3,7.5,7.3,7.5,7.4,"15,000"
