DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,60.1,60.8,59.7,59.8,60.3,"270,657"
2019-06-27,59.4,61.5,59.3,60.9,59.7,"669,323"
2019-06-26,61,61.5,60.6,60.6,60.9,"80,356"
2019-06-25,60.5,61.7,60.4,61.1,60.6,"311,175"
2019-06-24,61.1,61.4,60.8,61,61.3,"204,570"
2019-06-23,61.5,61.7,60.9,61.2,61,"131,636"
2019-06-20,61,63.4,60.6,62.2,61.1,"196,410"
2019-06-19,62.3,62.9,61.1,61.1,62.2,"159,506"
2019-06-18,61.7,61.7,60.5,61,61.3,"108,129"
2019-06-17,60.7,62,60.4,62,60.8,"214,004"
2019-06-16,62.1,62.9,62,62.8,62.1,"167,261"
2019-06-13,62.7,63.2,62.3,62.6,62.8,"200,484"
2019-06-12,62.5,62.7,62.1,62.5,62.6,"104,937"
2019-06-11,62.5,63,62.3,62.5,62.5,"494,501"
2019-06-10,62.6,62.7,62.2,62.4,62.5,"75,169"
2019-06-09,62.8,62.8,62.1,62.6,62.5,"23,813"
2019-05-30,62.8,62.9,61.8,61.8,62.6,"73,268"
2019-05-29,61.6,62.5,61.5,62.5,61.6,"116,228"
2019-05-28,62.5,62.5,61.6,61.7,62.3,"222,160"
2019-05-27,61.5,61.6,61.2,61.4,61.5,"97,425"
2019-05-26,61.4,61.5,60.1,60.1,61.4,"80,762"
2019-05-23,61.3,61.3,60.8,61,61.2,"75,918"
2019-05-22,61.4,61.5,60.1,61,61.2,"101,218"
2019-05-21,61,61.4,60,60.3,60.4,"255,510"
2019-05-20,60.8,61.3,60.7,61,61,"235,333"
2019-05-19,61.4,62,59.9,59.9,61.4,"128,323"
2019-05-16,59.2,59.4,58.9,59,59,"100,740"
2019-05-15,59,59.5,58.4,59.2,59,"123,165"
2019-05-14,58.2,59.4,58,59.4,58.3,"159,780"
2019-05-13,59.5,60,59,60,59.3,"91,039"
2019-05-12,59.8,60.2,59.8,59.8,60,"43,964"
2019-05-09,59.5,60,59,60,59.5,"81,366"
2019-05-08,59.5,60.2,59.4,59.7,59.6,"138,071"
2019-05-07,60,61.7,59,61.7,59.8,"157,570"
2019-05-06,60.2,62.5,60.2,62.5,60.7,"154,521"
2019-05-05,63.1,63.3,62,62,63,"98,470"
2019-05-02,61.5,61.9,60.1,61,61.2,"58,608"
2019-04-30,61,61.9,59,59,61,"67,704"
2019-04-29,58,60,58,60,58.7,"159,744"
2019-04-28,60,60.2,59.8,59.8,60,"124,384"
2019-04-25,60.3,60.3,59.6,60,60.1,"158,261"
2019-04-24,59.9,60,59.5,59.7,59.9,"117,161"
2019-04-23,60.1,60.7,59.8,60.6,60,"153,900"
2019-04-21,60.7,62.1,60.6,62.1,60.7,"72,520"
2019-04-18,61.4,61.9,60.2,61.2,60.7,"87,721"
2019-04-17,60.9,62.5,60.9,61.1,61.1,"46,789"
2019-04-16,62.4,62.5,60,61.4,62,"110,246"
2019-04-15,61.7,62.8,60.5,62.8,61.4,"42,309"
2019-04-11,62.7,64.8,62.5,63,62.8,"97,444"
2019-04-10,62.5,65.5,62.5,63.3,63,"92,198"
2019-04-09,63.3,66,63.3,65.5,63.4,"139,548"
2019-04-08,63.9,64.2,63.7,64.1,63.9,"254,241"
2019-04-07,64.8,64.8,64.5,64.7,64.6,"84,933"
2019-04-04,65.4,65.5,64.6,64.6,65.1,"179,315"
2019-04-03,65,65.9,64.9,65.3,65,"353,006"
2019-04-02,65.9,66,65.3,66,65.5,"195,639"
2019-04-01,65.6,66.6,65.1,66,65.3,"285,316"
2019-03-31,66.1,66.5,65.4,65.4,66,"184,961"
2019-03-28,65.7,66.4,64.7,65.8,65.6,"174,581"
2019-03-27,65.1,66.9,64.6,65.5,65,"208,800"
2019-03-25,64.6,65.9,64.5,65,65.5,"205,296"
2019-03-24,65.2,65.2,64.7,65,65,"194,115"
2019-03-21,65,66.2,64.1,65.4,64.7,"196,993"
2019-03-20,65.5,67.7,63.9,66.8,65,"531,848"
2019-03-19,66.9,67,65.7,65.9,66.6,"573,212"
2019-03-18,65.7,67,65.7,66.2,65.9,"569,829"
2019-03-14,65.5,66.5,64.9,64.9,65.8,"573,107"
2019-03-13,65,66.2,64.9,65.6,65,"1,096,442"
2019-03-11,69.2,69.5,68.5,69,69.2,"695,962"
