DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,81.2,81.7,80.5,80.7,81.1,"327,034"
2019-06-27,80.1,80.8,79.6,80.5,80.5,"144,686"
2019-06-26,79.9,80,79,79.4,79.5,"254,744"
2019-06-25,79.4,79.4,78.2,79.2,78.6,"219,849"
2019-06-24,79,79.7,78.4,79.5,78.7,"111,577"
2019-06-23,79.3,81,79.3,81,79.5,"99,071"
2019-06-20,80.8,81.7,80.2,81.1,80.8,"88,160"
2019-06-19,81,81.9,80.6,81,81.4,"94,763"
2019-06-18,80.9,80.9,79.3,80.9,80.4,"126,155"
2019-06-17,79.6,83,79.6,83,80.1,"181,284"
2019-06-16,83,84.5,82.8,84.5,82.9,"145,427"
2019-06-13,83.5,84.9,83.1,84.8,83.8,"126,000"
2019-06-12,84.7,85.7,83.7,85.3,84.6,"141,800"
2019-06-11,85,85.4,82.7,82.7,85.1,"321,893"
2019-06-10,82.6,82.7,80.8,81,82.5,"151,637"
2019-06-09,81,81.1,80.2,81.1,80.5,"59,373"
2019-05-30,80.7,80.9,80,80.8,80.7,"67,453"
2019-05-29,80.2,80.7,79.5,79.6,80,"66,085"
2019-05-28,79.8,79.9,78,78.1,79.8,"66,520"
2019-05-27,78.3,79.4,77.5,79.4,77.9,"113,591"
2019-05-26,78.1,79.5,77.5,79.5,78,"100,606"
2019-05-23,79.5,80.2,79.4,79.9,79.5,"31,441"
2019-05-22,79.9,81.1,79.3,79.7,80.2,"70,331"
2019-05-21,79.5,81.2,79.1,81.2,79.5,"132,623"
2019-05-20,81.3,81.5,79.9,80.6,81,"167,047"
2019-05-19,80.2,80.7,78.8,78.8,80.1,"129,897"
2019-05-16,78.2,78.7,78,78.6,78.2,"63,560"
2019-05-15,78,79.5,77.9,79.4,78.1,"75,905"
2019-05-14,78.8,79.8,78.1,79.4,78.3,"79,924"
2019-05-13,79.4,80.9,79.2,80.6,79.4,"112,407"
2019-05-12,80.6,81.9,80.3,81.4,80.5,"80,682"
2019-05-09,81.5,81.7,80.8,81.7,81.3,"95,586"
2019-05-08,81,82.9,80.5,82.5,80.9,"112,349"
2019-05-07,82.2,84,81.6,81.9,82.1,"586,959"
2019-05-06,81.6,82.7,80.4,82.6,80.8,"206,162"
2019-05-05,81.3,82.5,77.9,77.9,81.8,"445,064"
2019-05-02,77.2,77.9,75.5,75.8,77,"237,305"
2019-04-30,75.3,76,73.1,73.8,75.3,"233,529"
2019-04-29,73.4,78.2,73.1,78.2,73.4,"370,693"
2019-04-28,78.4,80,78.2,79.9,78.4,"131,526"
2019-04-25,79.4,81.3,79,81,79.3,"230,387"
2019-04-24,80.5,82.4,80.1,82.4,80.7,"136,776"
2019-04-23,81,82.8,80.8,82.8,81.2,"143,151"
2019-04-21,82.5,84.8,82.5,83.9,82.7,"272,993"
2019-04-18,84,84.8,82.4,82.5,83.7,"179,570"
2019-04-17,83,83.2,80.7,83.2,82.1,"193,220"
2019-04-16,82.1,84.1,82.1,84.1,82.3,"189,908"
2019-04-15,83.8,84.5,83.7,84.5,84.1,"141,008"
2019-04-11,84.4,84.4,82.9,83.1,83.6,"178,918"
2019-04-10,83,84.1,82.8,83.6,83.1,"147,087"
2019-04-09,83.5,85.3,83.3,84.9,83.7,"159,602"
2019-04-08,85.3,85.6,82.4,84.2,84.1,"270,158"
2019-04-07,84.1,85.9,84,85.6,84.8,"176,708"
2019-04-04,86,86,84.7,86,85.1,"153,035"
2019-04-03,85.8,86.2,84.6,86.2,85.4,"197,546"
2019-04-02,86.2,87.1,85.9,86.9,86.5,"242,647"
2019-04-01,86.8,88,85.7,86.3,86.6,"209,812"
2019-03-31,86.4,87.8,86,87.5,86.3,"151,954"
2019-03-28,87.5,88,87.3,87.6,87.5,"85,925"
2019-03-27,87.5,88.1,87.2,87.3,87.5,"81,085"
2019-03-25,87,88.4,86.8,87.7,87,"173,122"
2019-03-24,87,89.5,86.7,89.5,86.9,"300,662"
2019-03-21,89.4,89.7,87.7,88.8,89.3,"348,211"
2019-03-20,88.3,90.5,86.3,86.9,88.5,"686,956"
2019-03-19,86.5,87.6,84.9,85.1,86.9,"669,416"
2019-03-18,85.5,87.2,84,87.2,85,"510,827"
2019-03-14,86.6,89.2,86.6,89,87,"366,557"
2019-03-13,88,90.8,87.9,90.8,88.4,"339,298"
2019-03-12,90.3,92.9,88,92.5,90.8,"330,538"
2019-03-11,91.8,94.1,91.8,93.1,92.3,"527,557"
2019-03-10,93,94.2,92.6,93.5,93.1,"392,889"
2019-03-07,93.1,95.5,92.3,95,92.6,"879,936"
2019-03-06,94.7,97.9,94.5,97.9,94.8,"789,002"
2019-03-05,98.2,100.8,98.2,100.8,98.6,"274,868"
2019-03-04,99.9,101.5,99.6,101,99.9,"171,977"
2019-03-03,100.8,101.5,100,100.4,100.2,"240,053"
2019-02-27,100.5,101.5,100,100,100.2,"260,654"
2019-02-26,100.9,102.1,100.8,102.1,101.1,"212,450"
2019-02-25,101.8,103,101.5,102.4,101.9,"126,697"
2019-02-24,101.9,103.8,101.9,102.6,102.4,"325,768"
2019-02-20,103.1,103.3,101.5,101.6,103,"482,870"
2019-02-19,102.4,102.4,100.7,100.8,101.7,"341,646"
2019-02-18,101.6,102.3,100,101.3,100.8,"593,957"
2019-02-17,101.7,101.9,99.9,100.3,101.2,"411,887"
2019-02-14,100.3,102,100.1,102,100.3,"336,166"
2019-02-13,101,102.8,100.9,101.5,101.2,"204,048"
