DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,4.7,4.9,4.7,4.8,4.9,"157,361"
2019-06-27,4.9,5,4.7,4.7,4.8,"109,277"
2019-06-26,4.8,4.9,4.8,4.8,4.9,"282,998"
2019-06-25,4.9,5,4.8,5,4.9,"308,183"
2019-06-24,4.8,4.9,4.5,4.6,4.9,"856,732"
2019-06-23,4.5,4.6,4.5,4.5,4.6,"97,126"
2019-06-20,4.6,4.6,4.5,4.5,4.5,"45,479"
2019-06-19,4.6,4.6,4.5,4.5,4.6,"19,709"
2019-06-18,4.6,4.7,4.5,4.5,4.6,"22,818"
2019-06-17,4.5,4.6,4.5,4.6,4.5,"15,626"
2019-06-16,4.6,4.7,4.6,4.6,4.6,"22,553"
2019-06-13,4.6,4.7,4.6,4.6,4.6,"89,799"
2019-06-12,4.7,4.7,4.6,4.6,4.6,"103,152"
2019-06-11,4.7,4.8,4.5,4.8,4.6,"97,613"
2019-06-10,4.6,4.8,4.6,4.7,4.7,"88,463"
2019-06-09,4.7,4.7,4.5,4.7,4.7,"68,128"
2019-05-30,4.6,4.7,4.5,4.7,4.5,"87,493"
2019-05-29,4.6,4.6,4.5,4.6,4.6,"86,500"
2019-05-28,4.5,4.6,4.5,4.5,4.5,"1,673"
2019-05-27,4.4,4.6,4.4,4.5,4.5,"43,206"
2019-05-26,4.5,4.6,4.4,4.5,4.5,"185,392"
2019-05-23,4.4,4.5,4.4,4.5,4.5,"50,547"
2019-05-22,4.5,4.5,4.4,4.4,4.4,"171,293"
2019-05-21,4.4,4.5,4.4,4.4,4.5,"177,415"
2019-05-20,4.4,4.5,4.3,4.5,4.4,"159,892"
2019-05-19,4.4,4.5,4.4,4.4,4.5,"319,485"
2019-05-16,4.4,4.4,4.3,4.3,4.3,"405,606"
2019-05-15,4.3,4.3,4.2,4.3,4.2,"2,400,698"
2019-05-14,4.4,4.4,4.3,4.3,4.3,"564,890"
2019-05-13,4.4,4.5,4.3,4.3,4.4,"768,383"
2019-05-12,4.4,4.4,4.3,4.3,4.3,"36,441"
2019-05-09,4.4,4.4,4.3,4.3,4.3,"2,238"
