DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,7.2,7.3,7.2,7.2,7.3,"31,968"
2019-06-27,7.3,7.4,7.2,7.2,7.2,"531,583"
2019-06-26,7.3,7.5,7.3,7.4,7.3,"43,649"
2019-06-25,7.3,7.5,7.2,7.2,7.5,"244,311"
2019-06-24,7.3,7.3,7,7,7.2,"106,891"
2019-06-23,6.9,7.1,6.9,7.1,7,"573,988"
2019-06-20,7.1,7.1,7,7.1,7.1,"21,780"
2019-06-19,7.1,7.1,7,7.1,7.1,"14,185"
2019-06-18,7.1,7.1,7,7,7.1,"12,978"
2019-06-17,7,7.1,7,7,7.1,"88,556"
2019-06-16,7.2,7.2,7,7.1,7.1,"14,446"
2019-06-13,7.1,7.1,7,7,7.1,"9,235"
2019-06-12,7.1,7.1,6.9,6.9,7,"65,100"
2019-06-11,7,7.1,6.9,7,7,"3,930"
2019-06-10,7,7,6.9,6.9,7,"2,371"
2019-06-09,6.9,7,6.9,6.9,7,"25,590"
2019-05-30,6.9,7,6.9,6.9,7,"21,356"
2019-05-29,6.9,6.9,6.9,6.9,6.9,"4,337"
2019-05-28,6.9,7,6.8,6.9,6.9,"11,825"
2019-05-27,7,7,6.8,6.9,6.9,"16,541"
2019-05-26,6.9,6.9,6.8,6.8,6.8,"12,806"
2019-05-23,6.8,6.9,6.8,6.8,6.8,"14,183"
2019-05-22,6.9,6.9,6.9,6.9,6.9,"13,280"
2019-05-21,6.9,7,6.9,6.9,7,"7,870"
2019-05-20,6.9,7,6.9,6.9,6.9,"18,730"
2019-05-19,6.8,6.9,6.8,6.9,6.9,"12,000"
2019-05-16,6.8,6.8,6.8,6.8,6.8,564
2019-05-15,6.9,7,6.9,6.9,6.9,"2,130"
2019-05-14,6.9,6.9,6.9,6.9,6.9,"1,500"
2019-05-13,6.9,6.9,6.9,6.9,6.9,"1,000"
2019-05-12,7,7,6.9,6.9,6.9,"12,500"
2019-05-09,6.9,7,6.9,7,7,190
2019-05-08,7,7,7,7,7,"3,600"
2019-05-07,6.9,7,6.9,7,7,"17,803"
2019-05-06,7,7,6.9,6.9,7,"47,120"
2019-05-05,7,7,6.8,6.8,7,"86,775"
2019-05-02,6.8,6.8,6.8,6.8,6.8,"33,200"
