DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,27.8,27.8,26.2,26.2,27,682
2019-06-27,26.4,28.5,26.4,28.5,26.8,"2,981"
2019-06-26,27.8,28,26.7,27.1,26.9,"1,572"
2019-06-25,27,27.7,26.9,27,27.1,"1,786"
2019-06-24,27.7,28.9,26.9,28.9,27.2,"11,770"
2019-06-23,27.6,28.9,27.6,28.9,28,"8,382"
2019-06-20,27.9,28.2,25.5,25.5,27.7,"11,044"
2019-06-19,26.9,26.9,25.5,26,25.8,"6,455"
2019-06-18,26,27.8,26,26.4,26.4,"5,460"
2019-06-17,26.5,27.4,26.5,27.4,26.9,"10,064"
2019-06-16,28,29,27,27,27.1,"17,938"
2019-06-13,26.7,28.3,26.7,27.3,26.8,"24,927"
2019-06-12,27.6,28.3,27.5,28,27.6,"19,959"
2019-06-11,28,29.9,27.9,28.8,28.1,"40,906"
2019-06-10,30,31.8,28.2,31.8,29.6,"19,224"
2019-06-09,31,31.8,29.4,31.8,30.7,"5,850"
2019-05-30,29.8,31.6,28.5,31.4,29.5,"49,787"
2019-05-29,31.6,32.9,31.5,32.9,31.6,"24,345"
2019-05-28,32,32,31.3,31.3,31.9,"22,341"
2019-05-27,31.2,31.4,28.8,28.8,30.7,"14,541"
2019-05-26,31.4,33.5,31.4,32.4,31.7,"97,375"
2019-05-23,32.2,33,31,31,32.2,"100,604"
2019-05-22,30.5,32.2,30,30.1,30.6,"84,202"
2019-05-21,29,29.4,28,28.1,29.3,"22,984"
2019-05-20,28.9,29.8,27.9,29.8,28.3,"32,621"
2019-05-19,29.5,30.5,28,30.5,28.6,"10,135"
2019-05-16,28.1,29.5,27.6,29.5,27.9,"16,515"
2019-05-15,28.4,29,27.8,29,27.9,"14,296"
2019-05-14,27.8,28.8,25.1,25.1,27.7,"13,129"
2019-05-13,28.5,28.5,26.8,28.1,27.5,"25,094"
2019-05-12,28.3,29,28.1,28.1,28.4,"30,997"
2019-05-09,29,30.1,27.7,29.6,29.3,"11,162"
2019-05-08,29.5,30.4,28,28.5,29.2,"20,499"
2019-05-07,28.1,30.5,28.1,28.3,29.7,"33,845"
2019-05-06,28,29.9,27.2,27.2,28.6,"14,967"
2019-05-05,30.6,31.2,29.3,29.3,30,"216,581"
2019-05-02,28.4,28.4,25.6,25.6,28.4,"120,120"
2019-04-30,26,26.6,25,26.6,25.9,"9,635"
