DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,32.3,33.3,32.1,33.2,32.4,"321,899"
2019-06-27,33.2,34,33.1,33.8,33.3,"337,569"
2019-06-26,33.7,34,32,32,33.8,"560,935"
2019-06-25,32.1,32.1,31.5,31.8,31.8,"295,574"
2019-06-24,31.5,32.8,31.4,32.2,31.6,"344,914"
2019-06-23,32.3,33.5,32,33.5,32.2,"264,416"
2019-06-20,33.2,34.1,32.9,34.1,33.1,"235,488"
2019-06-19,33.5,34.1,33.2,34,33.5,"174,627"
2019-06-18,33.7,34.2,33,33.4,33.4,"375,198"
2019-06-17,33.4,34.5,33.2,34.5,33.4,"336,587"
2019-06-16,34,35.4,33.8,34.8,34,"353,482"
2019-06-13,34.7,35.3,34.5,35.3,34.7,"433,454"
2019-06-12,35,35.9,34.8,35.9,35.1,"293,191"
2019-06-11,35.8,35.9,35.1,35.1,35.6,"320,035"
2019-06-10,35,35.3,34.4,34.7,35.1,"288,655"
2019-06-09,34.3,34.8,34.1,34.6,34.2,"159,389"
2019-05-30,34.8,34.8,34.1,34.6,34.4,"185,849"
2019-05-29,34.5,35.1,34.3,35,34.4,"318,309"
2019-05-28,35,35,34.3,34.7,34.7,"160,967"
2019-05-27,34,34.9,34,34.5,34.1,"216,357"
2019-05-26,34.5,35.7,34.2,35.3,34.4,"222,687"
2019-05-23,35.3,36.5,35.2,36.2,35.3,"300,486"
2019-05-22,35.8,36.9,35.2,36.2,35.6,"437,750"
2019-05-21,35.7,36.2,35.5,35.7,35.7,"145,323"
2019-05-20,35.7,37.5,35.6,36.9,36.1,"436,498"
2019-05-19,36.7,37,35.5,35.8,36.7,"491,566"
2019-05-16,34.6,36,34.6,35.4,35.1,"317,939"
2019-05-15,35.5,36.3,35.3,35.8,35.4,"126,545"
2019-05-14,35.8,36.6,35.6,36.2,35.8,"156,441"
2019-05-13,36.4,37.1,36.2,37,36.2,"150,689"
2019-05-12,37.2,38.1,36.6,38,36.8,"347,820"
2019-05-09,37.7,38,36.4,36.4,37.6,"553,395"
2019-05-08,35.8,37,35.7,36.9,35.9,"251,118"
2019-05-07,36.7,38,36.5,37.4,36.6,"444,338"
2019-05-06,36.5,38.7,36.5,38.4,36.9,"774,518"
2019-05-05,38.2,38.7,36.5,36.5,38.3,"758,434"
2019-05-02,36.4,36.7,34.7,36,36.5,"854,243"
2019-04-30,36.7,36.7,35,35.1,36.3,"502,789"
2019-04-29,35,35.3,33.9,35.3,34.6,"255,797"
2019-04-28,34.9,35.8,34.7,35.2,35,"246,437"
2019-04-25,35,35.4,34,34.3,35.1,"280,104"
2019-04-24,33.7,34.6,33.6,34.6,33.8,"306,584"
2019-04-23,34.3,36,34.3,36,34.5,"292,065"
2019-04-21,36.3,36.9,35.5,36,35.9,"445,826"
2019-04-18,35.9,35.9,34.2,34.3,35.7,"349,084"
2019-04-17,34.4,35,34.1,35,34.2,"164,985"
2019-04-16,34.7,35.3,34.4,35.1,34.7,"183,248"
2019-04-15,35.5,36.7,35,36.5,35.6,"240,442"
2019-04-11,36.7,36.7,35.3,35.6,36.3,"222,372"
2019-04-10,35,36.2,35,36,35.1,"301,290"
2019-04-09,35.8,37.2,35.5,36.8,35.9,"263,597"
2019-04-08,36.7,38.3,36.2,38.2,36.6,"332,882"
2019-04-07,38,39.3,37.9,39.1,38,"203,257"
2019-04-04,39,39.4,38.6,39,39.1,"247,819"
2019-04-03,39.3,40.2,38.8,40,39,"329,888"
2019-04-02,39.9,40.7,39.3,39.3,39.8,"306,007"
2019-04-01,39.5,40.1,39.1,39.8,39.2,"314,862"
2019-03-31,39.8,41.2,39.7,41.2,39.9,"340,593"
2019-03-28,40.8,42.5,40.7,41.5,40.9,"396,838"
2019-03-27,41.6,41.8,38.9,39.2,40.9,"633,054"
2019-03-25,38.7,39.5,38.6,38.8,38.8,"236,522"
2019-03-24,38.6,39.5,38.5,38.9,38.6,"269,692"
2019-03-21,38.9,39.9,38.6,39,38.8,"237,287"
2019-03-20,39.2,40.7,38.3,38.5,39,"789,348"
2019-03-19,38.4,38.9,37.2,38,38.4,"403,631"
2019-03-18,37.8,40,37.6,40,37.8,"444,935"
2019-03-14,39.5,42.1,39.5,41.5,39.9,"808,127"
2019-03-13,41.4,43.6,41.3,43.1,41.6,"468,006"
2019-03-12,43.3,44.5,43.1,43.6,43.4,"684,182"
2019-03-11,43.6,43.8,43.2,43.6,43.6,"214,504"
2019-03-10,43.5,44.8,43.2,44.6,43.4,"734,322"
2019-03-07,44.1,44.6,43.6,44.2,43.7,"532,253"
2019-03-06,43.8,45.6,43.7,44.8,44.1,"618,084"
2019-03-05,44.7,46,44.1,45.5,44.8,"530,779"
2019-03-04,45,47,44.8,46.7,45.3,"597,023"
2019-03-03,46.9,47.3,43.7,43.9,47,"1,091,768"
2019-02-27,43.7,44.8,43.3,44.7,43.5,"641,170"
2019-02-26,45,45.7,44.6,45.2,44.8,"465,447"
2019-02-25,45.2,46.2,45.1,46,45.2,"315,732"
2019-02-24,45.9,46.6,45.4,46.6,45.7,"376,901"
2019-02-20,46.2,46.8,45.6,46.8,45.9,"350,355"
2019-02-19,46.5,46.9,45.8,46.5,46.2,"359,824"
2019-02-18,46.4,47.4,46.2,46.9,46.4,"582,108"
2019-02-17,46.9,48,46.5,47.8,46.7,"554,304"
2019-02-14,47.1,48.7,46.9,48.2,47.1,"912,341"
2019-02-13,48,49.4,47.4,47.5,48,"1,092,527"
2019-02-12,47.1,47.5,46,46.6,47.3,"787,428"
2019-02-11,46.3,47.5,45.8,47.5,46.2,"964,726"
2019-02-10,46.9,50,46.6,49.3,47.1,"820,441"
2019-02-07,49,49,47.4,47.8,48.4,"886,450"
2019-02-06,48,49.9,46.9,49.5,47.3,"511,791"
2019-02-05,48.3,50.4,48.2,49.8,48.6,"686,405"
2019-02-04,48.5,51.2,48.2,50.5,48.5,"1,026,242"
2019-02-03,49,53.2,48.6,53.1,50.7,"1,652,897"
2019-01-31,52.7,55.8,51.7,55.7,52.3,"3,207,634"
2019-01-30,50.8,50.8,45.6,46.5,50.8,"2,421,831"
2019-01-29,46.8,48.3,45.1,48.3,46.2,"1,274,481"
2019-01-28,48.2,51.5,45.7,51,47.7,"3,028,533"
2019-01-27,50.9,52.8,49.7,52,50.7,"1,418,698"
2019-01-24,52.1,53.7,51.5,53.6,51.9,"1,180,031"
2019-01-23,53.3,55.3,52.2,54.9,53.6,"2,297,780"
2019-01-22,55.8,57.8,54.9,57.6,55.3,"1,296,079"
2019-01-21,56.9,58.5,56.6,57.4,57.3,"1,963,361"
2019-01-20,56.6,56.8,55.5,56.8,56.6,"753,037"
2019-01-17,56.1,58.6,55.7,58.6,56.1,"1,517,423"
2019-01-16,57.7,60.6,57.4,60.5,58,"1,582,845"
2019-01-15,59.8,62.4,59.8,61.2,60.3,"1,873,213"
2019-01-14,61.4,61.4,58.4,59,61,"2,123,696"
2019-01-13,58.6,60.8,58.5,59.9,58.8,"1,172,471"
2019-01-10,59.2,60,58.3,58.4,59.2,"989,537"
2019-01-09,58.2,60.8,58,59,58.2,"1,217,851"
2019-01-08,59.3,61.8,58.5,61.4,58.9,"1,354,020"
2019-01-07,60.6,63.5,60.6,62.2,61.1,"1,751,906"
2019-01-06,61.5,64,61.5,62.5,62.2,"2,605,192"
2019-01-03,61.7,63,59,59,61.9,"2,412,937"
2019-01-02,58.5,59.8,57.8,57.8,58.7,"1,284,646"
2019-01-01,58,58.7,56.2,57.4,57.8,"519,780"
2018-12-27,56.4,58,55.7,57.9,56.2,"699,074"
2018-12-26,57.5,59.3,56.6,59.2,57,"846,299"
2018-12-24,58.5,59.5,57.5,58.5,58.4,"1,208,265"
2018-12-23,57.9,61.5,57.6,61,57.8,"1,114,761"
2018-12-20,59.6,61.7,58.1,58.2,60.4,"2,398,902"
2018-12-19,57.7,58.8,55.4,55.6,58.2,"1,582,905"
2018-12-18,55.2,55.8,53.7,54.2,55.1,"624,070"
2018-12-17,53.3,56.8,53.2,55.9,53.5,"548,072"
2018-12-13,56,58.9,55.2,57.2,55.9,"1,137,380"
2018-12-12,57.4,58,53.3,53.3,57,"1,392,885"
2018-12-11,53.3,55.6,52.5,55.2,52.9,"868,862"
2018-12-10,53.4,58,53.3,57.8,54.3,"1,261,538"
2018-12-09,56.8,59.8,56.8,59,57.3,"1,474,207"
2018-12-06,58.2,59.5,54.3,54.9,58.5,"2,182,491"
2018-12-05,54.1,57.5,54,56.8,54.6,"1,241,665"
2018-12-04,56.3,59.8,55.6,58.9,55.9,"1,754,791"
2018-12-03,57.7,59.5,57.3,58,58,"854,212"
2018-12-02,57.4,60.8,57,60.4,57.4,"1,607,387"
2018-11-29,59.8,62.6,59.5,62,60.4,"2,387,375"
2018-11-28,61.5,62.9,60.7,61.8,61.6,"1,651,218"
2018-11-27,61.5,63.5,60.2,63.2,61.1,"2,596,165"
2018-11-26,62.5,66.2,62.1,66,62.7,"2,832,952"
2018-11-25,65.6,68.8,64.7,66.7,65.4,"3,249,922"
2018-11-22,65,66.8,60.2,61.2,65.5,"3,524,663"
2018-11-20,61.5,64.8,61.2,64.3,61.8,"1,828,130"
2018-11-19,63.7,66.5,61.9,66.5,63.9,"6,670,220"
2018-11-15,67.9,69.5,64.5,64.9,67.1,"3,276,938"
2018-11-14,64.7,64.8,62.7,64,64.3,"1,266,058"
2018-11-13,63.6,64.3,60.8,60.8,63.3,"2,175,617"
2018-11-12,61.1,66.5,60.4,66.5,61.3,"2,123,049"
2018-11-11,64.6,67.1,63,63,66.5,"1,808,957"
2018-11-08,61.9,63.3,58.6,61,62.5,"2,739,867"
2018-11-07,59.6,62.3,59.5,62.1,60.6,"1,748,688"
2018-11-06,61.6,62.3,58.7,61.2,61.2,"1,831,230"
2018-11-05,60,61.9,56.1,57.9,60.4,"2,691,278"
2018-11-04,57.6,60.8,57,57,57.9,"1,911,980"
2018-11-01,55.5,55.5,50.5,51.3,55.5,"3,377,090"
2018-10-31,50.5,51.9,49.3,50.9,50.5,"1,721,217"
2018-10-30,51.1,52.3,48.4,48.5,50.9,"1,870,106"
2018-10-29,47.7,48.9,39.5,39.5,47.7,"2,989,506"
2018-10-28,38.5,42.9,38,42.9,39,"1,055,633"
2018-10-25,41.6,45,41.5,44.3,42,"1,291,821"
2018-10-24,43.5,48,43.5,48,44.3,"847,865"
2018-10-23,46,49.9,46,49.9,47,"692,349"
2018-10-22,48.7,50.4,48.4,48.7,48.7,"846,432"
2018-10-21,49.7,52.3,47,51.8,47.8,"838,776"
2018-10-18,51.4,53.5,50.7,52.3,51.1,"882,688"
