DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,26.5,26.8,25.5,25.8,26.3,"220,135"
2019-06-27,26,27,26,26.1,26.1,"268,661"
2019-06-26,26,26.3,24.4,25.3,26,"263,732"
2019-06-24,32.4,32.5,30.5,31.1,31.7,"453,777"
2019-06-23,31.3,32,31,32,31.2,"309,437"
2019-06-20,32.2,32.7,31.9,32.7,32,"305,970"
2019-06-19,32.8,32.8,32.2,32.2,32.7,"234,050"
2019-06-18,32.5,32.5,30.8,32.5,32.3,"166,842"
2019-06-17,32.3,33.7,32,33.2,32.2,"229,673"
2019-06-16,33,33.7,32.9,33.7,33,"237,131"
2019-06-13,33.5,34,33.4,33.5,33.6,"327,710"
2019-06-12,33.9,34.4,33.3,34,33.5,"184,971"
2019-06-11,33.6,34.8,32.8,34.8,33.3,"526,821"
2019-06-10,34.1,35,33.9,34.9,34.1,"163,664"
2019-06-09,34.8,35.4,34.8,35,34.9,"208,543"
2019-05-30,34.6,36,33.9,35.7,34.8,"511,783"
2019-05-29,35.7,36.1,35.2,35.3,35.5,"247,633"
2019-05-28,35.4,35.8,34.8,34.8,35.6,"723,035"
2019-05-27,34.7,35.2,34.4,34.4,34.8,"301,822"
2019-05-26,34.4,34.6,33.9,33.9,34.3,"102,447"
2019-05-23,34.3,34.6,33.8,34.2,34.3,"72,836"
2019-05-22,34.4,34.5,33.6,34.5,33.8,"65,532"
2019-05-21,34.5,35.5,33.6,34.2,34.1,"200,404"
2019-05-20,34.5,34.7,33.5,34.7,34.2,"101,653"
2019-05-19,34.4,35.3,34.2,34.7,34.5,"453,821"
2019-05-16,34.7,34.7,33.7,33.9,34.3,"80,824"
2019-05-15,33.9,34.4,32.1,34,33.1,"234,089"
2019-05-14,33.9,34.4,33.9,34,34,"65,481"
2019-05-13,34.4,34.7,34.1,34.5,34.2,"25,658"
2019-05-12,34.8,35.8,34.1,34.9,34.3,"112,746"
2019-05-09,34.5,34.8,34,34.4,34.4,"85,437"
2019-05-08,34.5,34.7,34,34.1,34.3,"108,749"
2019-05-07,34.3,34.9,33.6,34.4,34.1,"159,527"
2019-05-06,34.2,35,33.5,34.9,33.8,"248,695"
2019-05-05,35,35.9,34.5,34.8,34.9,"590,704"
2019-05-02,33.9,35,33.6,34.7,34.2,"266,178"
2019-04-30,35,35,32.7,34.3,34.4,"168,744"
2019-04-29,34.8,34.8,33.6,34.1,34.1,"30,795"
2019-04-28,34.6,35.5,33.8,34.5,34.2,"48,255"
2019-04-25,34.5,34.5,33.4,34,34.3,"43,034"
2019-04-24,34,34,32.7,33.1,33.7,"29,154"
2019-04-23,33.9,34.9,33.4,34.2,33.6,"87,963"
2019-04-21,34.5,35.5,33.8,35.5,34.4,"147,658"
2019-04-18,33.5,34.8,33.2,33.8,33.5,"121,640"
2019-04-17,34.2,35,34.2,34.9,34.3,"35,059"
2019-04-16,35.2,35.3,34.2,35.3,34.9,"56,635"
2019-04-15,34.5,34.9,34,34.1,34.6,"20,978"
2019-04-11,35,35,34,34.8,34.9,"78,465"
2019-04-10,34.9,35.4,34.5,34.7,34.9,"41,521"
2019-04-09,34.8,35.6,34.5,34.5,35.4,"85,496"
2019-04-08,35.5,35.7,34,34.8,35.3,"122,292"
2019-04-07,35.7,35.9,34.6,35.3,35.1,"35,496"
2019-04-04,35.9,35.9,34.7,35.2,35.9,"58,035"
2019-04-03,35.3,36,35.1,35.3,35.7,"46,217"
2019-04-02,36.4,36.5,35.1,35.4,35.9,"130,547"
2019-04-01,34.8,36,34.8,35.6,35,"34,709"
2019-03-31,36,36.6,35.3,36.6,35.9,"32,685"
2019-03-28,35.6,37.1,35.5,37.1,35.7,"38,090"
2019-03-27,37,37.1,35.5,36.5,36.5,"74,201"
2019-03-25,36.8,36.8,35.1,35.2,36.5,"29,450"
2019-03-24,36.5,36.7,35,35.6,35.6,"44,309"
2019-03-21,36.6,37,35.3,36.2,35.9,"91,425"
2019-03-20,37,37,36,37,36.9,"29,222"
2019-03-19,37,37,35.1,36.2,36.7,"217,954"
2019-03-18,36.6,36.9,36.3,36.9,36.4,"127,446"
2019-03-14,36.9,37,36.7,36.7,36.9,"103,992"
2019-03-13,37,37.3,36.8,36.9,36.8,"118,313"
2019-03-12,36.7,37.6,36.5,37.4,36.9,"178,629"
2019-03-11,36.6,38,36.6,37.3,37,"74,781"
2019-03-10,37.7,37.7,36.5,36.6,37.4,"90,323"
2019-03-07,37.1,37.1,35.3,35.4,36.6,"134,441"
2019-03-06,36.9,37.4,36.1,37.1,36.6,"85,236"
2019-03-05,37.3,37.4,36,36.3,37.1,"418,533"
2019-03-03,41.7,41.7,38.7,38.7,40,"672,173"
2019-02-27,38.9,39.4,38.6,39.4,38.9,"266,866"
2019-02-26,39.2,40.2,39,40,39.3,"192,867"
2019-02-25,40,40.1,39.8,39.8,40,"255,636"
2019-02-24,40.1,40.2,39.7,40.2,40,"81,836"
2019-02-20,39.7,40.7,39.6,40.2,40.1,"189,717"
2019-02-19,40.4,40.6,39.6,40.2,40.2,"81,544"
2019-02-18,39.7,40.4,39.5,39.8,39.6,"202,831"
2019-02-17,39.6,41,39.5,40.5,39.7,"254,985"
2019-02-14,40.7,42,39.8,41.6,40.3,"328,593"
2019-02-13,41.7,41.7,40.2,40.3,41.4,"427,936"
2019-02-12,40.5,40.8,38.9,39.2,40.3,"722,544"
2019-02-11,38.8,41,38.7,41,38.9,"1,574,597"
2019-02-10,42.5,42.8,41.2,42,42.6,"448,429"
2019-02-07,41.2,43,41,43,41.8,"412,847"
2019-02-06,42,42.4,41.1,42,42,"339,018"
2019-02-05,42.1,42.3,41.6,41.6,42,"381,066"
2019-02-04,41.1,43.5,41.1,42.5,41.8,"288,479"
2019-02-03,42.3,44,42.2,42.9,42.3,"762,687"
2019-01-31,42.3,43.3,42.3,42.4,42.9,"901,320"
2019-01-30,42.4,44,42,43.7,42.2,"423,157"
2019-01-29,42.7,44.3,42.7,43.5,43.1,"612,480"
2019-01-28,43.8,45.8,43.2,45.5,43.4,"365,780"
2019-01-27,46,46.8,45.4,45.5,46,"1,717,574"
2019-01-24,45.8,46,44.8,45,45.5,"1,242,190"
2019-01-23,45,46,44.4,44.5,45.1,"1,834,279"
2019-01-22,44.9,44.9,43.6,44.2,44.3,"960,622"
2019-01-21,44.5,46,43.7,45.7,44.6,"961,919"
2019-01-20,46,47.3,44.6,45.2,45.4,"2,397,785"
2019-01-17,45.4,46.1,43,43.8,45,"2,068,178"
2019-01-16,43.7,44.2,42.2,42.6,43.8,"2,209,948"
2019-01-15,42.2,43.6,41.7,41.9,42.6,"1,664,793"
2019-01-14,41.5,42,41.1,41.8,41.6,"751,565"
2019-01-13,41.9,41.9,40.6,41.8,41.4,"805,800"
2019-01-10,41.5,42.1,40.8,42,41.2,"700,697"
2019-01-09,41.5,42.4,40.9,40.9,41.8,"1,566,594"
2019-01-08,39.6,40.9,39.2,39.2,40.4,"885,118"
2019-01-07,39.4,40.7,39.2,40.3,39.6,"638,414"
2019-01-06,40.3,40.5,39,39.7,40.1,"973,243"
2019-01-03,39.5,39.9,39,39.6,39.3,"664,955"
2019-01-02,39.8,39.8,38.3,38.8,39.5,"791,801"
2019-01-01,38.8,39.9,38.1,38.1,38.6,"753,651"
2018-12-27,37.6,38.4,37.6,38.4,38.1,"253,995"
2018-12-26,37.9,38.4,37.6,37.6,38.1,"115,589"
2018-12-24,37.6,38.5,37.5,38.5,37.6,"205,169"
2018-12-23,38.3,38.8,37.5,38.6,37.8,"562,279"
2018-12-20,38.5,38.7,38,38,38.5,"445,786"
2018-12-19,38.1,38.3,37.7,37.8,37.9,"296,254"
2018-12-18,37.3,37.6,37.1,37.3,37.4,"162,034"
2018-12-17,37,37.5,37,37.4,37.2,"190,080"
2018-12-13,37.5,37.9,37,37.5,37.3,"300,016"
2018-12-12,37.5,38,37.5,37.8,37.5,"114,634"
2018-12-11,37.7,37.9,37.5,37.9,37.7,"103,305"
2018-12-10,37.5,38.5,37.5,38.4,37.6,"320,486"
2018-12-09,38.2,38.4,37.9,38.1,38.1,"349,973"
2018-12-06,38.8,39.9,38.5,39.9,38.6,"224,030"
2018-12-05,39.4,40.2,39.4,39.5,39.5,"649,181"
2018-12-04,39.4,39.8,38.7,39,39.2,"350,453"
2018-12-03,39.1,39.5,38,38.5,38.7,"627,796"
2018-12-02,37.8,38.2,37.7,37.8,37.9,"126,236"
2018-11-29,37.6,38.1,37.5,38.1,37.7,"380,737"
2018-11-28,38.2,38.9,38,38.2,38.1,"411,436"
2018-11-27,38,38.5,37.4,37.4,38.4,"446,587"
2018-11-26,37.6,38,37,37,37.6,"261,742"
2018-11-25,37.4,38.7,37.4,38.5,37.6,"168,121"
2018-11-22,38.6,39.7,38.6,38.6,38.7,"598,681"
2018-11-20,38.8,38.8,36.8,37,38.4,"588,098"
2018-11-19,37,37.2,36.5,36.6,37,"260,625"
2018-11-18,37,37.8,36.5,37.8,37,"318,135"
2018-11-15,37.8,38.4,37,37,37.9,"186,355"
2018-11-14,37,37.9,36.8,37.5,37,"226,646"
2018-11-13,37.5,37.7,37,37.5,37.6,"171,453"
2018-11-12,37.5,38.5,37.1,38.1,37.4,"503,304"
2018-11-11,38.3,38.9,38,38,38.2,"335,215"
2018-11-08,38.2,39,38,38.6,38,"431,876"
2018-11-07,38.5,39.2,38.2,38.5,38.5,"327,450"
2018-11-06,38.2,39.5,38.1,39,38.5,"493,888"
2018-11-05,39.1,39.5,38.5,38.8,39,"540,467"
2018-11-04,38.2,39.5,38.2,39.4,38.6,"560,130"
2018-11-01,38.8,40,38.7,39.5,39.1,"638,527"
2018-10-31,39.3,40.2,38.4,39,39.5,"782,467"
2018-10-30,38.7,38.9,38.2,38.5,38.5,"328,048"
2018-10-29,38.4,38.5,37.6,38,38.1,"169,077"
2018-10-28,37.8,38.4,37.6,38.4,37.7,"134,519"
