DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,24,24.3,23.3,24.1,23.6,"657,618"
2019-06-27,24,24.2,23.9,24.1,24,"1,092,212"
2019-06-26,23.9,24,23.9,24,24,"856,325"
2019-06-25,23.5,24.9,23.5,24.9,23.8,"1,109,894"
2019-06-24,24.7,24.8,24.2,24.4,24.5,"544,606"
2019-06-23,24.8,24.8,24.1,24.2,24.5,"323,744"
2019-06-20,24.2,24.6,24,24.3,24.3,"522,395"
2019-06-19,24.5,24.7,24.3,24.5,24.4,"294,301"
2019-06-18,24.1,24.4,24.1,24.4,24.2,"266,404"
2019-06-17,24.4,24.8,24.2,24.8,24.4,"121,858"
2019-06-16,24.8,25.2,24.7,25.1,24.8,"153,525"
2019-06-13,25.1,25.1,24.5,24.7,25,"148,050"
2019-06-12,24.6,25.1,24.6,25.1,24.8,"449,908"
2019-06-11,25,25.1,24.7,24.7,25,"166,364"
2019-06-10,24.7,25.1,24.7,24.8,24.9,"359,761"
2019-06-09,25,25,24.6,24.7,24.9,"110,421"
2019-05-30,24.7,25.3,24.7,25,24.7,"333,609"
2019-05-29,25,25.2,24.8,24.8,25.1,"182,232"
2019-05-28,24.9,25.2,24.8,25,25,"408,877"
2019-05-27,25.1,25.1,24.4,24.7,25,"591,878"
2019-05-26,24.9,24.9,24.1,24.7,24.7,"250,289"
2019-05-23,24.6,25.2,24,25.2,24.3,"730,036"
2019-05-22,25,25.4,24.7,24.7,25.2,"280,853"
2019-05-21,24.8,25.4,24.2,24.4,25.2,"688,112"
2019-05-20,25,25.4,24.1,25.2,24.4,"694,866"
2019-05-16,25.3,25.5,25.1,25.3,25.4,"960,413"
2019-05-15,25.2,25.4,25,25,25.3,"350,410"
2019-05-14,25.2,25.5,25,25.4,25.1,"589,788"
2019-05-13,25.6,25.8,25,25,25.5,"594,335"
2019-05-12,25.3,25.3,25,25,25.2,"176,766"
2019-05-09,25.2,25.5,25.2,25.4,25.3,"128,866"
2019-05-08,25.5,25.5,25.1,25.3,25.4,"88,511"
2019-05-07,25.3,25.8,25.3,25.5,25.4,"212,259"
2019-05-06,25.7,26.2,25.4,25.7,25.9,"468,104"
2019-05-05,25.7,26,25.3,25.4,25.8,"418,413"
2019-05-02,25.3,25.3,24.9,24.9,25.1,"377,672"
2019-04-30,25.1,25.1,24.8,25,24.9,"481,727"
2019-04-29,24.9,25.1,24.9,25,25,"549,844"
2019-04-28,25.1,25.2,24.5,24.6,25,"440,108"
2019-04-25,24.8,25.2,24.2,25.2,24.8,"920,500"
2019-04-24,25.2,25.6,25.2,25.6,25.3,"237,222"
2019-04-23,25.5,25.9,25.2,25.9,25.4,"248,804"
2019-04-21,25.5,26,25.5,25.8,25.7,"295,043"
2019-04-18,25.9,25.9,25.7,25.7,25.9,"233,006"
2019-04-17,25.8,25.8,25.6,25.8,25.8,"334,819"
2019-04-16,25.9,25.9,25.6,25.7,25.8,"131,812"
