DATE,LTP,HIGH PRICE,LOW PRICE,OPEN PRICE,CLOSE PRICE,VOLUME
2019-06-30,16.3,16.8,16.3,16.7,16.6,"329,799"
2019-06-27,16.8,17,16.7,17,16.9,"96,220"
2019-06-26,16.6,17,16.6,16.6,16.7,"401,297"
2019-06-25,16.8,16.9,16.6,16.8,16.8,"335,770"
2019-06-24,16.9,16.9,16.4,16.8,16.7,"118,907"
2019-06-23,16.9,17.2,16.8,17.2,16.8,"89,070"
2019-06-20,17,17.5,17,17.2,17.1,"118,156"
2019-06-19,17.5,17.5,17,17,17.2,"363,531"
2019-06-18,17,17.2,16.7,16.7,17,"83,494"
2019-06-17,16.7,17.1,16.6,17.1,16.6,"81,948"
2019-06-16,17.1,17.9,17.1,17.4,17.1,"173,152"
2019-06-13,17.7,17.8,17.3,17.3,17.5,"271,545"
2019-06-12,17.4,17.4,17.1,17.3,17.3,"132,145"
2019-06-11,17.3,18,17.1,17.4,17.3,"236,469"
2019-06-10,17.6,17.7,17.2,17.5,17.5,"197,262"
2019-06-09,17.8,17.9,17.2,17.2,17.7,"344,213"
2019-05-30,17.3,17.5,16.8,16.8,17.2,"340,329"
2019-05-29,16.9,17.1,16.7,16.9,16.8,"224,512"
2019-05-28,16.9,17.1,16.7,16.9,16.8,"357,969"
2019-05-27,16.8,17.2,16.5,16.5,16.9,"506,921"
2019-05-26,16.6,16.7,16.2,16.2,16.7,"255,521"
2019-05-23,16.5,16.7,16.1,16.1,16.4,"502,109"
2019-05-22,16.3,16.3,16,16,16.2,"174,120"
2019-05-21,16.1,16.2,15.9,16.1,16,"143,500"
2019-05-20,16.2,16.7,16.1,16.6,16.3,"181,613"
2019-05-19,16.5,16.8,16.1,16.2,16.6,"446,623"
2019-05-16,16,16.2,15.7,15.8,16,"489,719"
2019-05-15,15.6,15.8,15.6,15.8,15.7,"22,663"
2019-05-14,15.8,15.9,15.4,15.7,15.7,"132,291"
2019-05-13,15.8,15.8,15.6,15.7,15.7,"47,805"
2019-05-12,15.6,16,15.3,15.3,15.7,"540,991"
2019-05-09,15.2,15.3,15,15.3,15.1,"111,620"
2019-05-08,15.2,15.4,15.2,15.3,15.2,"105,907"
2019-05-07,15.2,15.7,15.2,15.7,15.4,"113,461"
2019-05-06,15.9,16.2,15.4,16,15.6,"267,213"
2019-05-05,16.1,16.1,15.5,15.5,16,"424,478"
2019-05-02,15.9,15.9,15,15.1,15.4,"300,936"
2019-04-30,14.9,15.3,14.9,15.1,15,"228,004"
2019-04-29,14.8,15.2,14.8,15.1,15,"125,180"
2019-04-28,15.1,15.3,15.1,15.1,15.2,"95,580"
2019-04-25,15.4,15.5,15.1,15.5,15.3,"64,512"
2019-04-24,15.4,15.4,14.9,15.4,15.1,"114,905"
2019-04-23,15.3,15.9,15,15.9,15.2,"189,680"
2019-04-21,15.8,16.2,15.8,16,15.9,"128,577"
2019-04-18,16,16.2,15.7,16.1,16,"235,410"
2019-04-17,16.2,16.4,16.1,16.4,16.1,"45,811"
2019-04-16,16.2,16.4,16,16,16.3,"593,939"
2019-04-15,16.1,17.3,16,17.3,16,"158,637"
2019-04-10,18.2,18.3,18,18,18.1,"805,036"
2019-04-09,18.2,18.6,18,18.3,18.1,"206,492"
2019-04-08,18.6,18.6,18.3,18.3,18.5,"230,137"
2019-04-07,18.3,18.7,18.3,18.6,18.3,"134,882"
2019-04-04,18.8,18.8,18.5,18.5,18.7,"144,340"
2019-04-03,18.4,18.9,18.4,18.9,18.4,"205,959"
2019-04-02,18.9,19.3,18.7,18.7,18.9,"343,442"
2019-04-01,18.5,18.7,18.4,18.5,18.5,"212,033"
2019-03-31,18.6,18.7,18.5,18.6,18.6,"175,881"
2019-03-28,18.8,18.9,18.6,18.7,18.7,"87,547"
2019-03-27,18.8,18.9,18.6,18.7,18.7,"100,954"
2019-03-25,18.9,18.9,18.5,18.9,18.7,"168,942"
2019-03-24,18.7,19,18.7,18.9,18.8,"123,609"
2019-03-21,18.8,19.3,18.5,19,18.9,"689,726"
2019-03-20,18.6,18.8,18.5,18.6,18.6,"187,390"
2019-03-19,18.5,18.9,18.3,18.9,18.6,"171,919"
2019-03-18,18,18.3,17.9,18.3,18,"206,301"
2019-03-14,18.2,18.6,18.2,18.6,18.3,"78,331"
2019-03-13,18.5,18.6,18.4,18.5,18.4,"114,540"
2019-03-12,18.5,18.9,18.2,18.8,18.3,"304,568"
2019-03-11,18.8,19,18.8,19,18.8,"184,290"
2019-03-10,19,19.3,18.7,18.9,18.9,"181,088"
2019-03-07,18.9,18.9,18.3,18.3,18.8,"223,645"
2019-03-06,18.4,19.2,18,19.1,18.3,"165,838"
2019-03-05,18.9,19.4,18.6,19.1,18.9,"192,988"
2019-03-04,19,20,19,19.7,19.1,"244,971"
